class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,merge3_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,merge3_time,man_write,cu_compute_t,man_compute_t,merge_compute_t,merge2_compute_t,merge3_compute_t,phases,cublas_ms,ocean_ms
Dense,bcsstk02,66,4356,100.0,4356,4356,4356,4356,4356,0.0,,0.06099999999992178,0.21500000000003183,0.05200000000002092,0.10800000000006094,0.32799999999997453,0.623,,,,,1.075,1.898,0.565,0.339,,0.3529999999999518,0.8289999999999509,1.7189999999999372,0.3930000000000291,0.16399999999998727,"{('cu', 'start'): 687.061, ('cu', 'h2dmalloc'): 687.124, ('cu', 'h2d'): 687.143, ('cu', 'workest'): 687.204, ('cu', 'compute'): 687.419, ('cu', 'copy'): 687.471, ('cu', 'pack'): 687.496, ('cu', 'd2h'): 687.604, ('gust', 'start'): 687.691, ('gust', 'h2d'): 687.769, ('gust', 'count'): 687.798, ('gust', 'scan'): 687.837, ('gust', 'expand'): 687.941, ('gust', 'sort'): 688.216, ('gust', 'reduce'): 688.383, ('gust', 'final'): 688.57, ('gust', 'pack'): 688.598, ('gust', 'd2h'): 688.618, ('merge', 'start'): 688.775, ('merge', 'h2d'): 688.855, ('merge', 'count'): 688.883, ('merge', 'scan'): 688.922, ('merge', 'expand'): 689.402, ('merge', 'merge'): 690.291, ('merge', 'final'): 690.406, ('merge', 'compact'): 690.547, ('merge', 'pack'): 690.574, ('merge', 'd2h'): 690.588, ('mrg2', 'start'): 690.68, ('mrg2', 'h2d'): 690.756, ('mrg2', 'count'): 690.781, ('mrg2', 'scan'): 690.819, ('mrg2', 'merge'): 690.994, ('mrg2', 'final'): 691.036, ('mrg2', 'compact'): 691.124, ('mrg2', 'pack'): 691.149, ('mrg2', 'd2h'): 691.162, ('mrg3', 'start'): 691.254, ('mrg3', 'h2d'): 691.328, ('mrg3', 'count'): 691.369, ('mrg3', 'scan'): 691.419, ('mrg3', 'merge'): 691.469, ('mrg3', 'pack'): 691.492, ('mrg3', 'd2h'): 691.504}",0.0416319817304611,0.8477952011395247
Dense,can_24,24,160,27.77777777777778,336,336,336,336,336,0.0,,0.05899999999996908,0.16000000000008185,0.05999999999994543,0.028999999999996362,0.27899999999999636,0.497,,,,,0.464,0.414,0.359,0.309,,0.3020000000000209,0.26299999999991996,0.23500000000001364,0.18099999999992633,0.13400000000001455,"{('cu', 'start'): 675.733, ('cu', 'h2dmalloc'): 675.798, ('cu', 'h2d'): 675.813, ('cu', 'workest'): 675.872, ('cu', 'compute'): 676.032, ('cu', 'copy'): 676.092, ('cu', 'pack'): 676.115, ('cu', 'd2h'): 676.144, ('gust', 'start'): 676.239, ('gust', 'h2d'): 676.32, ('gust', 'count'): 676.343, ('gust', 'scan'): 676.383, ('gust', 'expand'): 676.409, ('gust', 'sort'): 676.457, ('gust', 'reduce'): 676.5, ('gust', 'final'): 676.56, ('gust', 'pack'): 676.583, ('gust', 'd2h'): 676.601, ('merge', 'start'): 676.71, ('merge', 'h2d'): 676.786, ('merge', 'count'): 676.811, ('merge', 'scan'): 676.848, ('merge', 'expand'): 676.881, ('merge', 'merge'): 676.929, ('merge', 'final'): 676.971, ('merge', 'compact'): 677.002, ('merge', 'pack'): 677.021, ('merge', 'd2h'): 677.032, ('mrg2', 'start'): 677.133, ('mrg2', 'h2d'): 677.205, ('mrg2', 'count'): 677.227, ('mrg2', 'scan'): 677.264, ('mrg2', 'merge'): 677.301, ('mrg2', 'final'): 677.335, ('mrg2', 'compact'): 677.368, ('mrg2', 'pack'): 677.386, ('mrg2', 'd2h'): 677.398, ('mrg3', 'start'): 677.498, ('mrg3', 'h2d'): 677.569, ('mrg3', 'count'): 677.604, ('mrg3', 'scan'): 677.655, ('mrg3', 'merge'): 677.684, ('mrg3', 'pack'): 677.703, ('mrg3', 'd2h'): 677.714}",0.0400461722165346,0.2016512000700459
Dense,bcsstk04,132,3648,20.9366391184573,11968,11968,11968,11968,11968,0.0,,0.05600000000004002,0.24500000000000455,0.05999999999994543,0.10700000000008458,0.36099999999999,0.646,,,,,0.825,1.29,0.482,0.372,,0.3849999999999909,0.6219999999999573,1.1100000000000136,0.2939999999999827,0.18200000000001637,"{('cu', 'start'): 674.907, ('cu', 'h2dmalloc'): 674.97, ('cu', 'h2d'): 674.987, ('cu', 'workest'): 675.043, ('cu', 'compute'): 675.288, ('cu', 'copy'): 675.348, ('cu', 'pack'): 675.372, ('cu', 'd2h'): 675.479, ('gust', 'start'): 675.561, ('gust', 'h2d'): 675.648, ('gust', 'count'): 675.675, ('gust', 'scan'): 675.714, ('gust', 'expand'): 675.754, ('gust', 'sort'): 676.01, ('gust', 'reduce'): 676.124, ('gust', 'final'): 676.246, ('gust', 'pack'): 676.27, ('gust', 'd2h'): 676.296, ('merge', 'start'): 676.395, ('merge', 'h2d'): 676.47, ('merge', 'count'): 676.496, ('merge', 'scan'): 676.533, ('merge', 'expand'): 676.706, ('merge', 'merge'): 677.419, ('merge', 'final'): 677.463, ('merge', 'compact'): 677.556, ('merge', 'pack'): 677.58, ('merge', 'd2h'): 677.598, ('mrg2', 'start'): 677.692, ('mrg2', 'h2d'): 677.767, ('mrg2', 'count'): 677.793, ('mrg2', 'scan'): 677.829, ('mrg2', 'merge'): 677.981, ('mrg2', 'final'): 678.017, ('mrg2', 'compact'): 678.041, ('mrg2', 'pack'): 678.061, ('mrg2', 'd2h'): 678.079, ('mrg3', 'start'): 678.184, ('mrg3', 'h2d'): 678.262, ('mrg3', 'count'): 678.311, ('mrg3', 'scan'): 678.363, ('mrg3', 'merge'): 678.423, ('mrg3', 'pack'): 678.444, ('mrg3', 'd2h'): 678.461}",0.0400228891521692,0.5173631981946527
Dense,bcsstk01,48,400,17.36111111111111,1292,1292,1292,1292,1292,0.0,,0.05899999999996908,0.1550000000000864,0.05599999999992633,0.024999999999977263,0.2699999999999818,0.489,,,,,0.515,0.442,0.363,0.313,,0.29200000000003,0.3229999999999791,0.26400000000001,0.18500000000005912,0.1430000000000291,"{('cu', 'start'): 670.86, ('cu', 'h2dmalloc'): 670.934, ('cu', 'h2d'): 670.948, ('cu', 'workest'): 671.007, ('cu', 'compute'): 671.162, ('cu', 'copy'): 671.218, ('cu', 'pack'): 671.24, ('cu', 'd2h'): 671.265, ('gust', 'start'): 671.36, ('gust', 'h2d'): 671.441, ('gust', 'count'): 671.465, ('gust', 'scan'): 671.502, ('gust', 'expand'): 671.531, ('gust', 'sort'): 671.642, ('gust', 'reduce'): 671.685, ('gust', 'final'): 671.742, ('gust', 'pack'): 671.764, ('gust', 'd2h'): 671.774, ('merge', 'start'): 671.89, ('merge', 'h2d'): 671.97, ('merge', 'count'): 671.995, ('merge', 'scan'): 672.033, ('merge', 'expand'): 672.072, ('merge', 'merge'): 672.146, ('merge', 'final'): 672.187, ('merge', 'compact'): 672.214, ('merge', 'pack'): 672.234, ('merge', 'd2h'): 672.245, ('mrg2', 'start'): 672.339, ('mrg2', 'h2d'): 672.411, ('mrg2', 'count'): 672.434, ('mrg2', 'scan'): 672.469, ('mrg2', 'merge'): 672.518, ('mrg2', 'final'): 672.553, ('mrg2', 'compact'): 672.576, ('mrg2', 'pack'): 672.596, ('mrg2', 'd2h'): 672.607, ('mrg3', 'start'): 672.707, ('mrg3', 'h2d'): 672.778, ('mrg3', 'count'): 672.813, ('mrg3', 'scan'): 672.862, ('mrg3', 'merge'): 672.902, ('mrg3', 'pack'): 672.921, ('mrg3', 'd2h'): 672.932}",0.0493749976158142,0.313392000226304
Dense,can_61,61,557,14.969094329481322,1793,1793,1793,1793,1793,0.0,,0.053999999999973625,0.1470000000000482,0.05200000000002092,0.02500000000009095,0.25300000000004275,0.448,,,,,0.487,0.498,0.346,0.32,,0.27099999999995816,0.29899999999997817,0.3290000000000646,0.18299999999999272,0.13199999999994816,"{('cu', 'start'): 683.934, ('cu', 'h2dmalloc'): 683.997, ('cu', 'h2d'): 684.01, ('cu', 'workest'): 684.064, ('cu', 'compute'): 684.211, ('cu', 'copy'): 684.263, ('cu', 'pack'): 684.281, ('cu', 'd2h'): 684.306, ('gust', 'start'): 684.388, ('gust', 'h2d'): 684.462, ('gust', 'count'): 684.482, ('gust', 'scan'): 684.518, ('gust', 'expand'): 684.542, ('gust', 'sort'): 684.651, ('gust', 'reduce'): 684.69, ('gust', 'final'): 684.744, ('gust', 'pack'): 684.761, ('gust', 'd2h'): 684.771, ('merge', 'start'): 684.881, ('merge', 'h2d'): 684.958, ('merge', 'count'): 684.98, ('merge', 'scan'): 685.015, ('merge', 'expand'): 685.062, ('merge', 'merge'): 685.211, ('merge', 'final'): 685.247, ('merge', 'compact'): 685.27, ('merge', 'pack'): 685.287, ('merge', 'd2h'): 685.297, ('mrg2', 'start'): 685.384, ('mrg2', 'h2d'): 685.456, ('mrg2', 'count'): 685.475, ('mrg2', 'scan'): 685.51, ('mrg2', 'merge'): 685.563, ('mrg2', 'final'): 685.594, ('mrg2', 'compact'): 685.62, ('mrg2', 'pack'): 685.639, ('mrg2', 'd2h'): 685.649, ('mrg3', 'start'): 685.735, ('mrg3', 'h2d'): 685.827, ('mrg3', 'count'): 685.859, ('mrg3', 'scan'): 685.909, ('mrg3', 'merge'): 685.94, ('mrg3', 'pack'): 685.959, ('mrg3', 'd2h'): 685.969}",0.04958501085639,0.3201151992194354
Dense,bcsstk05,153,2423,10.350719808620616,7245,7245,7245,7245,7245,0.0,,0.06799999999998363,0.18700000000001182,0.06200000000001182,0.031000000000062755,0.3170000000000073,0.58,,,,,0.61,0.648,0.451,0.387,,0.34399999999993724,0.37400000000002365,0.40999999999996817,0.22300000000007003,0.17999999999994998,"{('cu', 'start'): 685.99, ('cu', 'h2dmalloc'): 686.061, ('cu', 'h2d'): 686.086, ('cu', 'workest'): 686.154, ('cu', 'compute'): 686.341, ('cu', 'copy'): 686.403, ('cu', 'pack'): 686.43, ('cu', 'd2h'): 686.461, ('gust', 'start'): 686.581, ('gust', 'h2d'): 686.677, ('gust', 'count'): 686.703, ('gust', 'scan'): 686.748, ('gust', 'expand'): 686.78, ('gust', 'sort'): 686.915, ('gust', 'reduce'): 686.963, ('gust', 'final'): 687.029, ('gust', 'pack'): 687.051, ('gust', 'd2h'): 687.076, ('merge', 'start'): 687.199, ('merge', 'h2d'): 687.312, ('merge', 'count'): 687.342, ('merge', 'scan'): 687.386, ('merge', 'expand'): 687.455, ('merge', 'merge'): 687.629, ('merge', 'final'): 687.675, ('merge', 'compact'): 687.703, ('merge', 'pack'): 687.722, ('merge', 'd2h'): 687.738, ('mrg2', 'start'): 687.854, ('mrg2', 'h2d'): 687.953, ('mrg2', 'count'): 687.979, ('mrg2', 'scan'): 688.02, ('mrg2', 'merge'): 688.088, ('mrg2', 'final'): 688.127, ('mrg2', 'compact'): 688.155, ('mrg2', 'pack'): 688.176, ('mrg2', 'd2h'): 688.192, ('mrg3', 'start'): 688.311, ('mrg3', 'h2d'): 688.399, ('mrg3', 'count'): 688.448, ('mrg3', 'scan'): 688.506, ('mrg3', 'merge'): 688.557, ('mrg3', 'pack'): 688.579, ('mrg3', 'd2h'): 688.594}",0.0506399665027856,0.340307199023664
Mildly sparse,bcspwr01,39,131,8.61275476660092,275,275,275,275,275,0.0,,0.05999999999994543,0.16700000000003,0.05899999999996908,0.026000000000067303,0.2859999999999445,0.505,,,,,0.472,0.395,0.385,0.317,,0.3069999999999027,0.2599999999999909,0.20800000000008367,0.19099999999991724,0.1269999999999527,"{('cu', 'start'): 674.242, ('cu', 'h2dmalloc'): 674.305, ('cu', 'h2d'): 674.32, ('cu', 'workest'): 674.38, ('cu', 'compute'): 674.547, ('cu', 'copy'): 674.606, ('cu', 'pack'): 674.627, ('cu', 'd2h'): 674.653, ('gust', 'start'): 674.757, ('gust', 'h2d'): 674.848, ('gust', 'count'): 674.873, ('gust', 'scan'): 674.914, ('gust', 'expand'): 674.943, ('gust', 'sort'): 674.99, ('gust', 'reduce'): 675.031, ('gust', 'final'): 675.088, ('gust', 'pack'): 675.108, ('gust', 'd2h'): 675.119, ('merge', 'start'): 675.234, ('merge', 'h2d'): 675.31, ('merge', 'count'): 675.333, ('merge', 'scan'): 675.371, ('merge', 'expand'): 675.396, ('merge', 'merge'): 675.427, ('merge', 'final'): 675.473, ('merge', 'compact'): 675.5, ('merge', 'pack'): 675.518, ('merge', 'd2h'): 675.529, ('mrg2', 'start'): 675.636, ('mrg2', 'h2d'): 675.714, ('mrg2', 'count'): 675.738, ('mrg2', 'scan'): 675.786, ('mrg2', 'merge'): 675.822, ('mrg2', 'final'): 675.858, ('mrg2', 'compact'): 675.884, ('mrg2', 'pack'): 675.905, ('mrg2', 'd2h'): 675.915, ('mrg3', 'start'): 676.027, ('mrg3', 'h2d'): 676.104, ('mrg3', 'count'): 676.131, ('mrg3', 'scan'): 676.185, ('mrg3', 'merge'): 676.212, ('mrg3', 'pack'): 676.231, ('mrg3', 'd2h'): 676.242}",0.0360808335244655,0.1972831996856257
Mildly sparse,can_96,96,768,8.333333333333332,1920,1920,1920,1920,1920,0.0,,0.06200000000001182,0.17399999999997817,0.059000000000082764,0.024999999999977263,0.29500000000007276,0.515,,,,,0.52,0.431,0.36,0.306,,0.3160000000000309,0.31799999999998363,0.24099999999998545,0.17799999999999727,0.125,"{('cu', 'start'): 665.364, ('cu', 'h2dmalloc'): 665.425, ('cu', 'h2d'): 665.443, ('cu', 'workest'): 665.505, ('cu', 'compute'): 665.679, ('cu', 'copy'): 665.738, ('cu', 'pack'): 665.759, ('cu', 'd2h'): 665.784, ('gust', 'start'): 665.889, ('gust', 'h2d'): 665.969, ('gust', 'count'): 665.992, ('gust', 'scan'): 666.032, ('gust', 'expand'): 666.056, ('gust', 'sort'): 666.17, ('gust', 'reduce'): 666.212, ('gust', 'final'): 666.267, ('gust', 'pack'): 666.287, ('gust', 'd2h'): 666.299, ('merge', 'start'): 666.415, ('merge', 'h2d'): 666.496, ('merge', 'count'): 666.519, ('merge', 'scan'): 666.567, ('merge', 'expand'): 666.6, ('merge', 'merge'): 666.653, ('merge', 'final'): 666.693, ('merge', 'compact'): 666.719, ('merge', 'pack'): 666.737, ('merge', 'd2h'): 666.748, ('mrg2', 'start'): 666.853, ('mrg2', 'h2d'): 666.927, ('mrg2', 'count'): 666.949, ('mrg2', 'scan'): 666.986, ('mrg2', 'merge'): 667.028, ('mrg2', 'final'): 667.063, ('mrg2', 'compact'): 667.086, ('mrg2', 'pack'): 667.105, ('mrg2', 'd2h'): 667.116, ('mrg3', 'start'): 667.217, ('mrg3', 'h2d'): 667.292, ('mrg3', 'count'): 667.319, ('mrg3', 'scan'): 667.37, ('mrg3', 'merge'): 667.4, ('mrg3', 'pack'): 667.417, ('mrg3', 'd2h'): 667.429}",0.022991094738245,0.3198911995394155
Mildly sparse,arc130,130,1282,7.585798816568047,15631,15631,15631,15631,15631,0.0,,0.05600000000004002,0.17700000000002092,0.05899999999996908,0.033999999999991815,0.29200000000003,0.525,,,,,0.567,1.742,0.515,0.402,,0.3160000000000309,0.36000000000001364,1.552000000000021,0.33299999999997,0.20600000000001728,"{('cu', 'start'): 685.065, ('cu', 'h2dmalloc'): 685.125, ('cu', 'h2d'): 685.14, ('cu', 'workest'): 685.196, ('cu', 'compute'): 685.373, ('cu', 'copy'): 685.432, ('cu', 'pack'): 685.456, ('cu', 'd2h'): 685.49, ('gust', 'start'): 685.598, ('gust', 'h2d'): 685.679, ('gust', 'count'): 685.703, ('gust', 'scan'): 685.744, ('gust', 'expand'): 685.787, ('gust', 'sort'): 685.917, ('gust', 'reduce'): 685.962, ('gust', 'final'): 686.019, ('gust', 'pack'): 686.039, ('gust', 'd2h'): 686.068, ('merge', 'start'): 686.173, ('merge', 'h2d'): 686.251, ('merge', 'count'): 686.278, ('merge', 'scan'): 686.315, ('merge', 'expand'): 686.457, ('merge', 'merge'): 687.705, ('merge', 'final'): 687.749, ('merge', 'compact'): 687.784, ('merge', 'pack'): 687.803, ('merge', 'd2h'): 687.824, ('mrg2', 'start'): 687.921, ('mrg2', 'h2d'): 687.996, ('mrg2', 'count'): 688.019, ('mrg2', 'scan'): 688.055, ('mrg2', 'merge'): 688.253, ('mrg2', 'final'): 688.289, ('mrg2', 'compact'): 688.312, ('mrg2', 'pack'): 688.329, ('mrg2', 'd2h'): 688.35, ('mrg3', 'start'): 688.448, ('mrg3', 'h2d'): 688.529, ('mrg3', 'count'): 688.587, ('mrg3', 'scan'): 688.642, ('mrg3', 'merge'): 688.713, ('mrg3', 'pack'): 688.735, ('mrg3', 'd2h'): 688.755}",0.0207379925996065,0.3685951991239562
Mildly sparse,ash85,85,523,7.2387543252595155,1317,1317,1317,1317,1317,0.0,,0.05700000000001637,0.15499999999997272,0.057999999999992724,0.028999999999996362,0.2699999999999818,0.488,,,,,0.528,0.408,0.355,0.315,,0.29300000000000637,0.3310000000000173,0.2319999999999709,0.18000000000006366,0.1449999999999818,"{('cu', 'start'): 696.471, ('cu', 'h2dmalloc'): 696.536, ('cu', 'h2d'): 696.553, ('cu', 'workest'): 696.61, ('cu', 'compute'): 696.765, ('cu', 'copy'): 696.823, ('cu', 'pack'): 696.846, ('cu', 'd2h'): 696.875, ('gust', 'start'): 696.97, ('gust', 'h2d'): 697.047, ('gust', 'count'): 697.07, ('gust', 'scan'): 697.11, ('gust', 'expand'): 697.144, ('gust', 'sort'): 697.255, ('gust', 'reduce'): 697.299, ('gust', 'final'): 697.355, ('gust', 'pack'): 697.378, ('gust', 'd2h'): 697.39, ('merge', 'start'): 697.504, ('merge', 'h2d'): 697.581, ('merge', 'count'): 697.61, ('merge', 'scan'): 697.648, ('merge', 'expand'): 697.678, ('merge', 'merge'): 697.731, ('merge', 'final'): 697.772, ('merge', 'compact'): 697.795, ('merge', 'pack'): 697.813, ('merge', 'd2h'): 697.823, ('mrg2', 'start'): 697.919, ('mrg2', 'h2d'): 697.991, ('mrg2', 'count'): 698.015, ('mrg2', 'scan'): 698.052, ('mrg2', 'merge'): 698.091, ('mrg2', 'final'): 698.126, ('mrg2', 'compact'): 698.152, ('mrg2', 'pack'): 698.171, ('mrg2', 'd2h'): 698.182, ('mrg3', 'start'): 698.281, ('mrg3', 'h2d'): 698.35, ('mrg3', 'count'): 698.382, ('mrg3', 'scan'): 698.43, ('mrg3', 'merge'): 698.475, ('mrg3', 'pack'): 698.495, ('mrg3', 'd2h'): 698.506}",0.0397278927266597,0.2039135986473411
