class,name,n,A_nnz,density_pct,cu_cnnz,man_cnnz,merge_cnnz,merge2_cnnz,cnnz_gap_pct,buf2,cu_we,cu_compute,cu_copy,cu_d2h,cu_kernel,cu_time,cu_write,man_count,man_fill,man_kernel,man_time,merge_time,merge2_time,man_write,phases
Mildly sparse,can_73,73,377,7.0744980296490905,1377,1377,1377,1377,0.0,,0.06099999999997863,0.1490000000000009,0.05299999999999727,0.6220000000000141,0.2629999999999768,1.06,,,,,1.053,1.003,0.973,,"{('cu', 'start'): 463.053, ('cu', 'h2dmalloc'): 463.117, ('cu', 'h2d'): 463.129, ('cu', 'workest'): 463.19, ('cu', 'compute'): 463.339, ('cu', 'copy'): 463.392, ('cu', 'pack'): 463.411, ('cu', 'd2h'): 464.033, ('gust', 'start'): 464.363, ('gust', 'h2d'): 464.435, ('gust', 'count'): 464.459, ('gust', 'scan'): 464.5, ('gust', 'expand'): 464.524, ('gust', 'sort'): 464.573, ('gust', 'reduce'): 464.616, ('gust', 'final'): 464.669, ('gust', 'pack'): 464.687, ('gust', 'd2h'): 465.319, ('merge', 'start'): 465.665, ('merge', 'h2d'): 465.738, ('merge', 'count'): 465.761, ('merge', 'scan'): 465.801, ('merge', 'expand'): 465.83, ('merge', 'merge'): 465.884, ('merge', 'final'): 465.922, ('merge', 'compact'): 465.948, ('merge', 'pack'): 465.967, ('merge', 'd2h'): 466.576, ('mrg2', 'start'): 466.918, ('mrg2', 'h2d'): 466.989, ('mrg2', 'count'): 467.016, ('mrg2', 'scan'): 467.058, ('mrg2', 'merge'): 467.103, ('mrg2', 'final'): 467.139, ('mrg2', 'compact'): 467.165, ('mrg2', 'pack'): 467.183, ('mrg2', 'd2h'): 467.8}"
Mildly sparse,bcspwr02,49,167,6.9554352353186175,403,403,403,403,0.0,,0.06499999999999773,0.1490000000000009,0.05700000000001637,0.7300000000000182,0.271000000000015,1.175,,,,,1.155,1.101,1.077,,"{('cu', 'start'): 498.471, ('cu', 'h2dmalloc'): 498.545, ('cu', 'h2d'): 498.558, ('cu', 'workest'): 498.623, ('cu', 'compute'): 498.772, ('cu', 'copy'): 498.829, ('cu', 'pack'): 498.844, ('cu', 'd2h'): 499.574, ('gust', 'start'): 499.921, ('gust', 'h2d'): 500.001, ('gust', 'count'): 500.023, ('gust', 'scan'): 500.068, ('gust', 'expand'): 500.086, ('gust', 'sort'): 500.128, ('gust', 'reduce'): 500.165, ('gust', 'final'): 500.214, ('gust', 'pack'): 500.227, ('gust', 'd2h'): 500.971, ('merge', 'start'): 501.35, ('merge', 'h2d'): 501.433, ('merge', 'count'): 501.454, ('merge', 'scan'): 501.493, ('merge', 'expand'): 501.514, ('merge', 'merge'): 501.548, ('merge', 'final'): 501.582, ('merge', 'compact'): 501.605, ('merge', 'pack'): 501.62, ('merge', 'd2h'): 502.361, ('mrg2', 'start'): 502.715, ('mrg2', 'h2d'): 502.797, ('mrg2', 'count'): 502.817, ('mrg2', 'scan'): 502.856, ('mrg2', 'merge'): 502.885, ('mrg2', 'final'): 502.914, ('mrg2', 'compact'): 502.936, ('mrg2', 'pack'): 502.951, ('mrg2', 'd2h'): 503.705}"
Mildly sparse,can_144,144,1296,6.25,3456,3456,3456,3456,0.0,,0.060000000000002274,0.146000000000015,0.04599999999999227,0.6089999999999804,0.25200000000000955,1.012,,,,,1.055,0.975,0.961,,"{('cu', 'start'): 463.943, ('cu', 'h2dmalloc'): 464.002, ('cu', 'h2d'): 464.012, ('cu', 'workest'): 464.072, ('cu', 'compute'): 464.218, ('cu', 'copy'): 464.264, ('cu', 'pack'): 464.278, ('cu', 'd2h'): 464.887, ('gust', 'start'): 465.208, ('gust', 'h2d'): 465.275, ('gust', 'count'): 465.295, ('gust', 'scan'): 465.332, ('gust', 'expand'): 465.351, ('gust', 'sort'): 465.46, ('gust', 'reduce'): 465.495, ('gust', 'final'): 465.544, ('gust', 'pack'): 465.558, ('gust', 'd2h'): 466.178, ('merge', 'start'): 466.509, ('merge', 'h2d'): 466.575, ('merge', 'count'): 466.595, ('merge', 'scan'): 466.63, ('merge', 'expand'): 466.661, ('merge', 'merge'): 466.736, ('merge', 'final'): 466.77, ('merge', 'compact'): 466.792, ('merge', 'pack'): 466.806, ('merge', 'd2h'): 467.401, ('mrg2', 'start'): 467.733, ('mrg2', 'h2d'): 467.801, ('mrg2', 'count'): 467.819, ('mrg2', 'scan'): 467.855, ('mrg2', 'merge'): 467.891, ('mrg2', 'final'): 467.92, ('mrg2', 'compact'): 467.94, ('mrg2', 'pack'): 467.954, ('mrg2', 'd2h'): 468.61}"
Mildly sparse,can_62,62,218,5.6711758584807495,482,482,482,482,0.0,,0.05200000000002092,0.1439999999999486,0.043000000000006366,0.6260000000000332,0.2389999999999759,1.015,,,,,0.968,0.932,0.909,,"{('cu', 'start'): 488.373, ('cu', 'h2dmalloc'): 488.433, ('cu', 'h2d'): 488.442, ('cu', 'workest'): 488.494, ('cu', 'compute'): 488.638, ('cu', 'copy'): 488.681, ('cu', 'pack'): 488.695, ('cu', 'd2h'): 489.321, ('gust', 'start'): 489.641, ('gust', 'h2d'): 489.704, ('gust', 'count'): 489.724, ('gust', 'scan'): 489.759, ('gust', 'expand'): 489.777, ('gust', 'sort'): 489.819, ('gust', 'reduce'): 489.853, ('gust', 'final'): 489.901, ('gust', 'pack'): 489.915, ('gust', 'd2h'): 490.523, ('merge', 'start'): 490.854, ('merge', 'h2d'): 490.917, ('merge', 'count'): 490.936, ('merge', 'scan'): 490.97, ('merge', 'expand'): 490.99, ('merge', 'merge'): 491.023, ('merge', 'final'): 491.058, ('merge', 'compact'): 491.079, ('merge', 'pack'): 491.094, ('merge', 'd2h'): 491.703, ('mrg2', 'start'): 492.032, ('mrg2', 'h2d'): 492.096, ('mrg2', 'count'): 492.114, ('mrg2', 'scan'): 492.158, ('mrg2', 'merge'): 492.185, ('mrg2', 'final'): 492.214, ('mrg2', 'compact'): 492.234, ('mrg2', 'pack'): 492.249, ('mrg2', 'd2h'): 492.856}"
Mildly sparse,can_161,161,1377,5.31229505034528,3761,3761,3761,3761,0.0,,0.06099999999997863,0.15300000000002,0.045000000000015916,0.6270000000000095,0.25900000000001455,1.039,,,,,1.067,0.991,0.924,,"{('cu', 'start'): 485.821, ('cu', 'h2dmalloc'): 485.879, ('cu', 'h2d'): 485.889, ('cu', 'workest'): 485.95, ('cu', 'compute'): 486.103, ('cu', 'copy'): 486.148, ('cu', 'pack'): 486.163, ('cu', 'd2h'): 486.79, ('gust', 'start'): 487.112, ('gust', 'h2d'): 487.178, ('gust', 'count'): 487.199, ('gust', 'scan'): 487.237, ('gust', 'expand'): 487.257, ('gust', 'sort'): 487.365, ('gust', 'reduce'): 487.402, ('gust', 'final'): 487.452, ('gust', 'pack'): 487.466, ('gust', 'd2h'): 488.091, ('merge', 'start'): 488.429, ('merge', 'h2d'): 488.496, ('merge', 'count'): 488.516, ('merge', 'scan'): 488.553, ('merge', 'expand'): 488.583, ('merge', 'merge'): 488.67, ('merge', 'final'): 488.705, ('merge', 'compact'): 488.727, ('merge', 'pack'): 488.741, ('merge', 'd2h'): 489.335, ('mrg2', 'start'): 489.685, ('mrg2', 'h2d'): 489.753, ('mrg2', 'count'): 489.772, ('mrg2', 'scan'): 489.807, ('mrg2', 'merge'): 489.846, ('mrg2', 'final'): 489.875, ('mrg2', 'compact'): 489.895, ('mrg2', 'pack'): 489.91, ('mrg2', 'd2h'): 490.522}"
Mildly sparse,bcsstk03,112,640,5.1020408163265305,1072,1072,1072,1072,0.0,,0.06499999999999773,0.14500000000003865,0.04399999999998272,0.7069999999999936,0.2540000000000191,1.109,,,,,1.133,0.995,0.967,,"{('cu', 'start'): 487.873, ('cu', 'h2dmalloc'): 487.933, ('cu', 'h2d'): 487.943, ('cu', 'workest'): 488.008, ('cu', 'compute'): 488.153, ('cu', 'copy'): 488.197, ('cu', 'pack'): 488.211, ('cu', 'd2h'): 488.918, ('gust', 'start'): 489.232, ('gust', 'h2d'): 489.296, ('gust', 'count'): 489.316, ('gust', 'scan'): 489.352, ('gust', 'expand'): 489.371, ('gust', 'sort'): 489.477, ('gust', 'reduce'): 489.514, ('gust', 'final'): 489.562, ('gust', 'pack'): 489.575, ('gust', 'd2h'): 490.286, ('merge', 'start'): 490.613, ('merge', 'h2d'): 490.679, ('merge', 'count'): 490.698, ('merge', 'scan'): 490.735, ('merge', 'expand'): 490.757, ('merge', 'merge'): 490.792, ('merge', 'final'): 490.826, ('merge', 'compact'): 490.848, ('merge', 'pack'): 490.863, ('merge', 'd2h'): 491.529, ('mrg2', 'start'): 491.876, ('mrg2', 'h2d'): 491.943, ('mrg2', 'count'): 491.962, ('mrg2', 'scan'): 491.996, ('mrg2', 'merge'): 492.024, ('mrg2', 'final'): 492.051, ('mrg2', 'compact'): 492.072, ('mrg2', 'pack'): 492.087, ('mrg2', 'd2h'): 492.76}"
Mildly sparse,bcsstk06,420,7860,4.45578231292517,23660,23660,23660,23660,0.0,,0.06800000000004047,0.2669999999999959,0.049999999999954525,0.853999999999985,0.3849999999999909,1.411,,,,,1.579,1.608,1.169,,"{('cu', 'start'): 481.217, ('cu', 'h2dmalloc'): 481.276, ('cu', 'h2d'): 481.301, ('cu', 'workest'): 481.369, ('cu', 'compute'): 481.636, ('cu', 'copy'): 481.686, ('cu', 'pack'): 481.702, ('cu', 'd2h'): 482.556, ('gust', 'start'): 482.882, ('gust', 'h2d'): 482.962, ('gust', 'count'): 482.985, ('gust', 'scan'): 483.025, ('gust', 'expand'): 483.054, ('gust', 'sort'): 483.328, ('gust', 'reduce'): 483.425, ('gust', 'final'): 483.481, ('gust', 'pack'): 483.497, ('gust', 'd2h'): 484.313, ('merge', 'start'): 484.716, ('merge', 'h2d'): 484.797, ('merge', 'count'): 484.82, ('merge', 'scan'): 484.858, ('merge', 'expand'): 484.942, ('merge', 'merge'): 485.292, ('merge', 'final'): 485.33, ('merge', 'compact'): 485.353, ('merge', 'pack'): 485.369, ('merge', 'd2h'): 486.186, ('mrg2', 'start'): 486.579, ('mrg2', 'h2d'): 486.662, ('mrg2', 'count'): 486.683, ('mrg2', 'scan'): 486.721, ('mrg2', 'merge'): 486.797, ('mrg2', 'final'): 486.827, ('mrg2', 'compact'): 486.851, ('mrg2', 'pack'): 486.866, ('mrg2', 'd2h'): 487.661}"
Mildly sparse,bcsstk07,420,7860,4.45578231292517,23660,23660,23660,23660,0.0,,0.07500000000004547,0.25499999999999545,0.060000000000002274,0.8500000000000227,0.3900000000000432,1.427,,,,,1.572,1.645,1.216,,"{('cu', 'start'): 500.847, ('cu', 'h2dmalloc'): 500.918, ('cu', 'h2d'): 500.948, ('cu', 'workest'): 501.023, ('cu', 'compute'): 501.278, ('cu', 'copy'): 501.338, ('cu', 'pack'): 501.356, ('cu', 'd2h'): 502.206, ('gust', 'start'): 502.527, ('gust', 'h2d'): 502.611, ('gust', 'count'): 502.637, ('gust', 'scan'): 502.677, ('gust', 'expand'): 502.712, ('gust', 'sort'): 502.975, ('gust', 'reduce'): 503.081, ('gust', 'final'): 503.141, ('gust', 'pack'): 503.16, ('gust', 'd2h'): 503.966, ('merge', 'start'): 504.358, ('merge', 'h2d'): 504.45, ('merge', 'count'): 504.476, ('merge', 'scan'): 504.518, ('merge', 'expand'): 504.606, ('merge', 'merge'): 504.96, ('merge', 'final'): 505.005, ('merge', 'compact'): 505.032, ('merge', 'pack'): 505.051, ('merge', 'd2h'): 505.864, ('mrg2', 'start'): 506.265, ('mrg2', 'h2d'): 506.352, ('mrg2', 'count'): 506.378, ('mrg2', 'scan'): 506.419, ('mrg2', 'merge'): 506.499, ('mrg2', 'final'): 506.533, ('mrg2', 'compact'): 506.56, ('mrg2', 'pack'): 506.579, ('mrg2', 'd2h'): 507.391}"
Mildly sparse,can_256,256,2916,4.449462890625,18568,18568,18568,18568,0.0,,0.055999999999983174,0.15699999999998226,0.04599999999999227,0.6299999999999955,0.2589999999999577,1.044,,,,,1.099,2.907,1.147,,"{('cu', 'start'): 487.201, ('cu', 'h2dmalloc'): 487.259, ('cu', 'h2d'): 487.271, ('cu', 'workest'): 487.327, ('cu', 'compute'): 487.484, ('cu', 'copy'): 487.53, ('cu', 'pack'): 487.545, ('cu', 'd2h'): 488.175, ('gust', 'start'): 488.505, ('gust', 'h2d'): 488.573, ('gust', 'count'): 488.597, ('gust', 'scan'): 488.634, ('gust', 'expand'): 488.665, ('gust', 'sort'): 488.786, ('gust', 'reduce'): 488.822, ('gust', 'final'): 488.874, ('gust', 'pack'): 488.889, ('gust', 'd2h'): 489.517, ('merge', 'start'): 489.852, ('merge', 'h2d'): 489.923, ('merge', 'count'): 489.947, ('merge', 'scan'): 489.982, ('merge', 'expand'): 490.103, ('merge', 'merge'): 491.675, ('merge', 'final'): 491.715, ('merge', 'compact'): 491.75, ('merge', 'pack'): 491.776, ('merge', 'd2h'): 492.643, ('mrg2', 'start'): 493.018, ('mrg2', 'h2d'): 493.093, ('mrg2', 'count'): 493.117, ('mrg2', 'scan'): 493.154, ('mrg2', 'merge'): 493.382, ('mrg2', 'final'): 493.413, ('mrg2', 'compact'): 493.434, ('mrg2', 'pack'): 493.449, ('mrg2', 'd2h'): 494.077}"
Mildly sparse,can_268,268,3082,4.291044776119403,15590,15590,15590,15590,0.0,,0.055999999999983174,0.15899999999999181,0.04699999999996862,0.6430000000000291,0.2619999999999436,1.057,,,,,1.086,1.437,1.017,,"{('cu', 'start'): 476.174, ('cu', 'h2dmalloc'): 476.232, ('cu', 'h2d'): 476.244, ('cu', 'workest'): 476.3, ('cu', 'compute'): 476.459, ('cu', 'copy'): 476.506, ('cu', 'pack'): 476.52, ('cu', 'd2h'): 477.163, ('gust', 'start'): 477.482, ('gust', 'h2d'): 477.55, ('gust', 'count'): 477.571, ('gust', 'scan'): 477.609, ('gust', 'expand'): 477.634, ('gust', 'sort'): 477.758, ('gust', 'reduce'): 477.794, ('gust', 'final'): 477.852, ('gust', 'pack'): 477.867, ('gust', 'd2h'): 478.485, ('merge', 'start'): 478.816, ('merge', 'h2d'): 478.892, ('merge', 'count'): 478.914, ('merge', 'scan'): 478.949, ('merge', 'expand'): 479.019, ('merge', 'merge'): 479.48, ('merge', 'final'): 479.513, ('merge', 'compact'): 479.535, ('merge', 'pack'): 479.552, ('merge', 'd2h'): 480.17, ('mrg2', 'start'): 480.498, ('mrg2', 'h2d'): 480.567, ('mrg2', 'count'): 480.586, ('mrg2', 'scan'): 480.621, ('mrg2', 'merge'): 480.742, ('mrg2', 'final'): 480.771, ('mrg2', 'compact'): 480.792, ('mrg2', 'pack'): 480.806, ('mrg2', 'd2h'): 481.432}"
Mildly sparse,can_187,187,1491,4.26377648774629,3719,3719,3719,3719,0.0,,0.06099999999997863,0.14999999999997726,0.04599999999999227,0.6260000000000332,0.25699999999994816,1.036,,,,,1.06,0.947,0.922,,"{('cu', 'start'): 461.804, ('cu', 'h2dmalloc'): 461.862, ('cu', 'h2d'): 461.874, ('cu', 'workest'): 461.935, ('cu', 'compute'): 462.085, ('cu', 'copy'): 462.131, ('cu', 'pack'): 462.145, ('cu', 'd2h'): 462.771, ('gust', 'start'): 463.098, ('gust', 'h2d'): 463.167, ('gust', 'count'): 463.186, ('gust', 'scan'): 463.223, ('gust', 'expand'): 463.242, ('gust', 'sort'): 463.349, ('gust', 'reduce'): 463.385, ('gust', 'final'): 463.435, ('gust', 'pack'): 463.448, ('gust', 'd2h'): 464.07, ('merge', 'start'): 464.406, ('merge', 'h2d'): 464.473, ('merge', 'count'): 464.493, ('merge', 'scan'): 464.528, ('merge', 'expand'): 464.554, ('merge', 'merge'): 464.604, ('merge', 'final'): 464.639, ('merge', 'compact'): 464.66, ('merge', 'pack'): 464.675, ('merge', 'd2h'): 465.27, ('mrg2', 'start'): 465.598, ('mrg2', 'h2d'): 465.664, ('mrg2', 'count'): 465.683, ('mrg2', 'scan'): 465.719, ('mrg2', 'merge'): 465.755, ('mrg2', 'final'): 465.784, ('mrg2', 'compact'): 465.804, ('mrg2', 'pack'): 465.819, ('mrg2', 'd2h'): 466.435}"
Mildly sparse,bcsstm07,420,7252,4.111111111111112,22972,22972,22972,22972,0.0,,0.06999999999999318,0.23900000000003274,0.04899999999997817,0.853999999999985,0.3580000000000041,1.376,,,,,1.485,1.56,1.13,,"{('cu', 'start'): 476.506, ('cu', 'h2dmalloc'): 476.567, ('cu', 'h2d'): 476.587, ('cu', 'workest'): 476.657, ('cu', 'compute'): 476.896, ('cu', 'copy'): 476.945, ('cu', 'pack'): 476.961, ('cu', 'd2h'): 477.815, ('gust', 'start'): 478.14, ('gust', 'h2d'): 478.225, ('gust', 'count'): 478.246, ('gust', 'scan'): 478.284, ('gust', 'expand'): 478.309, ('gust', 'sort'): 478.554, ('gust', 'reduce'): 478.645, ('gust', 'final'): 478.699, ('gust', 'pack'): 478.714, ('gust', 'd2h'): 479.497, ('merge', 'start'): 479.884, ('merge', 'h2d'): 479.97, ('merge', 'count'): 479.992, ('merge', 'scan'): 480.03, ('merge', 'expand'): 480.105, ('merge', 'merge'): 480.43, ('merge', 'final'): 480.474, ('merge', 'compact'): 480.546, ('merge', 'pack'): 480.563, ('merge', 'd2h'): 481.362, ('mrg2', 'start'): 481.705, ('mrg2', 'h2d'): 481.789, ('mrg2', 'count'): 481.81, ('mrg2', 'scan'): 481.847, ('mrg2', 'merge'): 481.918, ('mrg2', 'final'): 481.947, ('mrg2', 'compact'): 481.968, ('mrg2', 'pack'): 481.982, ('mrg2', 'd2h'): 482.754}"
Mildly sparse,bcsstk27,1224,56126,3.7462888205391085,138106,138106,138106,138106,0.0,,0.05699999999995953,0.4759999999999991,0.10700000000002774,0.8369999999999891,0.6399999999999864,1.711,,,,,2.295,2.931,1.583,,"{('cu', 'start'): 488.287, ('cu', 'h2dmalloc'): 488.344, ('cu', 'h2d'): 488.379, ('cu', 'workest'): 488.436, ('cu', 'compute'): 488.912, ('cu', 'copy'): 489.019, ('cu', 'pack'): 489.036, ('cu', 'd2h'): 489.873, ('gust', 'start'): 490.257, ('gust', 'h2d'): 490.348, ('gust', 'count'): 490.379, ('gust', 'scan'): 490.418, ('gust', 'expand'): 490.589, ('gust', 'sort'): 491.122, ('gust', 'reduce'): 491.273, ('gust', 'final'): 491.562, ('gust', 'pack'): 491.672, ('gust', 'd2h'): 492.417, ('merge', 'start'): 492.817, ('merge', 'h2d'): 492.908, ('merge', 'count'): 492.94, ('merge', 'scan'): 492.977, ('merge', 'expand'): 493.379, ('merge', 'merge'): 494.523, ('merge', 'final'): 494.683, ('merge', 'compact'): 494.814, ('merge', 'pack'): 494.88, ('merge', 'd2h'): 495.612, ('mrg2', 'start'): 496.0, ('mrg2', 'h2d'): 496.091, ('mrg2', 'count'): 496.129, ('mrg2', 'scan'): 496.166, ('mrg2', 'merge'): 496.458, ('mrg2', 'final'): 496.492, ('mrg2', 'compact'): 496.63, ('mrg2', 'pack'): 496.692, ('mrg2', 'd2h'): 497.444}"
Mildly sparse,bcsstm27,1224,56126,3.7462888205391085,138106,138106,138106,138106,0.0,,0.11099999999999,0.6000000000000227,0.18399999999996908,1.5190000000000055,0.8949999999999818,2.85,,,,,3.726,4.348,2.702,,"{('cu', 'start'): 573.435, ('cu', 'h2dmalloc'): 573.54, ('cu', 'h2d'): 573.655, ('cu', 'workest'): 573.766, ('cu', 'compute'): 574.366, ('cu', 'copy'): 574.55, ('cu', 'pack'): 574.58, ('cu', 'd2h'): 576.099, ('gust', 'start'): 576.732, ('gust', 'h2d'): 576.995, ('gust', 'count'): 577.04, ('gust', 'scan'): 577.1, ('gust', 'expand'): 577.386, ('gust', 'sort'): 578.039, ('gust', 'reduce'): 578.317, ('gust', 'final'): 578.728, ('gust', 'pack'): 578.852, ('gust', 'd2h'): 580.245, ('merge', 'start'): 580.905, ('merge', 'h2d'): 581.148, ('merge', 'count'): 581.195, ('merge', 'scan'): 581.255, ('merge', 'expand'): 581.807, ('merge', 'merge'): 583.036, ('merge', 'final'): 583.315, ('merge', 'compact'): 583.512, ('merge', 'pack'): 583.637, ('merge', 'd2h'): 585.05, ('mrg2', 'start'): 585.712, ('mrg2', 'h2d'): 585.946, ('mrg2', 'count'): 585.99, ('mrg2', 'scan'): 586.05, ('mrg2', 'merge'): 586.483, ('mrg2', 'final'): 586.541, ('mrg2', 'compact'): 586.73, ('mrg2', 'pack'): 586.838, ('mrg2', 'd2h'): 588.203}"
Mildly sparse,bcsstk22,138,696,3.6546943919344677,1552,1552,1552,1552,0.0,,0.06999999999999318,0.1519999999999868,0.04400000000003956,0.6879999999999882,0.26600000000001955,1.099,,,,,1.175,1.18,1.055,,"{('cu', 'start'): 491.728, ('cu', 'h2dmalloc'): 491.786, ('cu', 'h2d'): 491.796, ('cu', 'workest'): 491.866, ('cu', 'compute'): 492.018, ('cu', 'copy'): 492.062, ('cu', 'pack'): 492.076, ('cu', 'd2h'): 492.764, ('gust', 'start'): 493.084, ('gust', 'h2d'): 493.151, ('gust', 'count'): 493.172, ('gust', 'scan'): 493.208, ('gust', 'expand'): 493.226, ('gust', 'sort'): 493.333, ('gust', 'reduce'): 493.372, ('gust', 'final'): 493.42, ('gust', 'pack'): 493.434, ('gust', 'd2h'): 494.166, ('merge', 'start'): 494.647, ('merge', 'h2d'): 494.736, ('merge', 'count'): 494.762, ('merge', 'scan'): 494.809, ('merge', 'expand'): 494.84, ('merge', 'merge'): 494.89, ('merge', 'final'): 494.935, ('merge', 'compact'): 494.964, ('merge', 'pack'): 494.986, ('merge', 'd2h'): 495.744, ('mrg2', 'start'): 496.116, ('mrg2', 'h2d'): 496.188, ('mrg2', 'count'): 496.209, ('mrg2', 'scan'): 496.247, ('mrg2', 'merge'): 496.28, ('mrg2', 'final'): 496.308, ('mrg2', 'compact'): 496.329, ('mrg2', 'pack'): 496.343, ('mrg2', 'd2h'): 497.09}"
Mildly sparse,bcspwr03,118,476,3.418557885665039,1270,1270,1270,1270,0.0,,0.05900000000002592,0.1449999999999818,0.05099999999998772,0.6259999999999764,0.25499999999999545,1.048,,,,,1.047,1.024,0.985,,"{('cu', 'start'): 471.964, ('cu', 'h2dmalloc'): 472.025, ('cu', 'h2d'): 472.036, ('cu', 'workest'): 472.095, ('cu', 'compute'): 472.24, ('cu', 'copy'): 472.291, ('cu', 'pack'): 472.309, ('cu', 'd2h'): 472.935, ('gust', 'start'): 473.267, ('gust', 'h2d'): 473.34, ('gust', 'count'): 473.362, ('gust', 'scan'): 473.405, ('gust', 'expand'): 473.431, ('gust', 'sort'): 473.481, ('gust', 'reduce'): 473.526, ('gust', 'final'): 473.582, ('gust', 'pack'): 473.599, ('gust', 'd2h'): 474.221, ('merge', 'start'): 474.576, ('merge', 'h2d'): 474.648, ('merge', 'count'): 474.67, ('merge', 'scan'): 474.709, ('merge', 'expand'): 474.739, ('merge', 'merge'): 474.798, ('merge', 'final'): 474.836, ('merge', 'compact'): 474.861, ('merge', 'pack'): 474.879, ('merge', 'd2h'): 475.505, ('mrg2', 'start'): 475.867, ('mrg2', 'h2d'): 475.943, ('mrg2', 'count'): 475.965, ('mrg2', 'scan'): 476.005, ('mrg2', 'merge'): 476.047, ('mrg2', 'final'): 476.084, ('mrg2', 'compact'): 476.11, ('mrg2', 'pack'): 476.127, ('mrg2', 'd2h'): 476.758}"
Mildly sparse,can_229,229,1777,3.388570012013501,5017,5017,5017,5017,0.0,,0.07499999999998863,0.1490000000000009,0.04699999999996862,0.6309999999999718,0.27099999999995816,1.077,,,,,1.063,1.009,0.954,,"{('cu', 'start'): 497.944, ('cu', 'h2dmalloc'): 498.019, ('cu', 'h2d'): 498.033, ('cu', 'workest'): 498.108, ('cu', 'compute'): 498.257, ('cu', 'copy'): 498.304, ('cu', 'pack'): 498.319, ('cu', 'd2h'): 498.95, ('gust', 'start'): 499.273, ('gust', 'h2d'): 499.34, ('gust', 'count'): 499.362, ('gust', 'scan'): 499.4, ('gust', 'expand'): 499.418, ('gust', 'sort'): 499.533, ('gust', 'reduce'): 499.57, ('gust', 'final'): 499.618, ('gust', 'pack'): 499.633, ('gust', 'd2h'): 500.253, ('merge', 'start'): 500.601, ('merge', 'h2d'): 500.672, ('merge', 'count'): 500.692, ('merge', 'scan'): 500.729, ('merge', 'expand'): 500.758, ('merge', 'merge'): 500.853, ('merge', 'final'): 500.887, ('merge', 'compact'): 500.908, ('merge', 'pack'): 500.924, ('merge', 'd2h'): 501.524, ('mrg2', 'start'): 501.856, ('mrg2', 'h2d'): 501.923, ('mrg2', 'count'): 501.943, ('mrg2', 'scan'): 501.98, ('mrg2', 'merge'): 502.029, ('mrg2', 'final'): 502.057, ('mrg2', 'compact'): 502.078, ('mrg2', 'pack'): 502.092, ('mrg2', 'd2h'): 502.726}"
Mildly sparse,can_292,292,2540,2.9789829236254457,11670,11670,11670,11670,0.0,,0.055999999999983174,0.16599999999999682,0.047000000000025466,0.6239999999999668,0.26900000000000546,1.049,,,,,1.097,1.251,1.014,,"{('cu', 'start'): 467.288, ('cu', 'h2dmalloc'): 467.346, ('cu', 'h2d'): 467.358, ('cu', 'workest'): 467.414, ('cu', 'compute'): 467.58, ('cu', 'copy'): 467.627, ('cu', 'pack'): 467.641, ('cu', 'd2h'): 468.265, ('gust', 'start'): 468.594, ('gust', 'h2d'): 468.668, ('gust', 'count'): 468.69, ('gust', 'scan'): 468.728, ('gust', 'expand'): 468.752, ('gust', 'sort'): 468.873, ('gust', 'reduce'): 468.909, ('gust', 'final'): 468.961, ('gust', 'pack'): 468.976, ('gust', 'd2h'): 469.603, ('merge', 'start'): 469.939, ('merge', 'h2d'): 470.007, ('merge', 'count'): 470.029, ('merge', 'scan'): 470.067, ('merge', 'expand'): 470.124, ('merge', 'merge'): 470.426, ('merge', 'final'): 470.459, ('merge', 'compact'): 470.48, ('merge', 'pack'): 470.494, ('merge', 'd2h'): 471.104, ('mrg2', 'start'): 471.432, ('mrg2', 'h2d'): 471.499, ('mrg2', 'count'): 471.569, ('mrg2', 'scan'): 471.607, ('mrg2', 'merge'): 471.686, ('mrg2', 'final'): 471.716, ('mrg2', 'compact'): 471.737, ('mrg2', 'pack'): 471.751, ('mrg2', 'd2h'): 472.362}"
Mildly sparse,ash292,292,2208,2.589604053293301,6042,6042,6042,6042,0.0,,0.10800000000006094,0.17899999999997362,0.06799999999998363,1.141999999999939,0.3550000000000182,1.753,,,,,1.588,1.512,1.379,,"{('cu', 'start'): 517.957, ('cu', 'h2dmalloc'): 518.066, ('cu', 'h2d'): 518.093, ('cu', 'workest'): 518.201, ('cu', 'compute'): 518.38, ('cu', 'copy'): 518.448, ('cu', 'pack'): 518.474, ('cu', 'd2h'): 519.616, ('gust', 'start'): 520.048, ('gust', 'h2d'): 520.156, ('gust', 'count'): 520.186, ('gust', 'scan'): 520.235, ('gust', 'expand'): 520.26, ('gust', 'sort'): 520.377, ('gust', 'reduce'): 520.423, ('gust', 'final'): 520.486, ('gust', 'pack'): 520.507, ('gust', 'd2h'): 521.517, ('merge', 'start'): 521.976, ('merge', 'h2d'): 522.079, ('merge', 'count'): 522.109, ('merge', 'scan'): 522.166, ('merge', 'expand'): 522.202, ('merge', 'merge'): 522.278, ('merge', 'final'): 522.321, ('merge', 'compact'): 522.348, ('merge', 'pack'): 522.37, ('merge', 'd2h'): 523.375, ('mrg2', 'start'): 523.835, ('mrg2', 'h2d'): 523.939, ('mrg2', 'count'): 523.968, ('mrg2', 'scan'): 524.017, ('mrg2', 'merge'): 524.063, ('mrg2', 'final'): 524.1, ('mrg2', 'compact'): 524.133, ('mrg2', 'pack'): 524.154, ('mrg2', 'd2h'): 525.095}"
