name,cu_cnnz,gust,cu,ocean,bucket
can_1054,60248,0.5649999999999407,0.3340000000000599,0.319232,"大
(10K-100K)"
bcspwr10,60498,0.5610000000000355,0.3390000000000554,0.181792,"大
(10K-100K)"
can_1072,62316,0.5639999999999642,0.3329999999999698,0.313952,"大
(10K-100K)"
bcsstk09,71289,0.6320000000000616,0.32899999999995067,0.279872,"大
(10K-100K)"
bcsstm13,90811,0.9160000000000535,0.44100000000003076,0.377824,"大
(10K-100K)"
bcsstk26,92530,0.8600000000000135,0.4139999999999872,0.32016,"大
(10K-100K)"
bcsstk21,93072,0.5159999999999623,0.31899999999995987,0.249056,"大
(10K-100K)"
bcsstk11,94187,0.8350000000000362,0.42499999999995447,0.34336,"大
(10K-100K)"
bcsstk12,94187,0.8520000000000888,0.4429999999999834,0.38608,"大
(10K-100K)"
bcsstm27,138106,1.2279999999999516,0.6180000000000516,0.371904,"巨大
(>100K)"
bcsstk27,138106,1.2179999999999607,0.6139999999999188,0.371584,"巨大
(>100K)"
bcsstk14,195654,1.373000000000047,0.7620000000000571,0.386048,"巨大
(>100K)"
bcsstk23,220632,0.9840000000000371,0.5099999999999907,0.345408,"巨大
(>100K)"
bcsstk08,305612,1.0040000000000189,0.5270000000000435,0.397536,"巨大
(>100K)"
bcsstk13,396773,1.609000000000037,0.7780000000000198,0.463168,"巨大
(>100K)"
bcsstk24,446474,2.1979999999999786,1.0699999999999363,0.42736,"巨大
(>100K)"
bcsstk15,527688,1.482999999999947,0.9950000000000045,0.359552,"巨大
(>100K)"
bcsstk28,596072,2.7369999999999663,1.2800000000000864,0.485248,"巨大
(>100K)"
bcsstk18,713208,1.2839999999999916,0.7690000000000055,0.393568,"巨大
(>100K)"
bcsstk16,1038782,3.897000000000048,1.5979999999999563,0.566208,"巨大
(>100K)"
bcsstk25,1168919,1.7899999999999636,1.0009999999999764,0.42352,"巨大
(>100K)"
bcsstk17,1406936,4.032000000000039,2.2000000000000455,0.585696,"巨大
(>100K)"
bcsstk29,1965686,6.044999999999959,2.8670000000000755,0.700256,"巨大
(>100K)"
bcsstk33,2569536,7.980000000000018,2.7490000000000236,1.27184,"巨大
(>100K)"
bcsstk31,4713580,8.893000000000029,5.023000000000025,1.03821,"巨大
(>100K)"
bcsstk32,6819653,17.697000000000003,8.442000000000007,1.50864,"巨大
(>100K)"
bcsstk30,8946070,30.19100000000003,9.026000000000067,2.11507,"巨大
(>100K)"
