matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.15,0.159,merge3,0.208,0.243,0.876,11142
494_bus,494,Y,0.4426,0.123,0.138,merge3,0.175,0.29,0.763,4062
662_bus,662,Y,0.3578,0.141,0.129,merge3,0.22,0.306,0.585,6480
685_bus,685,Y,0.4192,0.136,0.134,merge3,0.211,0.309,0.586,9337
arc130,130,N,7.5858,0.158,0.233,hash,0.341,0.405,0.775,15631
ash292,292,Y,1.466,0.129,0.138,merge3,0.219,0.323,0.63,6042
ash85,85,Y,4.2076,0.142,0.119,merge3,0.197,0.289,0.704,1317
bcspwr01,39,Y,5.5884,0.106,0.113,merge3,0.235,0.286,0.539,275
bcspwr02,49,Y,4.4981,0.249,0.105,merge3,0.162,0.277,0.752,403
bcspwr03,118,Y,2.133,0.119,0.121,merge3,0.211,0.219,0.704,1270
bcspwr04,274,Y,1.2561,0.123,0.126,merge3,0.219,0.304,0.602,4982
bcspwr05,443,Y,0.5264,0.129,0.128,merge3,0.217,0.388,0.715,4249
bcspwr06,1454,Y,0.1597,0.149,0.165,merge3,0.205,0.306,0.624,14110
bcspwr07,1612,Y,0.1431,0.152,0.16,merge3,0.211,0.314,0.713,15684
bcspwr08,1624,Y,0.1455,0.155,0.152,merge3,0.183,0.24,0.744,16916
bcspwr09,1723,Y,0.1387,0.134,0.143,merge3,0.212,0.307,0.777,18485
bcspwr10,5300,Y,0.0483,0.197,0.187,merge3,0.234,0.95,0.618,60498
bcsstk01,48,Y,9.7222,0.124,0.117,merge3,0.316,0.293,0.564,1292
bcsstk02,66,Y,50.7576,0.14,0.266,hash,0.854,0.682,0.628,4356
bcsstk03,112,Y,2.9974,0.128,0.122,merge3,0.18,0.298,0.583,1072
bcsstk04,132,Y,10.8471,0.157,0.152,merge3,0.515,0.374,0.796,11968
bcsstk05,153,Y,5.5022,0.147,0.129,merge3,0.344,0.349,0.754,7245
bcsstk06,420,Y,2.3469,0.146,0.143,merge3,0.344,0.344,0.596,23660
bcsstk07,420,Y,2.3469,0.146,0.17,merge3,0.314,0.389,0.767,23660
bcsstk08,1074,Y,0.6083,0.852,0.548,hash,0.391,0.786,0.768,305612
bcsstk09,1083,Y,0.8321,0.169,0.173,merge3,0.316,0.351,0.786,71289
bcsstk10,1086,Y,0.9817,0.187,0.186,merge3,0.453,0.356,0.633,54504
bcsstk11,1473,Y,0.823,0.193,0.197,merge3,0.501,0.516,0.64,94187
bcsstk12,1473,Y,0.823,0.202,0.2,merge3,0.502,0.438,1.143,94187
bcsstk13,2003,Y,1.0704,0.624,0.836,hash,0.71,0.942,0.849,396773
bcsstk14,1806,Y,1.0004,0.322,0.468,hash,0.61,0.553,0.901,195654
bcsstk15,3948,Y,0.3906,0.437,0.316,hash,0.404,0.735,0.97,527688
bcsstk16,4884,Y,0.6189,1.165,0.533,hash,0.83,1.263,1.136,1038782
bcsstk17,10974,Y,0.1825,1.19,0.608,hash,1.267,1.761,1.337,1406936
bcsstk18,11948,Y,0.0564,0.546,0.423,hash,0.49,1.279,1.308,713208
bcsstk19,817,Y,0.5745,0.149,0.133,merge3,0.352,0.314,0.762,18305
bcsstk20,485,Y,0.7695,0.142,0.152,merge3,0.216,0.308,0.727,5545
bcsstk21,3600,Y,0.1165,0.193,0.195,merge3,0.227,0.393,0.883,93072
bcsstk22,138,Y,2.1897,0.12,0.117,merge3,0.203,0.307,0.596,1552
bcsstk23,3134,Y,0.2459,0.249,0.251,merge3,0.339,0.552,0.771,220632
bcsstk24,3562,Y,0.6442,0.448,0.365,hash,0.636,0.977,1.028,446474
bcsstk25,15439,Y,0.0561,0.747,0.424,hash,0.448,1.496,1.094,1168919
bcsstk26,1922,Y,0.4366,0.196,0.204,merge3,0.364,0.508,0.622,92530
bcsstk27,1224,Y,1.914,0.455,0.435,hash,0.503,0.646,0.804,138106
bcsstk28,4410,Y,0.5744,0.689,0.465,hash,0.752,1.392,0.964,596072
bcsstk29,13992,Y,0.1618,1.414,0.776,hash,0.921,1.804,1.564,1965686
bcsstk30,28924,Y,0.1239,11.209,3.262,hash,2.356,4.788,3.13,8946070
bcsstk31,35588,Y,0.048,3.105,1.303,hash,1.166,2.751,1.706,4713580
bcsstk32,44609,Y,0.0517,5.627,2.097,hash,1.803,3.711,2.413,6819653
bcsstk33,8738,Y,0.3933,2.718,1.073,hash,1.572,1.986,1.375,2569536
bcsstm01,48,Y,2.0833,0.123,0.116,merge3,0.152,0.297,0.527,48
bcsstm02,66,Y,1.5152,0.108,0.109,merge3,0.166,0.279,0.958,66
bcsstm03,112,Y,0.8929,0.108,0.12,merge3,0.155,0.277,0.845,112
bcsstm04,132,Y,0.7576,0.108,0.108,merge3,0.201,0.275,1.119,132
bcsstm05,153,Y,0.6536,0.107,0.105,merge3,0.194,0.272,1.365,153
bcsstm06,420,Y,0.2381,0.117,0.126,merge3,0.173,0.3,1.023,420
bcsstm07,420,Y,2.1746,0.151,0.149,merge3,0.335,0.343,0.685,22972
bcsstm08,1074,Y,0.0931,0.132,0.114,merge3,0.174,0.303,1.166,1074
bcsstm09,1083,Y,0.0923,0.117,0.121,merge3,0.173,0.285,0.719,1083
bcsstm10,1086,Y,0.9826,0.185,0.195,merge3,0.506,0.385,1.093,54504
bcsstm11,1473,Y,0.0679,0.139,0.146,merge3,0.175,0.289,1.422,1473
bcsstm12,1473,Y,0.487,0.176,0.175,merge3,0.36,0.349,0.619,53615
bcsstm13,2003,Y,0.2984,0.308,0.365,hash,0.447,0.578,1.643,90811
bcsstm19,817,Y,0.1224,0.145,0.116,merge3,0.173,0.291,1.556,817
bcsstm20,485,Y,0.2062,0.113,0.112,merge3,0.171,0.292,1.071,485
bcsstm21,3600,Y,0.0278,0.143,0.155,merge3,0.173,0.495,0.575,3600
bcsstm22,138,Y,0.7246,0.112,0.108,merge3,0.171,0.281,1.445,138
bcsstm23,3134,Y,0.0319,0.152,0.153,merge3,0.175,0.464,1.187,3134
bcsstm24,3562,Y,0.0281,0.147,0.146,merge3,0.175,0.471,1.019,3562
bcsstm25,15439,Y,0.0065,0.274,0.264,merge3,0.191,0.475,1.493,15439
bcsstm26,1922,Y,0.052,0.125,0.125,merge3,0.173,0.308,0.642,1922
bcsstm27,1224,Y,1.914,0.306,0.443,hash,0.541,0.67,1.174,138106
blckhole,2132,Y,0.187,0.187,0.178,merge3,0.224,0.494,0.681,41546
bp_0,822,N,0.4848,0.397,0.314,hash,0.242,0.45,1.446,9384
bp_1000,822,N,0.6898,0.443,0.386,hash,0.259,0.486,1.345,21373
bp_1200,822,N,0.6994,0.447,0.386,hash,0.258,0.623,1.812,22313
bp_1400,822,N,0.7089,0.44,0.456,hash,0.261,0.473,1.144,23154
bp_1600,822,N,0.7165,0.446,0.395,hash,0.265,0.484,1.419,23625
bp_200,822,N,0.5627,0.412,0.34,hash,0.254,0.457,0.833,13197
bp_400,822,N,0.5961,0.445,0.361,hash,0.254,0.484,0.894,15238
bp_600,822,N,0.6174,0.435,0.346,hash,0.255,0.475,1.771,16464
bp_800,822,N,0.671,0.451,0.384,hash,0.257,0.474,1.253,20224
can_1054,1054,Y,0.5964,0.172,0.172,merge3,0.361,0.345,1.028,60248
can_1072,1072,Y,0.5881,0.179,0.182,merge3,0.36,0.346,1.592,62316
can_144,144,Y,3.4722,0.127,0.129,merge3,0.326,0.31,1.282,3456
can_161,161,Y,2.9667,0.146,0.135,merge3,0.324,0.318,1.266,3761
can_187,187,Y,2.3993,0.119,0.117,merge3,0.32,0.311,0.833,3719
can_229,229,Y,1.9126,0.147,0.161,merge3,0.328,0.303,1.383,5017
can_24,24,Y,15.9722,0.124,0.112,merge3,0.2,0.279,0.872,336
can_256,256,Y,2.42,0.175,0.186,merge3,0.353,0.348,0.997,18568
can_268,268,Y,2.3321,0.164,0.157,merge3,0.338,0.322,1.393,15590
can_292,292,Y,1.6607,0.136,0.132,merge3,0.336,0.321,1.237,11670
can_445,445,Y,1.0741,0.137,0.135,merge3,0.333,0.323,0.677,11193
can_61,61,Y,8.3042,0.123,0.124,merge3,0.324,0.306,0.993,1793
can_62,62,Y,3.642,0.138,0.117,merge3,0.196,0.29,1.541,482
can_634,634,Y,0.978,0.143,0.146,merge3,0.359,0.335,1.518,25446
can_715,715,Y,0.7218,0.289,0.27,hash,0.383,0.366,1.347,39785
can_73,73,Y,4.2222,0.128,0.123,merge3,0.207,0.288,0.74,1377
can_838,838,Y,0.7724,0.166,0.147,merge3,0.354,0.324,1.185,51156
can_96,96,Y,4.6875,0.123,0.115,merge3,0.32,0.286,0.965,1920
