matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.354,0.279,0.194,0.153,merge3,0.207,0.302,11142
494_bus,494,Y,0.4426,0.348,0.213,0.129,0.122,merge3,0.205,0.29,4062
662_bus,662,Y,0.3578,0.402,0.231,0.138,0.131,merge3,0.217,0.557,6480
685_bus,685,Y,0.4192,0.378,0.244,0.153,0.153,merge3,0.22,0.308,9337
arc130,130,N,7.5858,0.371,1.518,0.185,0.402,hash,0.345,0.417,15631
ash292,292,Y,1.466,0.398,0.247,0.132,0.14,merge3,0.205,0.301,6042
ash85,85,Y,4.2076,0.363,0.223,0.143,0.15,merge3,0.206,0.295,1317
bcspwr01,39,Y,5.5884,0.34,0.197,0.122,0.123,merge3,0.198,0.287,275
bcspwr02,49,Y,4.4981,0.391,0.198,0.116,0.123,merge3,0.2,0.276,403
bcspwr03,118,Y,2.133,0.382,0.246,0.135,0.126,merge3,0.208,0.541,1270
bcspwr04,274,Y,1.2561,0.366,0.343,0.143,0.126,merge3,0.18,0.299,4982
bcspwr05,443,Y,0.5264,0.381,0.216,0.15,0.121,merge3,0.202,0.286,4249
bcspwr06,1454,Y,0.1597,0.354,0.262,0.169,0.164,merge3,0.218,0.345,14110
bcspwr07,1612,Y,0.1431,0.373,0.254,0.194,0.199,merge3,0.22,0.321,15684
bcspwr08,1624,Y,0.1455,0.356,0.262,0.161,0.163,merge3,0.222,0.31,16916
bcspwr09,1723,Y,0.1387,0.379,0.262,0.146,0.163,merge3,0.225,0.313,18485
bcspwr10,5300,Y,0.0483,0.522,0.388,0.186,0.176,merge3,0.224,0.905,60498
bcsstk01,48,Y,9.7222,0.346,0.24,0.126,0.125,merge3,0.284,0.227,1292
bcsstk02,66,Y,50.7576,0.404,1.6,0.146,0.127,merge3,0.801,0.656,4356
bcsstk03,112,Y,2.9974,0.404,0.219,0.125,0.135,merge3,0.164,0.297,1072
bcsstk04,132,Y,10.8471,0.547,1.145,0.178,0.177,merge3,0.462,0.378,11968
bcsstk05,153,Y,5.5022,0.364,0.367,0.154,0.142,merge3,0.314,0.327,7245
bcsstk06,420,Y,2.3469,0.483,0.563,0.165,0.159,merge3,0.309,0.339,23660
bcsstk07,420,Y,2.3469,0.473,0.554,0.191,0.154,merge3,0.344,0.34,23660
bcsstk08,1074,Y,0.6083,0.812,20.97,1.055,1.2,hash,0.392,0.789,305612
bcsstk09,1083,Y,0.8321,0.469,0.779,0.194,0.179,merge3,0.314,0.352,71289
bcsstk10,1086,Y,0.9817,0.557,0.964,0.203,0.228,merge3,0.446,0.299,54504
bcsstk11,1473,Y,0.823,0.694,1.018,0.223,0.22,merge3,0.501,0.529,94187
bcsstk12,1473,Y,0.823,0.588,1.072,0.24,0.224,merge3,0.552,0.526,94187
bcsstk13,2003,Y,1.0704,1.007,5.987,0.961,1.026,merge3,0.644,0.752,396773
bcsstk14,1806,Y,1.0004,0.824,1.884,0.526,0.49,merge3,0.549,0.538,195654
bcsstk15,3948,Y,0.3906,1.189,2.552,0.7,0.705,merge3,0.406,0.571,527688
bcsstk16,4884,Y,0.6189,1.827,8.718,1.838,1.842,merge3,0.859,1.455,1038782
bcsstk17,10974,Y,0.1825,2.381,9.521,1.746,2.097,hash,0.773,1.705,1406936
