name,ocean_ms,status
1138_bus,0.22066239996347575,ok
494_bus,0.21170559953898188,ok
662_bus,0.2178816002095118,ok
685_bus,0.22161280014552176,ok
arc130,0.3709823990706354,ok
ash292,0.21533440027851614,ok
ash85,0.2043904003687203,ok
bcspwr01,0.19413120136596265,ok
bcspwr02,0.19728640110697598,ok
bcspwr03,0.20875199951697143,ok
bcspwr04,0.22110720104537904,ok
bcspwr05,0.21699840005021542,ok
bcspwr06,0.21672960089053958,ok
bcspwr07,0.218419200158678,ok
bcspwr08,0.21874880038667469,ok
bcspwr09,0.22278080002870412,ok
bcspwr10,0.2348735996056348,ok
bcsstk01,0.31754879909567535,ok
bcsstk02,0.8683936013840138,ok
bcsstk03,0.1794239989714697,ok
bcsstk04,0.5104223996400833,ok
bcsstk05,0.316025599790737,ok
bcsstk06,0.3144127996638417,ok
bcsstk07,0.3368639995576814,ok
bcsstk08,0.4196000011404976,ok
bcsstk09,0.3397440006257966,ok
bcsstk10,0.45806079907342795,ok
bcsstk11,0.5452351996209472,ok
bcsstk12,0.5024767995579168,ok
bcsstk13,0.6989951986121015,ok
bcsstk14,0.5994655997492373,ok
bcsstk15,0.43017279987689105,ok
bcsstk16,0.8241823974996805,ok
bcsstk17,0.8200160019798205,ok
bcsstk18,0.44993279811460524,ok
bcsstk19,0.34028160027228294,ok
bcsstk20,0.22046720122452823,ok
bcsstk21,0.2250463993521407,ok
bcsstk22,0.21189440018497407,ok
bcsstk23,0.36244480013847347,ok
bcsstk24,0.6401215980760753,ok
bcsstk25,0.47269119906704876,ok
bcsstk26,0.38162239976227286,ok
bcsstk27,0.5344575993716716,ok
bcsstk28,0.7365087998798117,ok
bcsstk29,0.9693312025861814,ok
bcsstk30,2.407238380028866,ok
bcsstk31,1.2993919959757478,ok
bcsstk32,1.8068768063327296,ok
bcsstk33,1.5161760036600753,ok
bcsstm01,0.16965440011117605,ok
bcsstm02,0.1679712007753551,ok
bcsstm03,0.16905920091085133,ok
bcsstm04,0.16014399998821316,ok
bcsstm05,0.15601920105982572,ok
bcsstm06,0.16109120054170487,ok
bcsstm07,0.33809280109126116,ok
bcsstm08,0.17129280117806048,ok
bcsstm09,0.17504320042207838,ok
bcsstm10,0.4965184006374329,ok
bcsstm11,0.17097279953304678,ok
bcsstm12,0.36343039947096256,ok
bcsstm13,0.4511424010386691,ok
bcsstm19,0.17271039956249296,ok
bcsstm20,0.17493760099168867,ok
bcsstm21,0.16242560087703167,ok
bcsstm22,0.15911039994098244,ok
bcsstm23,0.17472960087470707,ok
bcsstm24,0.17449279967695475,ok
bcsstm25,0.18762880000285803,ok
bcsstm26,0.17442879944574088,ok
bcsstm27,0.5422367983264849,ok
blckhole,0.22375040054321288,ok
bp_0,0.2312320007244125,ok
bp_1000,0.2590399991022423,ok
bp_1200,0.2586592010222375,ok
bp_1400,0.26105599869042634,ok
bp_1600,0.2649055984569713,ok
bp_200,0.25256000061053785,ok
bp_400,0.2538655996788293,ok
bp_600,0.2555071996757761,ok
bp_800,0.2578751986613497,ok
can_1054,0.32996159966569394,ok
can_1072,0.36255680092144754,ok
can_144,0.3313119996339083,ok
can_161,0.3275263987248764,ok
can_187,0.325088000157848,ok
can_229,0.35656959831248963,ok
can_24,0.19818239950109273,ok
can_256,0.35237439991906283,ok
can_268,0.34047680073417724,ok
can_292,0.3382944020442665,ok
can_445,0.33054080011788756,ok
can_61,0.32480640155263246,ok
can_62,0.20069440025836227,ok
can_634,0.35490560024045403,ok
can_715,0.3818560011452064,ok
can_73,0.2038591999793425,ok
can_838,0.35192319911438974,ok
can_96,0.3253632005536929,ok
