matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,cnnz
1138_bus,1138,Y,0.2005,0.117,0.139,merge3,0.227,0.307,0.086,11142
494_bus,494,Y,0.4426,0.098,0.099,merge3,0.224,0.349,0.08,4062
662_bus,662,Y,0.3578,0.099,0.096,merge3,0.226,0.356,0.087,6480
685_bus,685,Y,0.4192,0.128,0.125,merge3,0.227,0.358,0.085,9337
arc130,130,N,7.5858,0.157,0.305,hash,0.382,0.462,0.087,15631
ash292,292,Y,1.466,0.121,0.122,merge3,0.235,0.382,0.076,6042
ash85,85,Y,4.2076,0.113,0.104,merge3,0.242,0.369,0.078,1317
bcspwr01,39,Y,5.5884,0.095,0.112,merge3,0.205,0.321,0.081,275
bcspwr02,49,Y,4.4981,0.084,0.103,merge3,0.213,0.339,0.081,403
bcspwr03,118,Y,2.133,0.111,0.099,merge3,0.237,0.333,0.079,1270
bcspwr04,274,Y,1.2561,0.104,0.106,merge3,0.226,0.349,0.079,4982
bcspwr05,443,Y,0.5264,0.104,0.109,merge3,0.227,0.364,0.08,4249
bcspwr06,1454,Y,0.1597,0.143,0.14,merge3,0.229,0.34,0.084,14110
bcspwr07,1612,Y,0.1431,0.145,0.145,merge3,0.228,0.353,0.09,15684
bcspwr08,1624,Y,0.1455,0.184,0.137,merge3,0.227,0.34,0.088,16916
bcspwr09,1723,Y,0.1387,0.119,0.122,merge3,0.238,0.371,0.089,18485
bcspwr10,5300,Y,0.0483,0.16,0.155,merge3,0.265,1.185,0.1,60498
bcsstk01,48,Y,9.7222,0.102,0.106,merge3,0.359,0.331,0.077,1292
bcsstk02,66,Y,50.7576,0.146,0.312,hash,0.897,0.713,0.087,4356
bcsstk03,112,Y,2.9974,0.092,0.161,merge3,0.204,0.325,0.074,1072
bcsstk04,132,Y,10.8471,0.151,0.149,merge3,0.531,0.436,0.083,11968
bcsstk05,153,Y,5.5022,0.11,0.108,merge3,0.364,0.399,0.077,7245
bcsstk06,420,Y,2.3469,0.148,0.137,merge3,0.389,0.384,0.087,23660
bcsstk07,420,Y,2.3469,0.136,0.133,merge3,0.358,0.378,0.086,23660
bcsstk08,1074,Y,0.6083,1.162,0.589,hash,0.437,1.041,0.136,305612
bcsstk09,1083,Y,0.8321,0.173,0.14,merge3,0.401,0.372,0.089,71289
bcsstk10,1086,Y,0.9817,0.194,0.187,merge3,0.585,0.427,0.092,54504
bcsstk11,1473,Y,0.823,0.212,0.216,merge3,0.597,0.68,0.098,94187
bcsstk12,1473,Y,0.823,0.207,0.206,merge3,0.586,0.697,0.098,94187
bcsstk13,2003,Y,1.0704,0.833,0.871,hash,0.756,0.915,0.199,396773
bcsstk14,1806,Y,1.0004,0.383,0.524,hash,0.679,0.647,0.129,195654
bcsstk15,3948,Y,0.3906,0.541,0.373,hash,0.492,0.896,0.177,527688
bcsstk16,4884,Y,0.6189,1.699,0.594,hash,0.94,1.653,0.422,1038782
bcsstk17,10974,Y,0.1825,1.665,0.802,hash,0.873,1.903,0.57,1406936
bcsstk18,11948,Y,0.0564,0.655,0.507,hash,0.518,1.461,0.198,713208
bcsstk19,817,Y,0.5745,0.137,0.113,merge3,0.356,0.351,0.085,18305
bcsstk20,485,Y,0.7695,0.101,0.104,merge3,0.287,0.343,0.082,5545
bcsstk21,3600,Y,0.1165,0.179,0.159,merge3,0.238,0.487,0.099,93072
bcsstk22,138,Y,2.1897,0.099,0.109,merge3,0.219,0.356,0.075,1552
bcsstk23,3134,Y,0.2459,0.28,0.288,merge3,0.374,0.647,0.121,220632
bcsstk24,3562,Y,0.6442,0.577,0.448,hash,0.673,1.161,0.225,446474
bcsstk25,15439,Y,0.0561,0.959,0.562,hash,0.524,1.655,0.432,1168919
bcsstk26,1922,Y,0.4366,0.199,0.183,merge3,0.394,0.738,0.113,92530
bcsstk27,1224,Y,1.914,0.374,0.51,hash,0.567,0.794,0.126,138106
bcsstk28,4410,Y,0.5744,0.857,0.5,hash,0.785,1.55,0.324,596072
bcsstk29,13992,Y,0.1618,1.929,0.887,hash,1.13,1.971,0.739,1965686
bcsstk30,28924,Y,0.1239,16.718,2.938,hash,2.611,5.076,3.425,8946070
bcsstk31,35588,Y,0.048,4.164,1.382,hash,1.444,2.947,1.249,4713580
bcsstk32,44609,Y,0.0517,7.585,2.093,hash,1.917,3.93,2.421,6819653
bcsstk33,8738,Y,0.3933,4.005,1.021,hash,1.672,2.185,0.917,2569536
bcsstm01,48,Y,2.0833,0.079,0.074,merge3,0.166,0.319,0.065,48
bcsstm02,66,Y,1.5152,0.074,0.091,merge3,0.177,0.316,0.067,66
bcsstm03,112,Y,0.8929,0.082,0.083,merge3,0.179,0.325,0.07,112
bcsstm04,132,Y,0.7576,0.095,0.095,merge3,0.187,0.301,0.068,132
bcsstm05,153,Y,0.6536,0.084,0.097,merge3,0.209,0.335,0.07,153
bcsstm06,420,Y,0.2381,0.079,0.077,merge3,0.196,0.325,0.073,420
bcsstm07,420,Y,2.1746,0.127,0.136,merge3,0.349,0.381,0.086,22972
