matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.375,0.27,0.155,0.156,merge3,0.221,0.311,11142
494_bus,494,Y,0.4426,0.402,0.232,0.13,0.136,merge3,0.218,0.288,4062
662_bus,662,Y,0.3578,0.363,0.232,0.134,0.144,merge3,0.38,0.297,6480
685_bus,685,Y,0.4192,0.348,0.283,0.147,0.149,merge3,0.205,0.297,9337
arc130,130,N,7.5858,0.355,1.496,0.175,0.182,merge3,0.368,0.45,15631
ash292,292,Y,1.466,0.413,0.248,0.13,0.147,merge3,0.201,0.299,6042
ash85,85,Y,4.2076,0.355,0.207,0.124,0.115,merge3,0.172,0.278,1317
bcspwr01,39,Y,5.5884,0.331,0.203,0.124,0.12,merge3,0.183,0.268,275
bcspwr02,49,Y,4.4981,0.394,0.229,0.132,0.116,merge3,0.196,0.294,403
bcspwr03,118,Y,2.133,0.358,0.239,0.128,0.129,merge3,0.197,0.279,1270
bcspwr04,274,Y,1.2561,0.4,0.275,0.13,0.13,merge3,0.211,0.303,4982
bcspwr05,443,Y,0.5264,0.35,0.209,0.124,0.142,merge3,0.22,0.298,4249
bcspwr06,1454,Y,0.1597,0.368,0.261,0.164,0.17,merge3,0.218,0.308,14110
bcspwr07,1612,Y,0.1431,0.376,0.261,0.174,0.183,merge3,0.22,0.317,15684
bcspwr08,1624,Y,0.1455,0.369,0.273,0.176,0.167,merge3,0.211,0.309,16916
bcspwr09,1723,Y,0.1387,0.366,0.31,0.145,0.15,merge3,0.209,0.296,18485
bcspwr10,5300,Y,0.0483,0.441,0.453,0.183,0.183,merge3,0.192,0.894,60498
bcsstk01,48,Y,9.7222,0.408,0.231,0.154,0.122,merge3,0.296,0.295,1292
bcsstk02,66,Y,50.7576,0.417,1.721,0.151,0.155,merge3,0.797,0.663,4356
bcsstk03,112,Y,2.9974,0.368,0.206,0.116,0.15,merge3,0.161,0.282,1072
bcsstk04,132,Y,10.8471,0.44,1.029,0.166,0.164,merge3,0.46,0.375,11968
bcsstk05,153,Y,5.5022,0.368,0.372,0.14,0.139,merge3,0.313,0.321,7245
bcsstk06,420,Y,2.3469,0.501,0.565,0.161,0.17,merge3,0.343,0.344,23660
bcsstk07,420,Y,2.3469,0.477,0.555,0.175,0.172,merge3,0.309,0.351,23660
bcsstk08,1074,Y,0.6083,0.758,20.681,1.046,1.045,merge3,0.354,0.791,305612
bcsstk09,1083,Y,0.8321,0.435,0.866,0.192,0.188,merge3,0.343,0.331,71289
bcsstk10,1086,Y,0.9817,0.483,0.997,0.225,0.226,merge3,0.511,0.356,54504
bcsstk11,1473,Y,0.823,0.627,1.07,0.235,0.223,merge3,0.497,0.533,94187
bcsstk12,1473,Y,0.823,0.658,1.083,0.24,0.222,merge3,0.54,0.535,94187
bcsstk13,2003,Y,1.0704,1.059,6.024,0.974,0.987,merge3,0.726,0.927,396773
bcsstk14,1806,Y,1.0004,0.802,1.917,0.506,0.502,merge3,0.599,0.543,195654
bcsstk15,3948,Y,0.3906,1.17,2.38,0.7,0.725,merge3,0.437,0.684,527688
bcsstk16,4884,Y,0.6189,1.684,8.811,1.744,1.797,merge3,0.772,1.402,1038782
bcsstk17,10974,Y,0.1825,2.453,9.475,1.834,1.717,merge3,0.766,1.711,1406936
bcsstk18,11948,Y,0.0564,0.945,2.371,0.884,0.812,merge3,0.426,1.206,713208
bcsstk19,817,Y,0.5745,0.371,0.238,0.142,0.135,merge3,0.351,0.324,18305
bcsstk20,485,Y,0.7695,0.359,0.226,0.137,0.141,merge3,0.217,0.324,5545
bcsstk21,3600,Y,0.1165,0.494,0.466,0.207,0.217,merge3,0.229,0.418,93072
bcsstk22,138,Y,2.1897,0.406,0.259,0.121,0.127,merge3,0.207,0.302,1552
bcsstk23,3134,Y,0.2459,0.659,1.336,0.399,0.405,merge3,0.334,0.534,220632
bcsstk24,3562,Y,0.6442,1.283,3.19,0.742,0.733,merge3,0.646,0.974,446474
bcsstk25,15439,Y,0.0561,1.148,3.601,1.158,1.201,merge3,0.439,1.457,1168919
bcsstk26,1922,Y,0.4366,0.541,1.055,0.221,0.211,merge3,0.386,0.522,92530
bcsstk27,1224,Y,1.914,0.769,2.187,0.44,0.437,merge3,0.498,0.632,138106
bcsstk28,4410,Y,0.5744,1.469,5.088,1.003,1.027,merge3,0.673,1.337,596072
bcsstk29,13992,Y,0.1618,3.006,9.34,2.094,2.002,merge3,0.968,1.766,1965686
bcsstk30,28924,Y,0.1239,8.388,88.574,15.941,7.596,hash,2.393,4.773,8946070
bcsstk31,35588,Y,0.048,5.239,19.511,4.258,4.28,merge3,1.24,2.657,4713580
bcsstk32,44609,Y,0.0517,8.488,37.124,7.124,7.104,merge3,1.736,3.664,6819653
bcsstk33,8738,Y,0.3933,3.041,21.004,3.821,3.914,merge3,1.565,1.943,2569536
bcsstm01,48,Y,2.0833,0.327,0.174,0.105,0.136,merge3,0.152,0.268,48
bcsstm02,66,Y,1.5152,0.4,0.186,0.126,0.106,merge3,0.153,0.276,66
bcsstm03,112,Y,0.8929,0.335,0.163,0.132,0.11,merge3,0.17,0.295,112
bcsstm04,132,Y,0.7576,0.377,0.227,0.111,0.117,merge3,0.174,0.293,132
bcsstm05,153,Y,0.6536,0.341,0.182,0.116,0.123,merge3,0.157,0.265,153
bcsstm06,420,Y,0.2381,0.353,0.226,0.132,0.122,merge3,0.175,0.28,420
bcsstm07,420,Y,2.1746,0.501,0.607,0.159,0.163,merge3,0.309,0.391,22972
bcsstm08,1074,Y,0.0931,0.368,0.179,0.124,0.12,merge3,0.173,0.306,1074
bcsstm09,1083,Y,0.0923,0.378,0.194,0.123,0.125,merge3,0.159,0.279,1083
bcsstm10,1086,Y,0.9826,0.463,0.921,0.196,0.236,merge3,0.388,0.292,54504
bcsstm11,1473,Y,0.0679,0.407,0.18,0.12,0.118,merge3,0.176,0.282,1473
