matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.135,0.15,merge3,0.212,0.33,0.753,11142
494_bus,494,Y,0.4426,0.145,0.122,merge3,0.217,0.288,0.671,4062
662_bus,662,Y,0.3578,0.124,0.128,merge3,0.212,0.29,0.709,6480
685_bus,685,Y,0.4192,0.147,0.121,merge3,0.208,0.292,0.604,9337
arc130,130,N,7.5858,0.165,0.163,merge3,0.353,0.407,0.788,15631
ash292,292,Y,1.466,0.14,0.132,merge3,0.204,0.303,0.678,6042
ash85,85,Y,4.2076,0.111,0.114,merge3,0.194,0.287,0.651,1317
bcspwr01,39,Y,5.5884,0.103,0.12,merge3,0.18,0.282,0.642,275
bcspwr02,49,Y,4.4981,0.116,0.148,merge3,0.185,0.281,0.764,403
bcspwr03,118,Y,2.133,0.118,0.123,merge3,0.197,0.291,0.586,1270
bcspwr04,274,Y,1.2561,0.121,0.142,merge3,0.209,0.292,0.764,4982
bcspwr05,443,Y,0.5264,0.131,0.145,merge3,0.202,0.289,0.575,4249
bcspwr06,1454,Y,0.1597,0.141,0.171,merge3,0.185,0.293,0.581,14110
bcspwr07,1612,Y,0.1431,0.145,0.146,merge3,0.221,0.378,1.086,15684
bcspwr08,1624,Y,0.1455,0.151,0.163,merge3,0.221,0.315,0.754,16916
bcspwr09,1723,Y,0.1387,0.137,0.132,merge3,0.211,0.309,0.569,18485
bcspwr10,5300,Y,0.0483,0.183,0.188,merge3,0.237,0.915,0.726,60498
bcsstk01,48,Y,9.7222,0.11,0.113,merge3,0.325,0.295,0.737,1292
bcsstk02,66,Y,50.7576,0.139,0.142,merge3,0.788,0.674,0.796,4356
bcsstk03,112,Y,2.9974,0.147,0.265,merge3,0.159,0.225,0.828,1072
bcsstk04,132,Y,10.8471,0.145,0.141,merge3,0.395,0.38,0.624,11968
bcsstk05,153,Y,5.5022,0.136,0.136,merge3,0.35,0.342,0.74,7245
