matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cublas,cnnz
bp_1000,822,N,0.6898,0.314,0.365,hash,0.258,1.508,0.48,0.554,0.437,21373
bp_1200,822,N,0.6994,0.349,0.38,hash,0.262,1.195,0.476,0.554,0.432,22313
bp_1400,822,N,0.7089,0.314,0.37,hash,0.265,1.395,0.482,0.552,0.436,23154
bp_1600,822,N,0.7165,0.315,0.369,hash,0.267,0.644,0.482,0.558,0.424,23625
bp_200,822,N,0.5627,0.307,0.311,hash,0.256,1.399,0.468,0.566,0.433,13197
bp_400,822,N,0.5961,0.317,0.325,hash,0.256,1.264,0.473,0.56,0.435,15238
bp_600,822,N,0.6174,0.317,0.335,hash,0.256,1.369,0.471,0.548,0.43,16464
bp_800,822,N,0.671,0.34,0.342,hash,0.256,1.647,0.467,0.554,0.442,20224
can_1054,1054,Y,0.5964,0.403,0.188,merge3,0.367,0.703,0.344,0.772,0.55,60248
can_1072,1072,Y,0.5881,0.394,0.176,merge3,0.36,1.497,0.341,0.89,0.664,62316
can_144,144,Y,3.4722,0.286,0.126,merge3,0.329,1.456,0.311,0.23,0.285,3456
can_161,161,Y,2.9667,0.273,0.135,merge3,0.328,0.732,0.305,0.243,0.304,3761
can_187,187,Y,2.3993,0.291,0.124,merge3,0.321,1.134,0.296,0.262,0.307,3719
can_229,229,Y,1.9126,0.289,0.146,merge3,0.326,0.933,0.303,0.266,0.316,5017
can_24,24,Y,15.9722,0.267,0.118,merge3,0.2,1.219,0.28,0.206,0.294,336
can_256,256,Y,2.42,0.304,0.174,merge3,0.347,1.196,0.359,0.32,0.356,18568
can_268,268,Y,2.3321,0.305,0.154,merge3,0.343,1.73,0.321,0.284,0.318,15590
can_292,292,Y,1.6607,0.315,0.131,merge3,0.349,0.761,0.325,0.285,0.321,11670
can_445,445,Y,1.0741,0.315,0.149,merge3,0.334,0.893,0.321,0.373,0.386,11193
can_61,61,Y,8.3042,0.295,0.123,merge3,0.319,0.854,0.312,0.21,0.305,1793
can_62,62,Y,3.642,0.292,0.122,merge3,0.196,0.875,0.29,0.205,0.291,482
can_634,634,Y,0.978,0.389,0.145,merge3,0.357,0.753,0.332,0.449,0.398,25446
can_715,715,Y,0.7218,0.381,0.276,merge3,0.38,1.138,0.378,0.559,0.468,39785
can_73,73,Y,4.2222,0.282,0.127,merge3,0.205,1.022,0.286,0.208,0.288,1377
can_838,838,Y,0.7724,0.387,0.155,merge3,0.357,0.734,0.351,0.584,0.449,51156
can_96,96,Y,4.6875,0.284,0.12,merge3,0.317,0.953,0.292,0.205,0.283,1920
