matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.111,0.11,merge3,0.221,0.304,11142
494_bus,494,Y,0.4426,0.109,0.089,merge3,0.204,0.287,4062
662_bus,662,Y,0.3578,0.113,0.093,merge3,0.242,0.307,6480
685_bus,685,Y,0.4192,0.121,0.109,merge3,0.219,0.302,9337
arc130,130,N,7.5858,0.165,0.153,merge3,0.374,0.413,15631
ash292,292,Y,1.466,0.103,0.118,merge3,0.22,0.302,6042
ash85,85,Y,4.2076,0.092,0.106,merge3,0.209,0.299,1317
bcspwr01,39,Y,5.5884,0.085,0.08,merge3,0.194,0.287,275
bcspwr02,49,Y,4.4981,0.087,0.096,merge3,0.201,0.292,403
bcspwr03,118,Y,2.133,0.103,0.091,merge3,0.214,0.294,1270
bcspwr04,274,Y,1.2561,0.102,0.117,merge3,0.208,0.298,4982
bcspwr05,443,Y,0.5264,0.087,0.089,merge3,0.219,0.311,4249
bcspwr06,1454,Y,0.1597,0.124,0.124,merge3,0.218,0.308,14110
bcspwr07,1612,Y,0.1431,0.127,0.143,merge3,0.223,0.315,15684
bcspwr08,1624,Y,0.1455,0.131,0.14,merge3,0.219,0.307,16916
bcspwr09,1723,Y,0.1387,0.109,0.112,merge3,0.227,0.318,18485
bcspwr10,5300,Y,0.0483,0.158,0.146,merge3,0.234,0.959,60498
bcsstk01,48,Y,9.7222,0.088,0.111,merge3,0.296,0.287,1292
bcsstk02,66,Y,50.7576,0.107,0.111,merge3,0.81,0.686,4356
bcsstk03,112,Y,2.9974,0.085,0.081,merge3,0.16,0.282,1072
bcsstk04,132,Y,10.8471,0.142,0.127,merge3,0.464,0.376,11968
bcsstk05,153,Y,5.5022,0.121,0.111,merge3,0.346,0.344,7245
bcsstk06,420,Y,2.3469,0.132,0.137,merge3,0.341,0.355,23660
bcsstk07,420,Y,2.3469,0.129,0.131,merge3,0.347,0.335,23660
bcsstk08,1074,Y,0.6083,0.912,0.517,hash,0.428,0.8,305612
bcsstk09,1083,Y,0.8321,0.156,0.177,merge3,0.343,0.374,71289
bcsstk10,1086,Y,0.9817,0.162,0.164,merge3,0.455,0.345,54504
bcsstk11,1473,Y,0.823,0.181,0.187,merge3,0.543,0.531,94187
bcsstk12,1473,Y,0.823,0.184,0.186,merge3,0.538,0.528,94187
bcsstk13,2003,Y,1.0704,0.755,0.776,merge3,0.656,0.885,396773
bcsstk14,1806,Y,1.0004,0.342,0.645,merge3,0.549,0.526,195654
bcsstk15,3948,Y,0.3906,0.504,0.502,merge3,0.41,0.685,527688
bcsstk16,4884,Y,0.6189,1.556,1.544,merge3,0.824,1.424,1038782
bcsstk17,10974,Y,0.1825,1.541,0.56,hash,0.689,1.743,1406936
bcsstk18,11948,Y,0.0564,0.606,0.428,hash,0.454,1.279,713208
bcsstk19,817,Y,0.5745,0.102,0.094,merge3,0.31,0.309,18305
bcsstk20,485,Y,0.7695,0.096,0.097,merge3,0.217,0.328,5545
bcsstk21,3600,Y,0.1165,0.155,0.152,merge3,0.217,0.419,93072
bcsstk22,138,Y,2.1897,0.091,0.107,merge3,0.205,0.303,1552
bcsstk23,3134,Y,0.2459,0.249,0.271,merge3,0.371,0.523,220632
bcsstk24,3562,Y,0.6442,0.534,0.533,merge3,0.584,0.939,446474
bcsstk25,15439,Y,0.0561,0.93,0.512,hash,0.505,1.461,1168919
bcsstk26,1922,Y,0.4366,0.168,0.171,merge3,0.384,0.494,92530
bcsstk27,1224,Y,1.914,0.338,0.352,merge3,0.441,0.671,138106
bcsstk28,4410,Y,0.5744,0.811,0.813,merge3,0.692,1.374,596072
bcsstk29,13992,Y,0.1618,1.749,0.69,hash,0.921,1.72,1965686
bcsstk30,28924,Y,0.1239,15.697,2.524,hash,2.356,4.757,8946070
bcsstk31,35588,Y,0.048,4.109,1.175,hash,1.294,2.779,4713580
bcsstk32,44609,Y,0.0517,6.856,1.74,hash,1.791,3.788,6819653
bcsstk33,8738,Y,0.3933,3.662,0.829,hash,1.571,1.959,2569536
bcsstm01,48,Y,2.0833,0.076,0.182,merge3,0.154,0.283,48
bcsstm02,66,Y,1.5152,0.102,0.079,merge3,0.172,0.297,66
bcsstm03,112,Y,0.8929,0.085,0.076,merge3,0.137,0.278,112
bcsstm04,132,Y,0.7576,0.082,0.071,merge3,0.157,0.265,132
bcsstm05,153,Y,0.6536,0.104,0.075,merge3,0.176,0.275,153
bcsstm06,420,Y,0.2381,0.081,0.092,merge3,0.172,0.294,420
bcsstm07,420,Y,2.1746,0.127,0.145,merge3,0.343,0.347,22972
bcsstm08,1074,Y,0.0931,0.086,0.092,merge3,0.175,0.299,1074
bcsstm09,1083,Y,0.0923,0.085,0.086,merge3,0.178,0.296,1083
bcsstm10,1086,Y,0.9826,0.164,0.165,merge3,0.534,0.357,54504
bcsstm11,1473,Y,0.0679,0.084,0.083,merge3,0.174,0.293,1473
bcsstm12,1473,Y,0.487,0.15,0.143,merge3,0.336,0.273,53615
bcsstm13,2003,Y,0.2984,0.334,0.33,merge3,0.447,0.558,90811
bcsstm19,817,Y,0.1224,0.09,0.105,merge3,0.172,0.294,817
