Ocean baseline(compute-only = GPU 阶段求和,ms)
[1/100] 1138_bus → 0.188 ms
[2/100] 494_bus → 0.172 ms
[3/100] 662_bus → 0.176 ms
[4/100] 685_bus → 0.176 ms
[5/100] arc130 → 0.296 ms
[6/100] ash292 → 0.174 ms
[7/100] ash85 → 0.167 ms
[8/100] bcspwr01 → 0.159 ms
[9/100] bcspwr02 → 0.160 ms
[10/100] bcspwr03 → 0.172 ms
[11/100] bcspwr04 → 0.178 ms
[12/100] bcspwr05 → 0.172 ms
[13/100] bcspwr06 → 0.180 ms
[14/100] bcspwr07 → 0.179 ms
[15/100] bcspwr08 → 0.180 ms
[16/100] bcspwr09 → 0.182 ms
[17/100] bcspwr10 → 0.188 ms
[18/100] bcsstk01 → 0.242 ms
[19/100] bcsstk02 → 0.677 ms
[20/100] bcsstk03 → 0.139 ms
[21/100] bcsstk04 → 0.388 ms
[22/100] bcsstk05 → 0.265 ms
[23/100] bcsstk06 → 0.265 ms
[24/100] bcsstk07 → 0.262 ms
[25/100] bcsstk08 → 0.394 ms
[26/100] bcsstk09 → 0.314 ms
[27/100] bcsstk10 → 0.379 ms
[28/100] bcsstk11 → 0.408 ms
[29/100] bcsstk12 → 0.424 ms
[30/100] bcsstk13 → 0.563 ms
[31/100] bcsstk14 → 0.458 ms
[32/100] bcsstk15 → 0.351 ms
[33/100] bcsstk16 → 0.687 ms
[34/100] bcsstk17 → 0.678 ms
[35/100] bcsstk18 → 0.371 ms
[36/100] bcsstk19 → 0.263 ms
[37/100] bcsstk20 → 0.174 ms
[38/100] bcsstk21 → 0.178 ms
[39/100] bcsstk22 → 0.170 ms
[40/100] bcsstk23 → 0.282 ms
[41/100] bcsstk24 → 0.505 ms
[42/100] bcsstk25 → 0.445 ms
[43/100] bcsstk26 → 0.311 ms
[44/100] bcsstk27 → 0.416 ms
[45/100] bcsstk28 → 0.608 ms
[46/100] bcsstk29 → 0.828 ms
[47/100] bcsstk30 → 2.259 ms
[48/100] bcsstk31 → 1.141 ms
[49/100] bcsstk32 → 1.654 ms
[50/100] bcsstk33 → 1.416 ms
[51/100] bcsstm01 → 0.131 ms
[52/100] bcsstm02 → 0.130 ms
[53/100] bcsstm03 → 0.135 ms
[54/100] bcsstm04 → 0.134 ms
[55/100] bcsstm05 → 0.135 ms
[56/100] bcsstm06 → 0.135 ms
[57/100] bcsstm07 → 0.264 ms
[58/100] bcsstm08 → 0.137 ms
[59/100] bcsstm09 → 0.137 ms
[60/100] bcsstm10 → 0.376 ms
[61/100] bcsstm11 → 0.137 ms
[62/100] bcsstm12 → 0.283 ms
[63/100] bcsstm13 → 0.366 ms
[64/100] bcsstm19 → 0.135 ms
[65/100] bcsstm20 → 0.137 ms
[66/100] bcsstm21 → 0.152 ms
[67/100] bcsstm22 → 0.135 ms
[68/100] bcsstm23 → 0.138 ms
[69/100] bcsstm24 → 0.139 ms
[70/100] bcsstm25 → 0.147 ms
[71/100] bcsstm26 → 0.137 ms
[72/100] bcsstm27 → 0.429 ms
[73/100] blckhole → 0.179 ms
[74/100] bp_0 → 0.206 ms
[75/100] bp_1000 → 0.217 ms
[76/100] bp_1200 → 0.220 ms
[77/100] bp_1400 → 0.221 ms
[78/100] bp_1600 → 0.224 ms
[79/100] bp_200 → 0.212 ms
[80/100] bp_400 → 0.214 ms
[81/100] bp_600 → 0.216 ms
[82/100] bp_800 → 0.215 ms
[83/100] can_1054 → 0.284 ms
[84/100] can_1072 → 0.284 ms
[85/100] can_144 → 0.252 ms
[86/100] can_161 → 0.254 ms
[87/100] can_187 → 0.250 ms
[88/100] can_229 → 0.251 ms
[89/100] can_24 → 0.163 ms
[90/100] can_256 → 0.277 ms
[91/100] can_268 → 0.266 ms
[92/100] can_292 → 0.267 ms
[93/100] can_445 → 0.256 ms
[94/100] can_61 → 0.252 ms
[95/100] can_62 → 0.158 ms
[96/100] can_634 → 0.278 ms
[97/100] can_715 → 0.300 ms
[98/100] can_73 → 0.165 ms
[99/100] can_838 → 0.279 ms
[100/100] can_96 → 0.249 ms

写出 /home/xueyizhou/spgemm-challenge/suitesparse_crawl/baseline_ocean.csv  (ok 100/100)
