matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.132,0.121,merge3,0.227,0.359,11142
494_bus,494,Y,0.4426,0.102,0.095,merge3,0.228,0.347,4062
662_bus,662,Y,0.3578,0.088,0.1,merge3,0.226,0.345,6480
685_bus,685,Y,0.4192,0.126,0.105,merge3,0.227,0.369,9337
arc130,130,N,7.5858,0.15,0.299,hash,0.386,0.447,15631
ash292,292,Y,1.466,0.129,0.13,merge3,0.224,0.378,6042
ash85,85,Y,4.2076,0.109,0.099,merge3,0.207,0.348,1317
bcspwr01,39,Y,5.5884,0.1,0.088,merge3,0.2,0.33,275
bcspwr02,49,Y,4.4981,0.093,0.091,merge3,0.201,0.307,403
bcspwr03,118,Y,2.133,0.091,0.1,merge3,0.21,0.335,1270
bcspwr04,274,Y,1.2561,0.109,0.1,merge3,0.243,0.327,4982
bcspwr05,443,Y,0.5264,0.102,0.1,merge3,0.229,0.343,4249
bcspwr06,1454,Y,0.1597,0.126,0.13,merge3,0.247,0.353,14110
bcspwr07,1612,Y,0.1431,0.14,0.126,merge3,0.225,0.386,15684
bcspwr08,1624,Y,0.1455,0.14,0.137,merge3,0.227,0.344,16916
bcspwr09,1723,Y,0.1387,0.115,0.114,merge3,0.244,0.355,18485
bcspwr10,5300,Y,0.0483,0.147,0.16,merge3,0.243,1.088,60498
bcsstk01,48,Y,9.7222,0.088,0.08,merge3,0.328,0.326,1292
bcsstk02,66,Y,50.7576,0.117,0.258,hash,0.969,0.709,4356
bcsstk03,112,Y,2.9974,0.094,0.091,merge3,0.18,0.333,1072
bcsstk04,132,Y,10.8471,0.125,0.138,merge3,0.509,0.412,11968
bcsstk05,153,Y,5.5022,0.13,0.132,merge3,0.369,0.382,7245
bcsstk06,420,Y,2.3469,0.148,0.14,merge3,0.381,0.393,23660
bcsstk07,420,Y,2.3469,0.183,0.151,merge3,0.352,0.395,23660
bcsstk08,1074,Y,0.6083,0.928,0.572,hash,0.44,0.876,305612
