name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h,cu_cnnz,bucket
ash85,Mildly sparse,gust,85,523,0.07000000000005,,0.0179999999999154,0.0330000000000154,0.0190000000000054,,,,0.1020000000000891,0.0339999999999918,0.0499999999999545,,0.01400000000001,0.0080000000000381,1317,"中
(1K-10K)"
can_73,Mildly sparse,cu,73,377,0.0620000000000118,,,,,0.0399999999999636,0.1469999999999345,0.04200000000003,,,,,0.0130000000000336,0.0209999999999581,1377,"中
(1K-10K)"
can_73,Mildly sparse,gust,73,377,0.0610000000000354,,0.016999999999939,0.0320000000000391,0.0190000000000054,,,,0.0430000000000063,0.0319999999999254,0.0450000000000727,,0.0129999999999199,0.0090000000000145,1377,"中
(1K-10K)"
bcspwr02,Mildly sparse,cu,49,167,0.0629999999999881,,,,,0.0380000000000109,0.1470000000000482,0.0409999999999399,,,,,0.0130000000000336,0.0220000000000482,403,"小
(C<1K)"
bcspwr02,Mildly sparse,gust,49,167,0.0600000000000591,,0.0159999999999627,0.0320000000000391,0.0179999999999154,,,,0.0410000000000536,0.0330000000000154,0.044999999999959,,0.0130000000000336,0.0079999999999245,403,"小
(C<1K)"
can_144,Mildly sparse,cu,144,1296,0.0649999999999408,,,,,0.0470000000000254,0.1409999999999627,0.04200000000003,,,,,0.0130000000000336,0.0219999999999345,3456,"中
(1K-10K)"
can_144,Mildly sparse,gust,144,1296,0.0620000000000118,,0.0159999999999627,0.0299999999999727,0.0190000000000054,,,,0.1050000000000181,0.0339999999999918,0.0439999999999827,,0.0130000000000336,0.0090000000000145,3456,"中
(1K-10K)"
can_62,Mildly sparse,cu,62,218,0.0619999999998981,,,,,0.0390000000001009,0.1449999999999818,0.0409999999999399,,,,,0.0130000000000336,0.0220000000000482,482,"小
(C<1K)"
can_62,Mildly sparse,gust,62,218,0.0609999999999217,,0.0180000000000291,0.0330000000000154,0.0170000000000527,,,,0.0409999999999399,0.0330000000000154,0.0439999999999827,,0.0120000000000572,0.0090000000000145,482,"小
(C<1K)"
can_161,Mildly sparse,cu,161,1377,0.0630000000001018,,,,,0.0480000000000018,0.1459999999999581,0.0459999999999354,,,,,0.0130000000000336,0.0220000000000482,3761,"中
(1K-10K)"
can_161,Mildly sparse,gust,161,1377,0.0629999999999881,,0.0160000000000763,0.030999999999949,0.0190000000000054,,,,0.1029999999999518,0.0330000000000154,0.0489999999999781,,0.0130000000000336,0.0080000000000381,3761,"中
(1K-10K)"
bcsstk03,Mildly sparse,cu,112,640,0.0629999999999881,,,,,0.0480000000000018,0.1399999999999863,0.04200000000003,,,,,0.01400000000001,0.0219999999999345,1072,"中
(1K-10K)"
bcsstk03,Mildly sparse,gust,112,640,0.0629999999999881,,0.0170000000000527,0.0330000000000154,0.016999999999939,,,,0.1040000000000418,0.0339999999999918,0.0460000000000491,,0.01400000000001,0.0079999999999245,1072,"中
(1K-10K)"
bcsstk06,Mildly sparse,cu,420,7860,0.0650000000000545,,,,,0.0459999999999354,0.2210000000000036,0.0510000000000445,,,,,0.0149999999999863,0.0829999999999699,23660,"大
(10K-100K)"
bcsstk06,Mildly sparse,gust,420,7860,0.0629999999999881,,0.0190000000000054,0.0349999999999681,0.02800000000002,,,,0.2340000000000373,0.0879999999999654,0.05600000000004,,0.0159999999999627,0.0149999999999863,23660,"大
(10K-100K)"
bcsstk07,Mildly sparse,cu,420,7860,0.0689999999999599,,,,,0.0489999999999781,0.2140000000000554,0.0480000000000018,,,,,0.01400000000001,0.0839999999999463,23660,"大
(10K-100K)"
bcsstk07,Mildly sparse,gust,420,7860,0.0629999999999881,,0.0180000000000291,0.0319999999999254,0.0270000000000436,,,,0.2259999999999991,0.0839999999999463,0.0570000000000163,,0.0170000000000527,0.0149999999999863,23660,"大
(10K-100K)"
can_256,Mildly sparse,cu,256,2916,0.07000000000005,,,,,0.0489999999999781,0.1549999999999727,0.0439999999999827,,,,,0.0130000000000336,0.02800000000002,18568,"大
(10K-100K)"
can_256,Mildly sparse,gust,256,2916,0.0649999999999408,,0.0199999999999818,0.0320000000000391,0.0299999999999727,,,,0.1180000000000518,0.0339999999999918,0.0480000000000018,,0.01400000000001,0.0129999999999199,18568,"大
(10K-100K)"
can_268,Mildly sparse,cu,268,3082,0.0630000000001018,,,,,0.0480000000000018,0.1589999999999918,0.0459999999999354,,,,,0.0130000000000336,0.0259999999999536,15590,"大
(10K-100K)"
can_268,Mildly sparse,gust,268,3082,0.0629999999999881,,0.0180000000000291,0.0320000000000391,0.0259999999999536,,,,0.1209999999999809,0.0350000000000818,0.0519999999999072,,0.0130000000000336,0.0120000000000572,15590,"大
(10K-100K)"
can_187,Mildly sparse,cu,187,1491,0.0660000000000309,,,,,0.0480000000000018,0.1409999999999627,0.0439999999999827,,,,,0.0130000000000336,0.0219999999999345,3719,"中
(1K-10K)"
can_187,Mildly sparse,gust,187,1491,0.0629999999999881,,0.0170000000000527,0.030999999999949,0.0180000000000291,,,,0.1029999999999518,0.0330000000000154,0.0480000000000018,,0.0130000000000336,0.0090000000000145,3719,"中
(1K-10K)"
bcsstm07,Mildly sparse,cu,420,7252,0.0629999999999881,,,,,0.0500000000000682,0.2159999999998945,0.0500000000000682,,,,,0.0149999999999863,0.0839999999999463,22972,"大
(10K-100K)"
bcsstm07,Mildly sparse,gust,420,7252,0.0630000000001018,,0.0179999999999154,0.0310000000000627,0.0259999999999536,,,,0.2240000000000463,0.0839999999999463,0.0520000000000209,,0.0130000000000336,0.0149999999999863,22972,"大
(10K-100K)"
bcsstk27,Mildly sparse,cu,1224,56126,0.0789999999999508,,,,,0.0510000000000445,0.4429999999999836,0.0969999999999799,,,,,0.0160000000000763,0.1409999999999627,138106,"巨大
(C>100K)"
bcsstk27,Mildly sparse,gust,1224,56126,0.0880000000000791,,0.0269999999999299,0.0370000000000345,0.1409999999999627,,,,0.5200000000000955,0.1479999999999108,0.2880000000000109,,0.0710000000000263,0.0529999999999972,138106,"巨大
(C>100K)"
bcsstm27,Mildly sparse,cu,1224,56126,0.0779999999999745,,,,,0.0499999999999545,0.4350000000000591,0.0960000000000036,,,,,0.0159999999999627,0.1480000000000245,138106,"巨大
(C>100K)"
bcsstm27,Mildly sparse,gust,1224,56126,0.0879999999999654,,0.0209999999999581,0.0340000000001055,0.1359999999999672,,,,0.5219999999999345,0.1580000000000154,0.2830000000000154,,0.0650000000000545,0.0579999999999927,138106,"巨大
(C>100K)"
bcsstk22,Mildly sparse,cu,138,696,0.0630000000001018,,,,,0.0409999999999399,0.1539999999999963,0.044999999999959,,,,,0.01400000000001,0.0220000000000482,1552,"中
(1K-10K)"
bcsstk22,Mildly sparse,gust,138,696,0.0630000000001018,,0.0159999999999627,0.0319999999999254,0.0190000000000054,,,,0.1030000000000654,0.0370000000000345,0.0459999999999354,,0.0130000000000336,0.0090000000000145,1552,"中
(1K-10K)"
bcspwr03,Mildly sparse,cu,118,476,0.0620000000000118,,,,,0.044999999999959,0.1449999999999818,0.0450000000000727,,,,,0.0149999999999863,0.02800000000002,1270,"中
(1K-10K)"
bcspwr03,Mildly sparse,gust,118,476,0.0620000000000118,,0.0180000000000291,0.0349999999999681,0.0190000000000054,,,,0.0430000000000063,0.0339999999999918,0.0480000000000018,,0.01400000000001,0.0090000000000145,1270,"中
(1K-10K)"
can_229,Mildly sparse,cu,229,1777,0.0659999999999172,,,,,0.0480000000000018,0.1470000000000482,0.0439999999999827,,,,,0.01400000000001,0.0220000000000482,5017,"中
(1K-10K)"
can_229,Mildly sparse,gust,229,1777,0.0629999999999881,,0.0170000000000527,0.0330000000000154,0.0189999999998917,,,,0.1100000000000136,0.0339999999999918,0.0520000000000209,,0.01400000000001,0.0090000000000145,5017,"中
(1K-10K)"
can_292,Mildly sparse,cu,292,2540,0.0670000000000072,,,,,0.0490000000000918,0.155999999999949,0.0439999999999827,,,,,0.01400000000001,0.0249999999999772,11670,"大
(10K-100K)"
can_292,Mildly sparse,gust,292,2540,0.0649999999999408,,0.0199999999999818,0.0320000000000391,0.0240000000000009,,,,0.1190000000000282,0.0339999999999918,0.0499999999999545,,0.01400000000001,0.0110000000000809,11670,"大
(10K-100K)"
ash292,Mildly sparse,cu,292,2208,0.0679999999999836,,,,,0.0499999999999545,0.1459999999999581,0.0440000000000964,,,,,0.0149999999999863,0.0219999999999345,6042,"中
(1K-10K)"
ash292,Mildly sparse,gust,292,2208,0.0649999999999408,,0.0170000000000527,0.0320000000000391,0.0199999999999818,,,,0.1100000000000136,0.0399999999999636,0.044999999999959,,0.01400000000001,0.0099999999999909,6042,"中
(1K-10K)"
bcspwr04,Mildly sparse,cu,274,1612,0.0849999999999226,,,,,0.0460000000000491,0.1499999999999772,0.0439999999999827,,,,,0.01400000000001,0.0240000000000009,4982,"中
(1K-10K)"
bcspwr04,Mildly sparse,gust,274,1612,0.0829999999999699,,0.0199999999999818,0.0340000000001055,0.0219999999999345,,,,0.1069999999999709,0.0339999999999918,0.0470000000000254,,0.01400000000001,0.0090000000000145,4982,"中
(1K-10K)"
bcsstk13,Mildly sparse,cu,2003,83883,0.0879999999999654,,,,,0.0520000000000209,0.5449999999999591,0.1430000000000291,,,,,0.0649999999999408,0.3420000000000982,396773,"巨大
(C>100K)"
bcsstk13,Mildly sparse,gust,2003,83883,0.0850000000000363,,0.0240000000000009,0.0339999999999918,0.1819999999999026,,,,0.7540000000000191,0.1850000000000591,0.4309999999999263,,0.07000000000005,0.1440000000000054,396773,"巨大
(C>100K)"
bcsstm01,Mildly sparse,cu,48,48,0.0610000000000354,,,,,0.0499999999999545,0.1359999999999672,0.0400000000000773,,,,,0.0139999999998963,0.0200000000000954,48,"小
(C<1K)"
bcsstm01,Mildly sparse,gust,48,48,0.0710000000000263,,0.0159999999999627,0.0310000000000627,0.0149999999999863,,,,0.0399999999999636,0.0339999999999918,0.0440000000000964,,0.0119999999999436,0.0080000000000381,48,"小
(C<1K)"
bcsstk14,Mildly sparse,cu,1806,63454,0.0819999999999936,,,,,0.0540000000000873,0.45799999999997,0.0989999999999327,,,,,0.0590000000000827,0.2049999999999272,195654,"巨大
(C>100K)"
bcsstk14,Mildly sparse,gust,1806,63454,0.0819999999999936,,0.0220000000000482,0.0330000000000154,0.1379999999999199,,,,0.4850000000000136,0.1449999999999818,0.3410000000000082,,0.0190000000000054,0.0740000000000691,195654,"巨大
(C>100K)"
can_445,Mildly sparse,cu,445,3809,0.0640000000000782,,,,,0.0469999999999117,0.1460000000000718,0.044999999999959,,,,,0.0130000000000336,0.0240000000000009,11193,"大
(10K-100K)"
can_445,Mildly sparse,gust,445,3809,0.0619999999998981,,0.0170000000000527,0.030999999999949,0.0210000000000718,,,,0.1229999999999336,0.0339999999999918,0.0500000000000682,,0.01400000000001,0.0109999999999672,11193,"大
(10K-100K)"
bcsstm10,Mildly sparse,cu,1086,22092,0.0670000000000072,,,,,0.0499999999999545,0.2250000000000227,0.0520000000000209,,,,,0.01400000000001,0.0949999999999136,54504,"大
(10K-100K)"
bcsstm10,Mildly sparse,gust,1086,22092,0.0679999999999836,,0.0190000000000054,0.0330000000000154,0.1170000000000754,,,,0.2419999999999618,0.1259999999999763,0.2060000000000172,,0.0180000000000291,0.0240000000000009,54504,"大
(10K-100K)"
bcsstk10,Mildly sparse,cu,1086,22070,0.0699999999999363,,,,,0.0489999999999781,0.22199999999998,0.0500000000000682,,,,,0.01400000000001,0.0939999999999372,54504,"大
(10K-100K)"
bcsstk10,Mildly sparse,gust,1086,22070,0.072999999999979,,0.0180000000000291,0.0339999999999918,0.1169999999999618,,,,0.2420000000000755,0.1259999999999763,0.1989999999999554,,0.0160000000000763,0.0240000000000009,54504,"大
(10K-100K)"
can_634,Mildly sparse,cu,634,7228,0.0850000000000363,,,,,0.0610000000000354,0.2440000000000282,0.0609999999999217,,,,,0.0210000000000718,0.113999999999919,25446,"大
(10K-100K)"
can_634,Mildly sparse,gust,634,7228,0.0910000000000081,,0.0249999999999772,0.0440000000000964,0.030999999999949,,,,0.2740000000000009,0.1280000000000427,0.1159999999999854,,0.016999999999939,0.0160000000000763,25446,"大
(10K-100K)"
bcsstk11,Mildly sparse,cu,1473,34241,0.0930000000000745,,,,,0.0529999999999972,0.2759999999999536,0.0529999999999972,,,,,0.0760000000000218,0.1119999999999663,94187,"大
(10K-100K)"
bcsstk11,Mildly sparse,gust,1473,34241,0.086999999999989,,0.0209999999999581,0.0360000000000582,0.1240000000000236,,,,0.2949999999999591,0.1469999999999345,0.2610000000000809,,0.016999999999939,0.0350000000000818,94187,"大
(10K-100K)"
bcsstk12,Mildly sparse,cu,1473,34241,0.0749999999999317,,,,,0.0500000000000682,0.2659999999999627,0.0489999999999781,,,,,0.0760000000000218,0.1169999999999618,94187,"大
(10K-100K)"
bcsstk12,Mildly sparse,gust,1473,34241,0.0720000000000027,,0.0200000000000954,0.0339999999999918,0.1200000000000045,,,,0.2880000000000109,0.1399999999999863,0.2619999999999436,,0.0190000000000054,0.0349999999999681,94187,"大
(10K-100K)"
bcsstk09,Mildly sparse,cu,1083,18437,0.0689999999999599,,,,,0.0510000000000445,0.2150000000000318,0.0499999999999545,,,,,0.0190000000000054,0.1019999999999754,71289,"大
(10K-100K)"
bcsstk09,Mildly sparse,gust,1083,18437,0.0679999999999836,,0.0190000000000054,0.0330000000000154,0.0769999999999981,,,,0.2339999999999236,0.12600000000009,0.155999999999949,,0.0149999999999863,0.0299999999999727,71289,"大
(10K-100K)"
bcsstm02,Mildly sparse,cu,66,66,0.0599999999999454,,,,,0.0399999999999636,0.1360000000000809,0.0399999999999636,,,,,0.01400000000001,0.0209999999999581,66,"小
(C<1K)"
bcsstm02,Mildly sparse,gust,66,66,0.0710000000000263,,0.0159999999999627,0.0330000000000154,0.0160000000000763,,,,0.0399999999999636,0.0359999999999445,0.0440000000000964,,0.0129999999999199,0.0080000000000381,66,"小
(C<1K)"
can_838,Mildly sparse,cu,838,10010,0.0639999999999645,,,,,0.0480000000000018,0.2040000000000645,0.0470000000000254,,,,,0.01400000000001,0.0909999999998945,51156,"大
(10K-100K)"
can_838,Mildly sparse,gust,838,10010,0.0639999999999645,,0.0180000000000291,0.0330000000000154,0.0259999999999536,,,,0.2290000000000418,0.0839999999999463,0.0550000000000636,,0.01400000000001,0.0219999999999345,51156,"大
(10K-100K)"
bcsstk20,Mildly sparse,cu,485,3135,0.0639999999999645,,,,,0.0480000000000018,0.1380000000000336,0.044999999999959,,,,,0.0130000000000336,0.0229999999999108,5545,"中
(1K-10K)"
bcsstk20,Mildly sparse,gust,485,3135,0.0620000000000118,,0.0179999999999154,0.0320000000000391,0.0190000000000054,,,,0.11099999999999,0.0339999999999918,0.0499999999999545,,0.01400000000001,0.0090000000000145,5545,"中
(1K-10K)"
can_715,Mildly sparse,cu,715,6665,0.0629999999999881,,,,,0.0480000000000018,0.2150000000000318,0.0480000000000018,,,,,0.0159999999999627,0.0900000000000318,39785,"大
(10K-100K)"
can_715,Mildly sparse,gust,715,6665,0.0629999999999881,,0.0219999999999345,0.0320000000000391,0.030999999999949,,,,0.2210000000000036,0.0850000000000363,0.1069999999999709,,0.0160000000000763,0.0189999999998917,39785,"大
(10K-100K)"
bcsstk24,Mildly sparse,cu,3562,159910,0.1100000000000136,,,,,0.0960000000000036,0.7599999999999909,0.1459999999999581,,,,,0.0639999999999645,0.4140000000001009,446474,"巨大
(C>100K)"
bcsstk24,Mildly sparse,gust,3562,159910,0.2210000000000036,,0.0229999999999108,0.0350000000000818,0.2060000000000172,,,,1.1739999999999782,0.2319999999999709,0.4460000000000264,,0.0670000000000072,0.1599999999999681,446474,"巨大
(C>100K)"
bcsstk16,Mildly sparse,cu,4884,290378,0.3410000000000082,,,,,0.1549999999999727,1.2139999999999418,0.15300000000002,,,,,0.0650000000000545,0.77800000000002,1038782,"巨大
(C>100K)"
bcsstk16,Mildly sparse,gust,4884,290378,0.4979999999999336,,0.0760000000000218,0.0389999999999872,0.3079999999999927,,,,2.550000000000068,0.3369999999999891,0.5850000000000364,,0.0699999999999363,0.3799999999999954,1038782,"巨大
(C>100K)"
bcsstk28,Mildly sparse,cu,4410,219024,0.1290000000000191,,,,,0.0969999999999799,0.9440000000000736,0.1459999999999581,,,,,0.0639999999999645,0.5,596072,"巨大
(C>100K)"
bcsstk28,Mildly sparse,gust,4410,219024,0.4350000000000591,,0.0240000000000009,0.0359999999999445,0.2670000000000527,,,,1.6999999999999318,0.3269999999999982,0.4940000000000282,,0.0739999999999554,0.2050000000000409,596072,"巨大
(C>100K)"
bcsstk08,Mildly sparse,cu,1074,12960,0.0670000000000072,,,,,0.0519999999999072,0.3050000000000636,0.1019999999999754,,,,,0.0750000000000454,0.2289999999999281,305612,"巨大
(C>100K)"
bcsstk08,Mildly sparse,gust,1074,12960,0.0670000000000072,,0.030999999999949,0.0340000000001055,0.1579999999999017,,,,0.2740000000000009,0.1460000000000718,0.33299999999997,,0.0660000000000309,0.1089999999999236,305612,"巨大
(C>100K)"
can_1054,Mildly sparse,cu,1054,12196,0.0639999999999645,,,,,0.0480000000000018,0.2110000000000127,0.0480000000000018,,,,,0.01400000000001,0.086999999999989,60248,"大
(10K-100K)"
can_1054,Mildly sparse,gust,1054,12196,0.0639999999999645,,0.0240000000000009,0.0320000000000391,0.0760000000000218,,,,0.2179999999999609,0.08400000000006,0.0989999999999327,,0.0149999999999863,0.0250000000000909,60248,"大
(10K-100K)"
can_1072,Mildly sparse,cu,1072,12444,0.0649999999999408,,,,,0.0539999999999736,0.2140000000000554,0.0480000000000018,,,,,0.01400000000001,0.0889999999999417,62316,"大
(10K-100K)"
can_1072,Mildly sparse,gust,1072,12444,0.0629999999999881,,0.0190000000000054,0.030999999999949,0.0739999999999554,,,,0.2160000000000081,0.0830000000000836,0.1069999999999709,,0.0180000000000291,0.0249999999999772,62316,"大
(10K-100K)"
bcsstk19,Mildly sparse,cu,817,6853,0.0649999999999408,,,,,0.0480000000000018,0.1470000000000482,0.044999999999959,,,,,0.0130000000000336,0.0259999999999536,18305,"大
(10K-100K)"
bcsstk19,Mildly sparse,gust,817,6853,0.0689999999999599,,0.0170000000000527,0.0320000000000391,0.0199999999999818,,,,0.125,0.0380000000000109,0.0489999999999781,,0.0130000000000336,0.0139999999998963,18305,"大
(10K-100K)"
bcsstm12,Highly sparse,cu,1473,19659,0.0679999999999836,,,,,0.0480000000000018,0.1999999999999318,0.0480000000000018,,,,,0.01400000000001,0.0880000000000791,53615,"大
(10K-100K)"
bcsstm12,Highly sparse,gust,1473,19659,0.0660000000000309,,0.0180000000000291,0.030999999999949,0.0739999999999554,,,,0.2320000000000845,0.1269999999999527,0.1399999999999863,,0.0159999999999627,0.0230000000000245,53615,"大
(10K-100K)"
bcsstm03,Highly sparse,cu,112,112,0.0620000000000118,,,,,0.0389999999999872,0.1449999999999818,0.04200000000003,,,,,0.0139999999998963,0.02800000000002,112,"小
(C<1K)"
bcsstm03,Highly sparse,gust,112,112,0.0609999999999217,,0.0160000000000763,0.030999999999949,0.0159999999999627,,,,0.0410000000000536,0.0349999999999681,0.0450000000000727,,0.0129999999999199,0.0080000000000381,112,"小
(C<1K)"
bcspwr05,Highly sparse,cu,443,1623,0.0650000000000545,,,,,0.0480000000000018,0.1469999999999345,0.0430000000000063,,,,,0.0130000000000336,0.0230000000000245,4249,"中
(1K-10K)"
bcspwr05,Highly sparse,gust,443,1623,0.0640000000000782,,0.016999999999939,0.0320000000000391,0.0180000000000291,,,,0.1059999999999945,0.0380000000000109,0.0499999999999545,,0.0130000000000336,0.0089999999999008,4249,"中
(1K-10K)"
bcsstk26,Highly sparse,cu,1922,30336,0.0939999999999372,,,,,0.0529999999999972,0.2469999999999572,0.0520000000000209,,,,,0.0640000000000782,0.1099999999998999,92530,"大
(10K-100K)"
bcsstk26,Highly sparse,gust,1922,30336,0.0860000000000127,,0.0210000000000718,0.0349999999999681,0.1229999999999336,,,,0.25100000000009,0.1440000000000054,0.2649999999999863,,0.0190000000000054,0.0359999999999445,92530,"大
(10K-100K)"
bcsstk33,Highly sparse,cu,8738,591904,0.4489999999999554,,,,,0.1550000000000864,2.2679999999999154,0.2459999999999809,,,,,0.0660000000000309,1.497000000000071,2569536,"巨大
(C>100K)"
bcsstk33,Highly sparse,gust,8738,591904,1.0810000000000173,,0.0810000000000172,0.0379999999998972,0.6610000000000582,,,,5.559999999999945,0.5730000000000928,0.9849999999999,,0.0690000000000736,0.9059999999999492,2569536,"巨大
(C>100K)"
bcsstm04,Highly sparse,cu,132,132,0.0659999999999172,,,,,0.0460000000000491,0.1480000000000245,0.0409999999999399,,,,,0.01400000000001,0.0220000000000482,132,"小
(C<1K)"
bcsstm04,Highly sparse,gust,132,132,0.0620000000000118,,0.0159999999999627,0.0320000000000391,0.0159999999999627,,,,0.0430000000000063,0.030999999999949,0.0460000000000491,,0.0130000000000336,0.0079999999999245,132,"小
(C<1K)"
bcsstk15,Highly sparse,cu,3948,117816,0.1000000000000227,,,,,0.0979999999999563,0.6970000000000027,0.1519999999999299,,,,,0.0650000000000545,0.4139999999999872,527688,"巨大
(C>100K)"
bcsstk15,Highly sparse,gust,3948,117816,0.0960000000000036,,0.0209999999999581,0.0350000000000818,0.1549999999999727,,,,0.6789999999999736,0.1660000000000536,0.4139999999999872,,0.072999999999979,0.1820000000000163,527688,"巨大
(C>100K)"
bcsstm22,Highly sparse,cu,138,138,0.0629999999999881,,,,,0.0410000000000536,0.1479999999999108,0.0450000000000727,,,,,0.01400000000001,0.0219999999999345,138,"小
(C<1K)"
bcsstm22,Highly sparse,gust,138,138,0.0740000000000691,,0.016999999999939,0.0339999999999918,0.0159999999999627,,,,0.04200000000003,0.0320000000000391,0.0520000000000209,,0.0129999999999199,0.0080000000000381,138,"小
(C<1K)"
bp_1600,Highly sparse,cu,822,4841,0.0769999999999981,,,,,0.0520000000000209,0.1659999999999399,0.0460000000000491,,,,,0.01400000000001,0.0279999999999063,23625,"大
(10K-100K)"
bp_1600,Highly sparse,gust,822,4841,0.0720000000000027,,0.0299999999999727,0.0330000000000154,0.0489999999999781,,,,0.1240000000000236,0.0439999999999827,0.0629999999999881,,0.0190000000000054,0.0160000000000763,23625,"大
(10K-100K)"
bp_1400,Highly sparse,cu,822,4790,0.0649999999999408,,,,,0.0480000000000018,0.1620000000000345,0.044999999999959,,,,,0.0130000000000336,0.02800000000002,23154,"大
(10K-100K)"
bp_1400,Highly sparse,gust,822,4790,0.0620000000000118,,0.0289999999999963,0.0310000000000627,0.0489999999999781,,,,0.1209999999999809,0.0339999999999918,0.0480000000000018,,0.0190000000000054,0.01400000000001,23154,"大
(10K-100K)"
bp_1200,Highly sparse,cu,822,4726,0.0639999999999645,,,,,0.0500000000000682,0.1569999999999254,0.0450000000000727,,,,,0.01400000000001,0.02800000000002,22313,"大
(10K-100K)"
bp_1200,Highly sparse,gust,822,4726,0.07000000000005,,0.02800000000002,0.0330000000000154,0.0499999999999545,,,,0.1209999999999809,0.0360000000000582,0.0480000000000018,,0.01400000000001,0.01400000000001,22313,"大
(10K-100K)"
685_bus,Highly sparse,cu,685,3249,0.0640000000000782,,,,,0.0469999999999117,0.1500000000000909,0.0469999999999117,,,,,0.01400000000001,0.0240000000000009,9337,"中
(1K-10K)"
685_bus,Highly sparse,gust,685,3249,0.0629999999999881,,0.016999999999939,0.0310000000000627,0.0199999999999818,,,,0.1079999999999472,0.0339999999999918,0.0500000000000682,,0.01400000000001,0.0099999999999909,9337,"中
(1K-10K)"
