matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,spECK,nsparse,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.164,0.177,merge3,0.221,0.313,0.088,,0.777,11142
494_bus,494,Y,0.4426,0.126,0.15,merge3,0.213,0.297,0.082,,0.721,4062
662_bus,662,Y,0.3578,0.127,0.126,merge3,0.202,0.293,0.081,,0.715,6480
685_bus,685,Y,0.4192,0.129,0.137,merge3,0.203,0.303,0.08,,0.713,9337
arc130,130,N,7.5858,0.145,0.229,hash,0.374,0.412,0.086,,1.056,15631
ash292,292,Y,1.466,0.129,0.132,merge3,0.199,0.291,0.078,,0.743,6042
ash85,85,Y,4.2076,0.112,0.126,merge3,0.209,0.29,0.079,,0.707,1317
bcspwr01,39,Y,5.5884,0.13,0.124,merge3,0.182,0.213,0.077,,0.541,275
bcspwr02,49,Y,4.4981,0.113,0.138,merge3,0.201,0.273,0.076,,0.683,403
bcspwr03,118,Y,2.133,0.112,0.111,merge3,0.201,0.296,0.081,,0.648,1270
bcspwr04,274,Y,1.2561,0.13,0.129,merge3,0.217,0.31,0.081,,0.576,4982
bcspwr05,443,Y,0.5264,0.112,0.124,merge3,0.218,0.385,0.086,,0.582,4249
bcspwr06,1454,Y,0.1597,0.144,0.151,merge3,0.222,0.314,0.081,,0.597,14110
bcspwr07,1612,Y,0.1431,0.145,0.154,merge3,0.208,0.318,0.087,,0.717,15684
bcspwr08,1624,Y,0.1455,0.153,0.145,merge3,0.208,0.295,0.081,,0.707,16916
bcspwr09,1723,Y,0.1387,0.141,0.142,merge3,0.188,0.298,0.084,,1.091,18485
bcspwr10,5300,Y,0.0483,0.181,0.195,merge3,0.235,0.916,0.098,,1.375,60498
bcsstk01,48,Y,9.7222,0.109,0.118,merge3,0.321,0.294,0.084,,0.632,1292
bcsstk02,66,Y,50.7576,0.142,0.266,hash,0.846,0.657,0.085,,0.622,4356
bcsstk03,112,Y,2.9974,0.11,0.111,merge3,0.161,0.296,0.075,,0.745,1072
bcsstk04,132,Y,10.8471,0.158,0.167,merge3,0.509,0.375,0.084,,0.733,11968
bcsstk05,153,Y,5.5022,0.132,0.153,merge3,0.345,0.32,0.087,,0.584,7245
bcsstk06,420,Y,2.3469,0.155,0.155,merge3,0.341,0.343,0.089,,0.589,23660
bcsstk07,420,Y,2.3469,0.166,0.154,merge3,0.34,0.362,0.089,,0.592,23660
bcsstk08,1074,Y,0.6083,0.855,0.573,hash,0.423,0.795,0.135,,0.918,305612
bcsstk09,1083,Y,0.8321,0.178,0.175,merge3,0.304,0.328,0.084,,0.573,71289
bcsstk10,1086,Y,0.9817,0.177,0.179,merge3,0.5,0.37,0.087,,0.591,54504
bcsstk11,1473,Y,0.823,0.201,0.218,merge3,0.552,0.545,0.097,,0.483,94187
bcsstk12,1473,Y,0.823,0.195,0.217,merge3,0.552,0.528,0.102,,1.052,94187
bcsstk13,2003,Y,1.0704,0.614,0.844,hash,0.708,0.96,0.188,,0.852,396773
bcsstk14,1806,Y,1.0004,0.32,0.474,hash,0.592,0.526,0.116,,0.928,195654
bcsstk15,3948,Y,0.3906,0.396,0.321,hash,0.436,0.684,0.17,,0.842,527688
bcsstk16,4884,Y,0.6189,1.193,0.533,hash,0.84,1.45,0.4,,1.032,1038782
bcsstk17,10974,Y,0.1825,1.239,0.648,hash,0.818,1.769,0.519,,1.398,1406936
bcsstk18,11948,Y,0.0564,0.534,0.425,hash,0.466,1.286,0.186,,0.846,713208
bcsstk19,817,Y,0.5745,0.137,0.14,merge3,0.349,0.308,0.081,,0.757,18305
bcsstk20,485,Y,0.7695,0.129,0.127,merge3,0.209,0.242,0.079,,0.59,5545
bcsstk21,3600,Y,0.1165,0.187,0.185,merge3,0.211,0.424,0.088,,0.707,93072
bcsstk22,138,Y,2.1897,0.11,0.118,merge3,0.198,0.29,0.08,,0.694,1552
bcsstk23,3134,Y,0.2459,0.252,0.246,merge3,0.37,0.526,0.12,,0.71,220632
bcsstk24,3562,Y,0.6442,0.451,0.366,hash,0.607,0.935,0.201,,0.847,446474
bcsstk25,15439,Y,0.0561,0.743,0.469,hash,0.415,1.465,0.338,,1.716,1168919
bcsstk26,1922,Y,0.4366,0.198,0.196,merge3,0.346,0.509,0.099,,0.718,92530
bcsstk27,1224,Y,1.914,0.358,0.462,hash,0.547,0.647,0.118,,0.984,138106
bcsstk28,4410,Y,0.5744,0.656,0.43,hash,0.677,1.558,0.314,,1.054,596072
bcsstk29,13992,Y,0.1618,1.402,0.767,hash,1.032,1.764,0.694,,1.41,1965686
bcsstk30,28924,Y,0.1239,11.29,2.703,hash,2.354,4.636,3.292,,3.251,8946070
bcsstk31,35588,Y,0.048,3.065,1.247,hash,1.3,2.802,1.176,,2.074,4713580
bcsstk32,44609,Y,0.0517,5.58,1.924,hash,1.799,3.676,2.103,,3.126,6819653
bcsstk33,8738,Y,0.3933,2.726,0.898,hash,1.578,1.936,0.872,,1.397,2569536
bcsstm01,48,Y,2.0833,0.114,0.113,merge3,0.172,0.281,0.066,,1.229,48
bcsstm02,66,Y,1.5152,0.111,0.116,merge3,0.173,0.291,0.069,,1.531,66
bcsstm03,112,Y,0.8929,0.181,0.111,merge3,0.174,0.28,0.073,,1.616,112
bcsstm04,132,Y,0.7576,0.111,0.114,merge3,0.177,0.3,0.071,,1.228,132
bcsstm05,153,Y,0.6536,0.113,0.121,merge3,0.175,0.289,0.071,,1.021,153
bcsstm06,420,Y,0.2381,0.116,0.119,merge3,0.174,0.298,0.078,,1.052,420
bcsstm07,420,Y,2.1746,0.155,0.158,merge3,0.34,0.347,0.088,,0.716,22972
bcsstm08,1074,Y,0.0931,0.136,0.122,merge3,0.177,0.307,0.082,,0.708,1074
bcsstm09,1083,Y,0.0923,0.121,0.128,merge3,0.18,0.305,0.076,,1.406,1083
bcsstm10,1086,Y,0.9826,0.209,0.192,merge3,0.515,0.367,0.093,,1.125,54504
bcsstm11,1473,Y,0.0679,0.174,0.124,merge3,0.175,0.306,0.077,,0.625,1473
bcsstm12,1473,Y,0.487,0.176,0.186,merge3,0.367,0.336,0.093,,0.891,53615
bcsstm13,2003,Y,0.2984,0.308,0.368,hash,0.454,0.581,0.13,,0.998,90811
bcsstm19,817,Y,0.1224,0.116,0.12,merge3,0.177,0.284,0.077,,1.107,817
bcsstm20,485,Y,0.2062,0.124,0.158,merge3,0.176,0.287,0.075,,1.56,485
bcsstm21,3600,Y,0.0278,0.159,0.148,merge3,0.179,0.473,0.086,,0.996,3600
bcsstm22,138,Y,0.7246,0.12,0.111,merge3,0.175,0.277,0.071,,1.618,138
bcsstm23,3134,Y,0.0319,0.135,0.133,merge3,0.165,0.447,0.087,,0.717,3134
bcsstm24,3562,Y,0.0281,0.145,0.15,merge3,0.176,0.497,0.086,,1.613,3562
bcsstm25,15439,Y,0.0065,0.271,0.267,merge3,0.189,0.497,0.104,,0.758,15439
bcsstm26,1922,Y,0.052,0.13,0.132,merge3,0.178,0.298,0.078,,0.76,1922
bcsstm27,1224,Y,1.914,0.313,0.445,hash,0.555,0.671,0.119,,0.875,138106
blckhole,2132,Y,0.187,0.192,0.187,merge3,0.228,0.475,0.094,,0.906,41546
bp_0,822,N,0.4848,0.399,0.323,hash,0.247,0.442,0.117,,0.867,9384
