name,n,A_nnz,cublas_ms,status
1138_bus,1138,4054,0.1138059888035059,ok
494_bus,494,1666,0.06612495053559542,ok
662_bus,662,2474,0.07835507858544588,ok
685_bus,685,3249,0.06430794019252062,ok
arc130,130,1282,0.050964998081326485,ok
ash292,292,2208,0.05011796019971371,ok
ash85,85,523,0.049434020183980465,ok
bcspwr01,39,131,0.03792892675846815,ok
bcspwr02,49,167,0.04929897841066122,ok
bcspwr03,118,476,0.051385024562478065,ok
bcspwr04,274,1612,0.05113496445119381,ok
bcspwr05,443,1623,0.0644599786028266,ok
bcspwr06,1454,5300,0.23546000011265278,ok
bcspwr07,1612,5824,0.27832004707306623,ok
bcspwr08,1624,6050,0.27193804271519184,ok
bcspwr09,1723,6511,0.3508030204102397,ok
bcspwr10,5300,21842,7.620421005412936,ok
bcsstk01,48,400,0.049209920689463615,ok
bcsstk02,66,4356,0.03910798113793135,ok
bcsstk03,112,640,0.051310984417796135,ok
bcsstk04,132,3648,0.041684950701892376,ok
bcsstk05,153,2423,0.035683042369782925,ok
bcsstk06,420,7860,0.0382009893655777,ok
bcsstk07,420,7860,0.03496801946312189,ok
bcsstk08,1074,12960,0.12793298810720444,ok
bcsstk09,1083,18437,0.13513199519366026,ok
bcsstk10,1086,22070,0.13784400653094053,ok
bcsstk11,1473,34241,0.22191193420439959,ok
bcsstk12,1473,34241,0.250909011811018,ok
bcsstk13,2003,83883,0.5327239632606506,ok
bcsstk14,1806,63454,0.3835249226540327,ok
bcsstk15,3948,117816,3.4464149503037333,ok
bcsstk16,4884,290378,6.907657021656632,ok
bcsstk17,10974,428650,64.65731502976269,ok
bcsstk18,11948,149090,86.15831506904215,ok
bcsstk19,817,6853,0.05867099389433861,ok
bcsstk20,485,3135,0.06508396472781897,ok
bcsstk21,3600,26600,2.68666900228709,ok
bcsstk22,138,696,0.051110051572322845,ok
bcsstk23,3134,45178,1.8056790577247739,ok
bcsstk24,3562,159910,2.604228095151484,ok
bcsstk25,15439,252241,178.95520792808384,ok
bcsstk26,1922,30336,0.5042259581387043,ok
bcsstk27,1224,56126,0.13883202336728573,ok
bcsstk28,4410,219024,5.050335079431534,ok
bcsstk29,13992,619488,137.1321090264246,ok
bcsstk30,28924,2043492,1181.0483779991046,ok
bcsstk31,35588,1181416,2317.8951760055497,ok
bcsstk32,44609,2014701,4422.2013130784035,ok
bcsstk33,8738,591904,32.82141394447535,ok
bcsstm01,48,48,0.049115042202174664,ok
bcsstm02,66,66,0.025038025341928005,ok
bcsstm03,112,112,0.02993305679410696,ok
bcsstm04,132,132,0.03037892747670412,ok
bcsstm05,153,153,0.05100003909319639,ok
bcsstm06,420,420,0.061489990912377834,ok
bcsstm07,420,7252,0.050946022383868694,ok
bcsstm08,1074,1074,0.1272429944947362,ok
bcsstm09,1083,1083,0.14561496209353209,ok
bcsstm10,1086,22092,0.13499392662197351,ok
bcsstm11,1473,1473,0.22699194960296154,ok
bcsstm12,1473,19659,0.23736001458019018,ok
bcsstm13,2003,21943,0.551109085790813,ok
bcsstm19,817,817,0.0933649716898799,ok
bcsstm20,485,485,0.06495998241007328,ok
bcsstm21,3600,3600,2.6839489582926035,ok
bcsstm22,138,138,0.021088984794914722,ok
bcsstm23,3134,3134,1.8068449571728706,ok
bcsstm24,3562,3562,2.6087770238518715,ok
bcsstm25,15439,15439,177.72194801364094,ok
bcsstm26,1922,1922,0.50282699521631,ok
bcsstm27,1224,56126,0.14148408081382513,ok
blckhole,2132,14872,0.5891080945730209,ok
bp_0,822,3276,0.0926000066101551,ok
bp_1000,822,4661,0.09331491310149431,ok
bp_1200,822,4726,0.09283993858844042,ok
bp_1400,822,4790,0.07547996938228607,ok
bp_1600,822,4841,0.066544977016747,ok
bp_200,822,3802,0.08879299275577068,ok
bp_400,822,4028,0.08067407179623842,ok
bp_600,822,4172,0.0702819088473916,ok
bp_800,822,4534,0.08390902075916529,ok
can_1054,1054,12196,0.14398503117263317,ok
can_1072,1072,12444,0.1437150640413165,ok
can_144,144,1296,0.038455938920378685,ok
can_161,161,1377,0.05152507219463587,ok
can_187,187,1491,0.04771095700562,ok
can_229,229,1777,0.049310969188809395,ok
can_24,24,160,0.04022801294922829,ok
can_256,256,2916,0.049520982429385185,ok
can_268,268,3082,0.04159100353717804,ok
can_292,292,2540,0.06122502963989973,ok
can_445,445,3809,0.057541998103260994,ok
can_61,61,557,0.038409954868257046,ok
can_62,62,218,0.0492599792778492,ok
can_634,634,7228,0.0735999783501029,ok
can_715,715,6665,0.08179398719221354,ok
can_73,73,377,0.049474998377263546,ok
can_838,838,10010,0.08575303945690393,ok
can_96,96,768,0.05002098623663187,ok
