matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.144,0.136,merge3,0.215,0.304,0.542,11142
494_bus,494,Y,0.4426,0.122,0.115,merge3,0.205,0.291,0.768,4062
662_bus,662,Y,0.3578,0.143,0.142,merge3,0.222,0.303,0.584,6480
685_bus,685,Y,0.4192,0.138,0.13,merge3,0.223,0.293,1.106,9337
arc130,130,N,7.5858,0.15,0.235,merge3,0.38,0.473,0.927,15631
ash292,292,Y,1.466,0.123,0.129,merge3,0.179,0.29,0.62,6042
ash85,85,Y,4.2076,0.133,0.121,merge3,0.21,0.284,0.872,1317
bcspwr01,39,Y,5.5884,0.107,0.104,merge3,0.183,0.308,0.523,275
bcspwr02,49,Y,4.4981,0.154,0.128,merge3,0.187,0.267,0.723,403
bcspwr03,118,Y,2.133,0.124,0.131,merge3,0.21,0.299,0.581,1270
bcspwr04,274,Y,1.2561,0.129,0.134,merge3,0.224,0.305,0.776,4982
bcspwr05,443,Y,0.5264,0.149,0.118,merge3,0.207,0.232,0.707,4249
bcspwr06,1454,Y,0.1597,0.147,0.155,merge3,0.22,0.314,0.768,14110
bcspwr07,1612,Y,0.1431,0.144,0.145,merge3,0.23,0.324,0.57,15684
bcspwr08,1624,Y,0.1455,0.158,0.165,merge3,0.206,0.24,0.579,16916
bcspwr09,1723,Y,0.1387,0.133,0.132,merge3,0.213,0.288,0.713,18485
bcspwr10,5300,Y,0.0483,0.178,0.185,merge3,0.223,0.89,0.771,60498
bcsstk01,48,Y,9.7222,0.117,0.121,merge3,0.295,0.301,1.439,1292
bcsstk02,66,Y,50.7576,0.141,0.138,merge3,0.697,0.673,0.982,4356
bcsstk03,112,Y,2.9974,0.122,0.122,merge3,0.146,0.283,0.583,1072
bcsstk04,132,Y,10.8471,0.185,0.153,merge3,0.515,0.372,0.775,11968
bcsstk05,153,Y,5.5022,0.133,0.15,merge3,0.351,0.339,0.581,7245
bcsstk06,420,Y,2.3469,0.155,0.157,merge3,0.347,0.339,0.881,23660
bcsstk07,420,Y,2.3469,0.154,0.18,merge3,0.347,0.337,0.582,23660
bcsstk08,1074,Y,0.6083,0.855,0.563,hash,0.428,0.809,0.746,305612
bcsstk09,1083,Y,0.8321,0.167,0.199,merge3,0.34,0.335,0.581,71289
bcsstk10,1086,Y,0.9817,0.195,0.185,merge3,0.495,0.359,1.361,54504
bcsstk11,1473,Y,0.823,0.236,0.209,merge3,0.54,0.536,0.601,94187
bcsstk12,1473,Y,0.823,0.228,0.193,merge3,0.494,0.515,0.587,94187
bcsstk13,2003,Y,1.0704,0.626,0.828,hash,0.709,0.913,0.811,396773
bcsstk14,1806,Y,1.0004,0.319,0.309,merge3,0.546,0.534,1.085,195654
bcsstk15,3948,Y,0.3906,0.431,0.27,hash,0.41,0.688,0.809,527688
bcsstk16,4884,Y,0.6189,1.176,0.483,hash,0.703,1.403,1.389,1038782
bcsstk17,10974,Y,0.1825,1.185,0.606,hash,0.759,1.716,1.246,1406936
bcsstk18,11948,Y,0.0564,0.514,0.369,hash,0.418,1.216,1.02,713208
bcsstk19,817,Y,0.5745,0.14,0.112,merge3,0.317,0.321,0.588,18305
bcsstk20,485,Y,0.7695,0.132,0.132,merge3,0.251,0.258,0.626,5545
bcsstk21,3600,Y,0.1165,0.205,0.184,merge3,0.217,0.43,0.735,93072
bcsstk22,138,Y,2.1897,0.116,0.119,merge3,0.202,0.285,0.755,1552
bcsstk23,3134,Y,0.2459,0.248,0.247,merge3,0.375,0.54,0.726,220632
bcsstk24,3562,Y,0.6442,0.451,0.357,hash,0.596,0.932,1.028,446474
bcsstk25,15439,Y,0.0561,0.781,0.477,hash,0.482,1.461,1.689,1168919
bcsstk26,1922,Y,0.4366,0.195,0.195,merge3,0.354,0.515,0.657,92530
bcsstk27,1224,Y,1.914,0.301,0.315,merge3,0.501,0.651,0.904,138106
bcsstk28,4410,Y,0.5744,0.629,0.438,hash,0.678,1.356,1.135,596072
bcsstk29,13992,Y,0.1618,1.422,0.767,hash,0.928,1.538,1.3,1965686
bcsstk30,28924,Y,0.1239,11.265,3.301,hash,2.412,4.777,3.173,8946070
bcsstk31,35588,Y,0.048,3.095,1.301,hash,1.286,2.722,2.383,4713580
bcsstk32,44609,Y,0.0517,5.673,2.094,hash,1.802,3.707,2.782,6819653
bcsstk33,8738,Y,0.3933,2.742,1.08,hash,1.569,1.943,1.766,2569536
bcsstm01,48,Y,2.0833,0.111,0.11,merge3,0.168,0.278,0.79,48
bcsstm02,66,Y,1.5152,0.106,0.107,merge3,0.167,0.278,1.322,66
bcsstm03,112,Y,0.8929,0.104,0.106,merge3,0.173,0.272,1.311,112
bcsstm04,132,Y,0.7576,0.107,0.107,merge3,0.17,0.276,1.705,132
bcsstm05,153,Y,0.6536,0.118,0.111,merge3,0.194,0.282,1.534,153
bcsstm06,420,Y,0.2381,0.113,0.128,merge3,0.173,0.286,1.391,420
bcsstm07,420,Y,2.1746,0.147,0.152,merge3,0.337,0.355,1.618,22972
bcsstm08,1074,Y,0.0931,0.118,0.118,merge3,0.171,0.304,1.575,1074
bcsstm09,1083,Y,0.0923,0.122,0.115,merge3,0.172,0.299,0.559,1083
bcsstm10,1086,Y,0.9826,0.208,0.194,merge3,0.502,0.37,0.607,54504
bcsstm11,1473,Y,0.0679,0.121,0.124,merge3,0.17,0.292,0.621,1473
bcsstm12,1473,Y,0.487,0.185,0.175,merge3,0.366,0.344,0.766,53615
bcsstm13,2003,Y,0.2984,0.304,0.304,merge3,0.448,0.568,1.059,90811
bcsstm19,817,Y,0.1224,0.116,0.118,merge3,0.172,0.281,0.7,817
bcsstm20,485,Y,0.2062,0.151,0.109,merge3,0.172,0.289,0.847,485
bcsstm21,3600,Y,0.0278,0.152,0.148,merge3,0.173,0.489,0.544,3600
bcsstm22,138,Y,0.7246,0.107,0.108,merge3,0.173,0.286,0.509,138
bcsstm23,3134,Y,0.0319,0.142,0.141,merge3,0.176,0.481,1.499,3134
bcsstm24,3562,Y,0.0281,0.146,0.143,merge3,0.176,0.477,0.806,3562
bcsstm25,15439,Y,0.0065,0.266,0.265,merge3,0.188,0.482,1.152,15439
bcsstm26,1922,Y,0.052,0.128,0.126,merge3,0.176,0.318,1.366,1922
bcsstm27,1224,Y,1.914,0.32,0.309,merge3,0.545,0.659,1.198,138106
blckhole,2132,Y,0.187,0.196,0.194,merge3,0.259,0.491,1.282,41546
bp_0,822,N,0.4848,0.4,0.328,hash,0.244,0.447,0.891,9384
bp_1000,822,N,0.6898,0.461,0.386,hash,0.256,0.481,0.647,21373
bp_1200,822,N,0.6994,0.442,0.397,hash,0.259,0.476,1.414,22313
bp_1400,822,N,0.7089,0.469,0.388,hash,0.261,0.476,0.957,23154
bp_1600,822,N,0.7165,0.45,0.391,hash,0.265,0.481,1.017,23625
bp_200,822,N,0.5627,0.41,0.349,hash,0.253,0.453,1.328,13197
bp_400,822,N,0.5961,0.446,0.359,hash,0.261,0.483,0.805,15238
bp_600,822,N,0.6174,0.442,0.364,hash,0.257,0.475,1.498,16464
bp_800,822,N,0.671,0.448,0.376,hash,0.256,0.469,0.828,20224
can_1054,1054,Y,0.5964,0.179,0.172,merge3,0.365,0.352,1.736,60248
can_1072,1072,Y,0.5881,0.178,0.197,merge3,0.361,0.345,1.249,62316
can_144,144,Y,3.4722,0.135,0.13,merge3,0.392,0.31,1.158,3456
can_161,161,Y,2.9667,0.145,0.143,merge3,0.328,0.314,1.186,3761
can_187,187,Y,2.3993,0.119,0.121,merge3,0.323,0.322,1.037,3719
can_229,229,Y,1.9126,0.16,0.144,merge3,0.324,0.31,1.791,5017
can_24,24,Y,15.9722,0.129,0.112,merge3,0.198,0.281,0.972,336
can_256,256,Y,2.42,0.176,0.174,merge3,0.323,0.354,1.237,18568
can_268,268,Y,2.3321,0.147,0.154,merge3,0.341,0.355,0.927,15590
can_292,292,Y,1.6607,0.131,0.13,merge3,0.34,0.32,1.265,11670
can_445,445,Y,1.0741,0.144,0.14,merge3,0.328,0.304,1.105,11193
can_61,61,Y,8.3042,0.126,0.139,merge3,0.323,0.302,1.293,1793
can_62,62,Y,3.642,0.119,0.114,merge3,0.199,0.281,0.719,482
can_634,634,Y,0.978,0.146,0.146,merge3,0.36,0.324,1.572,25446
can_715,715,Y,0.7218,0.28,0.278,merge3,0.381,0.378,1.117,39785
can_73,73,Y,4.2222,0.129,0.126,merge3,0.205,0.305,0.688,1377
can_838,838,Y,0.7724,0.173,0.153,merge3,0.356,0.342,1.414,51156
can_96,96,Y,4.6875,0.126,0.132,merge3,0.32,0.296,1.014,1920
