matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.116,0.111,merge3,0.208,0.305,11142
494_bus,494,Y,0.4426,0.097,0.089,merge3,0.202,0.297,4062
662_bus,662,Y,0.3578,0.099,0.095,merge3,0.21,0.294,6480
685_bus,685,Y,0.4192,0.113,0.106,merge3,0.181,0.238,9337
arc130,130,N,7.5858,0.14,0.255,hash,0.372,0.411,15631
ash292,292,Y,1.466,0.1,0.115,merge3,0.205,0.314,6042
ash85,85,Y,4.2076,0.096,0.088,merge3,0.17,0.285,1317
bcspwr01,39,Y,5.5884,0.079,0.094,merge3,0.187,0.224,275
bcspwr02,49,Y,4.4981,0.078,0.081,merge3,0.187,0.284,403
bcspwr03,118,Y,2.133,0.089,0.089,merge3,0.2,0.298,1270
bcspwr04,274,Y,1.2561,0.105,0.103,merge3,0.207,0.361,4982
bcspwr05,443,Y,0.5264,0.089,0.093,merge3,0.205,0.235,4249
bcspwr06,1454,Y,0.1597,0.116,0.126,merge3,0.181,0.308,14110
bcspwr07,1612,Y,0.1431,0.133,0.125,merge3,0.209,0.389,15684
bcspwr08,1624,Y,0.1455,0.128,0.124,merge3,0.211,0.357,16916
bcspwr09,1723,Y,0.1387,0.111,0.109,merge3,0.215,0.32,18485
bcspwr10,5300,Y,0.0483,0.14,0.145,merge3,0.226,0.992,60498
bcsstk01,48,Y,9.7222,0.106,0.086,merge3,0.291,0.32,1292
bcsstk02,66,Y,50.7576,0.107,0.26,hash,0.814,0.676,4356
bcsstk03,112,Y,2.9974,0.098,0.082,merge3,0.167,0.289,1072
bcsstk04,132,Y,10.8471,0.135,0.123,merge3,0.468,0.375,11968
bcsstk05,153,Y,5.5022,0.108,0.108,merge3,0.315,0.268,7245
bcsstk06,420,Y,2.3469,0.127,0.131,merge3,0.316,0.361,23660
bcsstk07,420,Y,2.3469,0.127,0.128,merge3,0.318,0.339,23660
bcsstk08,1074,Y,0.6083,0.905,0.534,hash,0.423,1.875,305612
bcsstk09,1083,Y,0.8321,0.17,0.182,merge3,0.268,0.34,71289
bcsstk10,1086,Y,0.9817,0.185,0.179,merge3,0.451,0.349,54504
bcsstk11,1473,Y,0.823,0.203,0.185,merge3,0.547,0.525,94187
bcsstk12,1473,Y,0.823,0.186,0.202,merge3,0.51,0.535,94187
bcsstk13,2003,Y,1.0704,0.927,0.72,hash,0.65,0.971,396773
bcsstk14,1806,Y,1.0004,0.353,0.445,hash,0.546,0.527,195654
bcsstk15,3948,Y,0.3906,0.508,0.327,hash,0.416,0.683,527688
bcsstk16,4884,Y,0.6189,1.525,0.455,hash,0.778,1.446,1038782
bcsstk17,10974,Y,0.1825,1.507,0.593,hash,0.827,1.778,1406936
bcsstk18,11948,Y,0.0564,0.607,0.44,hash,0.433,1.588,713208
bcsstk19,817,Y,0.5745,0.104,0.101,merge3,0.273,0.316,18305
bcsstk20,485,Y,0.7695,0.101,0.097,merge3,0.218,0.313,5545
bcsstk21,3600,Y,0.1165,0.165,0.164,merge3,0.226,0.324,93072
bcsstk22,138,Y,2.1897,0.087,0.085,merge3,0.203,0.303,1552
bcsstk23,3134,Y,0.2459,0.251,0.248,merge3,0.289,0.422,220632
bcsstk24,3562,Y,0.6442,0.547,0.38,hash,0.593,0.756,446474
bcsstk25,15439,Y,0.0561,0.89,0.438,hash,0.45,1.49,1168919
bcsstk26,1922,Y,0.4366,0.193,0.173,merge3,0.357,0.517,92530
bcsstk27,1224,Y,1.914,0.348,0.408,hash,0.492,0.547,138106
