matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cnnz
1138_bus,1138,Y,0.2005,0.261,0.117,merge3,0.188,0.722,0.237,0.774,11142
494_bus,494,Y,0.4426,0.26,0.093,merge3,0.18,0.766,0.3,0.367,4062
662_bus,662,Y,0.3578,0.313,0.106,merge3,0.183,0.7,0.247,0.435,6480
685_bus,685,Y,0.4192,0.258,0.112,merge3,0.22,0.703,0.242,0.504,9337
