matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.129,0.146,merge3,0.221,0.309,0.595,11142
494_bus,494,Y,0.4426,0.123,0.12,merge3,0.215,0.298,0.593,4062
662_bus,662,Y,0.3578,0.13,0.135,merge3,0.222,0.313,0.875,6480
685_bus,685,Y,0.4192,0.149,0.134,merge3,0.222,0.302,0.59,9337
arc130,130,N,7.5858,0.158,0.148,merge3,0.375,0.412,0.66,15631
ash292,292,Y,1.466,0.143,0.143,merge3,0.219,0.31,0.724,6042
ash85,85,Y,4.2076,0.115,0.125,merge3,0.209,0.29,0.745,1317
bcspwr01,39,Y,5.5884,0.112,0.112,merge3,0.198,0.277,0.536,275
bcspwr02,49,Y,4.4981,0.155,0.116,merge3,0.202,0.276,0.563,403
bcspwr03,118,Y,2.133,0.124,0.111,merge3,0.199,0.285,0.741,1270
bcspwr04,274,Y,1.2561,0.127,0.122,merge3,0.204,0.313,0.708,4982
bcspwr05,443,Y,0.5264,0.121,0.149,merge3,0.203,0.297,0.597,4249
bcspwr06,1454,Y,0.1597,0.138,0.146,merge3,0.218,0.305,0.863,14110
bcspwr07,1612,Y,0.1431,0.135,0.142,merge3,0.204,0.323,0.863,15684
bcspwr08,1624,Y,0.1455,0.146,0.161,merge3,0.209,0.238,0.573,16916
bcspwr09,1723,Y,0.1387,0.142,0.145,merge3,0.229,0.301,0.595,18485
bcspwr10,5300,Y,0.0483,0.178,0.186,merge3,0.227,0.913,0.584,60498
bcsstk01,48,Y,9.7222,0.151,0.128,merge3,0.293,0.3,0.452,1292
bcsstk02,66,Y,50.7576,0.142,0.141,merge3,0.786,0.67,0.583,4356
bcsstk03,112,Y,2.9974,0.117,0.124,merge3,0.16,0.298,0.67,1072
bcsstk04,132,Y,10.8471,0.156,0.163,merge3,0.511,0.373,0.731,11968
bcsstk05,153,Y,5.5022,0.138,0.136,merge3,0.339,0.327,0.587,7245
bcsstk06,420,Y,2.3469,0.173,0.149,merge3,0.317,0.34,0.698,23660
bcsstk07,420,Y,2.3469,0.156,0.15,merge3,0.308,0.349,0.702,23660
bcsstk08,1074,Y,0.6083,0.851,0.539,hash,0.395,0.782,1.034,305612
bcsstk09,1083,Y,0.8321,0.179,0.176,merge3,0.338,0.338,0.584,71289
