Refresh 仅 'Auto' 列 × 337 阵(DENSE_TIMEOUT=600s)→ compare/ocean337/methods_cmp_clean.csv.csv

[115/337] c-64           Auto=21.519     (5.8s)
[116/337] c-64b          Auto=21.549     (5.7s)
[117/337] c-66           Auto=8.086      (5.2s)
[118/337] c-66b          Auto=8.161      (5.3s)
[119/337] c-67           Auto=9.496      (5.4s)
[120/337] c-67b          Auto=8.704      (5.3s)
[121/337] c-71           Auto=14.319     (5.4s)
[122/337] c-73           Auto=78.317     (23.3s)
[123/337] c-73b          Auto=78.193     (23.2s)
[124/337] c-big          Auto=291.922    (21.8s)
[125/337] cage13         Auto=9.287      (8.1s)
[126/337] cage14         Auto=37.001     (17.2s)
[127/337] cage15         Auto=148.432    (63.5s)
[128/337] cant           Auto=4.532      (5.8s)
[129/337] case39         Auto=50.864     (19.5s)
[130/337] case9          Auto=8.846      (5.2s)
[131/337] cfd2           Auto=2.674      (5.6s)
[132/337] circuit_4      Auto=17.141     (5.4s)
[133/337] cnr-2000       Auto=9.6        (5.6s)
[134/337] conf5_4-8x8-05 Auto=2.121      (5.9s)
[135/337] conf5_4-8x8-10 Auto=2.121      (5.9s)
[136/337] conf5_4-8x8-15 Auto=2.123      (5.9s)
[137/337] conf5_4-8x8-20 Auto=2.122      (5.9s)
[138/337] conf6_0-8x8-20 Auto=2.126      (6.1s)
[139/337] conf6_0-8x8-30 Auto=2.13       (6.1s)
[140/337] conf6_0-8x8-80 Auto=2.124      (6.1s)
[141/337] consph         Auto=7.787      (6.2s)
[142/337] cop20k_A       Auto=3.411      (5.6s)
[143/337] crankseg_1     Auto=36.363     (7.3s)
[144/337] crankseg_2     Auto=56.639     (8.1s)
[145/337] crplat2        Auto=1.032      (5.1s)
[146/337] crystk02       Auto=1.685      (5.2s)
[147/337] crystk03       Auto=2.379      (5.4s)
[148/337] ct20stif       Auto=3.028      (5.6s)
[149/337] delaunay_n21   Auto=6.256      (7.0s)
[150/337] delaunay_n22   Auto=12.13      (9.1s)
[151/337] delaunay_n23   Auto=23.899     (13.2s)
[152/337] delaunay_n24   Auto=47.68      (34.6s)
[153/337] dielFilterV2clx Auto=35.555     (12.0s)
[154/337] dielFilterV2real Auto=66.607     (30.1s)
[155/337] dielFilterV3clx Auto=128.39     (15.0s)
[156/337] dielFilterV3real Auto=291.303    (42.6s)
[157/337] email-Enron    Auto=5.249      (5.1s)
[158/337] eu-2005        Auto=62.2       (9.7s)
[159/337] ex11           Auto=1.68       (5.4s)
[160/337] exdata_1       Auto=14.52      (5.4s)
[161/337] fcondp2        Auto=9.166      (6.2s)
[162/337] fem_filter     Auto=7.057      (5.8s)
[163/337] fem_hifreq_circuit Auto=25.093     (14.3s)
[164/337] filter3D       Auto=3.923      (5.7s)
[165/337] fp             Auto=3.281      (5.3s)
[166/337] fullb          Auto=10.923     (6.3s)
[167/337] gearbox        Auto=9.369      (6.1s)
[168/337] germany_osm    Auto=13.649     (9.7s)
[169/337] gsm_106857     Auto=27.375     (11.2s)
[170/337] gupta1         Auto=39.662     (19.2s)
[171/337] gupta2         Auto=98.466     (20.5s)
[172/337] gupta3         Auto=150.155    (7.5s)
[173/337] gyro           Auto=2.41       (5.2s)
[174/337] gyro_k         Auto=2.411      (5.2s)
[175/337] halfb          Auto=10.366     (6.3s)
[176/337] hangGlider_3   Auto=10.313     (5.3s)
[177/337] hangGlider_4   Auto=7.143      (5.6s)
