matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
c-67,57975,Y,0.0088,16.385,8.965,hash,4.869,32.095,19.662,82.59,DNF(big),DNF(big),41530117
c-67b,57975,Y,0.0088,16.395,9.447,hash,4.871,32.29,19.648,82.508,DNF(big),DNF(big),41530117
c-71,76638,Y,0.008,11.109,15.063,hash,9.075,105.068,14.59,158.112,DNF(big),DNF(big),52538716
c-73,169422,Y,0.0025,DNF,79.421,hash,85.521,DNF,120.474,DNF,DNF(big),DNF(big),1705845986
c-73b,169422,Y,0.0025,DNF,78.374,hash,85.908,DNF,120.305,DNF,DNF(big),DNF(big),1705845986
c-big,345241,Y,0.0011,242.664,291.616,hash,59.956,DNF,67.461,DNF,DNF(big),DNF(big),447991461
cage13,445315,N,0.0038,20.029,9.267,hash,5.707,7.466,9.957,32.845,DNF(big),DNF(big),60593139
cage14,1505785,N,0.0012,215.524,37.038,hash,22.026,25.605,35.306,114.164,DNF(big),DNF(big),236999813
cage15,5154859,N,0.0004,DNF,148.44,hash,90.825,96.434,136.596,422.674,DNF(big),DNF(big),929023247
cant,62451,Y,0.0522,14.595,4.504,hash,3.933,5.338,5.756,11.242,DNF(big),DNF(big),17440029
case39,40216,Y,0.0325,DNF,50.946,hash,42.898,DNF,61.408,DNF,14893.1,3738.06,404705284
case9,14454,Y,0.0363,25.91,8.858,hash,4.166,99.991,7.843,87.125,700.565,182.706,52372050
cfd2,123440,Y,0.0105,10.936,2.671,hash,1.867,10.831,3.166,8.236,DNF(big),DNF(big),13418644
circuit_4,80209,N,0.0048,14.965,16.955,hash,10.09,117.171,30.852,170.284,DNF(big),DNF(big),87091024
cnr-2000,325557,N,0.003,DNF,9.658,hash,4.223,9.231,10.796,50.972,DNF(big),DNF(big),34174066
conf5_4-8x8-05,49152,N,0.0793,8.326,2.128,hash,1.639,3.325,2.636,4.006,26883.5,6163.94,10911744
conf5_4-8x8-10,49152,N,0.0793,8.324,2.117,hash,1.638,2.689,2.658,4.014,26869.3,6164.66,10911744
conf5_4-8x8-15,49152,N,0.0793,8.392,2.113,hash,1.639,2.939,2.648,3.977,26899.3,6169.18,10911744
conf5_4-8x8-20,49152,N,0.0793,8.332,2.119,hash,1.639,3.076,2.656,4.011,26734.5,6133.97,10911744
conf6_0-8x8-20,49152,N,0.0793,8.266,2.125,hash,1.64,2.889,2.622,3.971,26722.8,6130.99,10911744
conf6_0-8x8-30,49152,N,0.0793,8.307,2.115,hash,1.636,3.163,2.623,3.977,26875.1,6163.28,10911744
conf6_0-8x8-80,49152,N,0.0793,10.284,2.114,hash,1.638,3.019,2.649,3.957,26874.2,6164.03,10911744
consph,83334,Y,0.0439,155.386,7.756,hash,5.653,7.687,8.718,16.895,DNF(big),DNF(big),26539736
cop20k_A,121192,Y,0.0093,DNF,3.397,hash,2.417,3.153,4.178,9.061,DNF(big),DNF(big),18705069
crankseg_1,52804,Y,0.1913,DNF,36.337,hash,18.348,51.115,52.432,98.617,DNF(big),DNF(big),75096904
