matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
333SP,3712815,Y,0.0001,8.466,9.55,hash,6.135,12.067,14.31,80.882,DNF(big),DNF(big),71961733
3Dspectralwave,680943,N,0.0037,261.127,38.724,hash,46.811,DNF,104.165,87.62,DNF(big),DNF(big),195425175
3Dspectralwave2,292008,N,0.0086,28.313,16.29,hash,18.66,DNF,41.808,38.436,DNF(big),DNF(big),81767340
3dtube,45330,Y,0.0793,21.182,9.414,hash,3.755,9.039,11.226,30.545,21352.3,5495.58,23716476
AS365,3799275,Y,0.0001,9.225,10.489,hash,7.32,13.426,15.941,86.603,DNF(big),DNF(big),74616587
BenElechi1,245874,Y,0.0111,453.968,9.803,hash,7.002,9.242,11.769,20.175,DNF(big),DNF(big),36261344
Bump_2911,2911419,Y,0.0008,DNF,108.295,hash,77.843,114.626,127.245,285.681,DNF(big),DNF(big),560173611
CO,221119,Y,0.0081,35.458,28.926,hash,13.698,13.505,16.95,48.986,DNF(big),DNF(big),100124359
Chevron4,711450,N,0.0013,3.089,3.954,hash,2.04,5.085,4.8,18.042,DNF(big),DNF(big),17706328
CoupCons3D,416800,N,0.0128,779.711,19.021,hash,14.38,20.848,23.408,43.897,DNF(big),DNF(big),89148864
Cube_Coup_dt0,2164760,Y,0.0014,DNF,,,90.063,123.74,134.682,278.281,DNF(big),DNF(big),
CurlCurl_2,806529,Y,0.0007,11.821,7.739,hash,3.022,5.387,6.113,23.017,DNF(big),DNF(big),44546339
CurlCurl_3,1219574,Y,0.0005,17.55,11.605,hash,4.418,7.252,9.097,34.714,DNF(big),DNF(big),67920062
CurlCurl_4,2380515,Y,0.0003,34.208,22.678,hash,8.641,13.593,15.9,66.749,DNF(big),DNF(big),133384865
Dubcova3,146689,Y,0.0088,14.335,4.575,hash,1.689,3.068,4.014,9.789,DNF(big),DNF(big),17480761
Emilia_923,923136,Y,0.0025,1336.82,36.132,hash,25.197,38.508,43.035,81.295,DNF(big),DNF(big),179867448
F1,343791,Y,0.0115,DNF,88.689,hash,36.761,68.031,66.621,156.73,DNF(big),DNF(big),224484403
F2,71505,Y,0.0525,139.026,17.163,hash,7.412,11.945,12.721,26.416,DNF(big),DNF(big),39648121
