matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,bhSparse,dense,cublas,cnnz
hugebubbles-00000,18318143,Y,0.0,DNF,,,11.074,9.935,29.91,332.672,DNF(big),DNF(big),
hugebubbles-00010,19458087,Y,0.0,DNF,,,14.48,12.433,41.993,357.562,DNF(big),DNF(big),
hugebubbles-00020,21198119,Y,0.0,DNF,,,15.529,13.981,44.826,393.874,DNF(big),DNF(big),
hugetrace-00010,12057441,Y,0.0,DNF,111.819,hash,7.318,6.869,24.909,223.696,DNF(big),DNF(big),74977771
hugetrace-00020,16002413,Y,0.0,DNF,148.933,hash,10.24,9.151,32.475,294.836,DNF(big),DNF(big),99652167
hugetric-00010,6592765,Y,0.0,5.06,62.238,hash,4.504,4.486,14.629,123.952,DNF(big),DNF(big),41276239
hugetric-00020,7122792,Y,0.0,5.598,67.583,hash,4.903,4.53,15.716,130.994,DNF(big),DNF(big),44609736
iChem_Jacobian,274087,N,0.0055,8.939,3.669,hash,1.655,3.031,4.109,14.238,DNF(big),DNF(big),18823983
in-2004,1382908,N,0.0009,DNF,101.506,hash,31.836,75.382,866.07,220.457,DNF(big),DNF(big),213255458
inline_1,503712,Y,0.0074,DNF,,,47.534,68.357,72.019,175.4,DNF(big),DNF(big),
invextr1_new,30412,N,0.194,10.332,4.867,hash,2.659,3.765,4.574,8.276,6416.75,1644.75,10570908
kim2,456976,N,0.0054,35.303,7.139,hash,3.659,5.351,8.667,26.153,DNF(big),DNF(big),36640356
kkt_power,2063494,Y,0.0002,26.344,27.115,hash,7.594,9.923,19.896,82.758,DNF(big),DNF(big),93265642
laminar_duct3D,67173,N,0.0849,15.879,4.85,hash,5.385,5.279,5.957,11.238,DNF(big),DNF(big),18934077
largebasis,440020,N,0.0029,3.808,5.511,hash,1.745,3.188,4.075,15.758,DNF(big),DNF(big),17040280
ldoor,952203,Y,0.0026,DNF,40.989,hash,26.322,36.412,43.203,84.024,DNF(big),DNF(big),145422935
