matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
can_1054,1054,Y,0.5964,0.167,0.165,merge3,0.288,0.329,0.897,60248
can_1072,1072,Y,0.5881,0.176,0.174,merge3,0.369,0.339,0.887,62316
can_144,144,Y,3.4722,0.141,0.157,merge3,0.331,0.312,0.567,3456
can_161,161,Y,2.9667,0.122,0.122,merge3,0.325,0.304,0.757,3761
can_187,187,Y,2.3993,0.118,0.121,merge3,0.332,0.312,0.701,3719
can_229,229,Y,1.9126,0.121,0.164,merge3,0.327,0.312,0.584,5017
can_24,24,Y,15.9722,0.108,0.108,merge3,0.203,0.286,0.71,336
can_256,256,Y,2.42,0.176,0.174,merge3,0.354,0.347,0.801,18568
can_268,268,Y,2.3321,0.176,0.175,merge3,0.344,0.327,0.781,15590
can_292,292,Y,1.6607,0.152,0.143,merge3,0.315,0.323,0.721,11670
can_445,445,Y,1.0741,0.142,0.143,merge3,0.339,0.316,0.575,11193
can_61,61,Y,8.3042,0.125,0.125,merge3,0.332,0.362,0.58,1793
can_62,62,Y,3.642,0.14,0.115,merge3,0.202,0.288,0.695,482
can_634,634,Y,0.978,0.147,0.151,merge3,0.367,0.34,0.664,25446
can_715,715,Y,0.7218,0.277,0.28,merge3,0.387,0.366,0.593,39785
can_73,73,Y,4.2222,0.123,0.133,merge3,0.196,0.293,0.6,1377
can_838,838,Y,0.7724,0.147,0.156,merge3,0.334,0.328,0.52,51156
can_96,96,Y,4.6875,0.146,0.139,merge3,0.332,0.287,0.572,1920
