matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.134,0.135,merge3,0.222,0.295,0.579,11142
494_bus,494,Y,0.4426,0.115,0.122,merge3,0.217,0.314,0.718,4062
662_bus,662,Y,0.3578,0.128,0.119,merge3,0.203,0.303,0.722,6480
685_bus,685,Y,0.4192,0.132,0.14,merge3,0.246,0.303,0.781,9337
arc130,130,N,7.5858,0.153,0.226,hash,0.342,0.406,0.947,15631
ash292,292,Y,1.466,0.146,0.13,merge3,0.217,0.309,0.584,6042
ash85,85,Y,4.2076,0.119,0.112,merge3,0.194,0.24,0.766,1317
bcspwr01,39,Y,5.5884,0.113,0.115,merge3,0.223,0.276,0.553,275
bcspwr02,49,Y,4.4981,0.104,0.124,merge3,0.2,0.291,0.756,403
bcspwr03,118,Y,2.133,0.121,0.117,merge3,0.209,0.305,0.615,1270
bcspwr04,274,Y,1.2561,0.132,0.138,merge3,0.222,0.3,0.779,4982
bcspwr05,443,Y,0.5264,0.129,0.125,merge3,0.223,0.299,0.718,4249
bcspwr06,1454,Y,0.1597,0.153,0.153,merge3,0.219,0.304,0.879,14110
bcspwr07,1612,Y,0.1431,0.147,0.161,merge3,0.22,0.319,0.64,15684
bcspwr08,1624,Y,0.1455,0.152,0.152,merge3,0.212,0.241,0.714,16916
bcspwr09,1723,Y,0.1387,0.136,0.141,merge3,0.226,0.317,0.606,18485
bcspwr10,5300,Y,0.0483,0.19,0.174,merge3,0.254,0.897,0.776,60498
bcsstk01,48,Y,9.7222,0.115,0.114,merge3,0.315,0.29,0.689,1292
bcsstk02,66,Y,50.7576,0.124,0.256,hash,0.856,0.604,0.735,4356
bcsstk03,112,Y,2.9974,0.115,0.112,merge3,0.162,0.305,0.736,1072
bcsstk04,132,Y,10.8471,0.14,0.162,merge3,0.462,0.404,0.635,11968
bcsstk05,153,Y,5.5022,0.137,0.138,merge3,0.353,0.334,0.742,7245
bcsstk06,420,Y,2.3469,0.148,0.148,merge3,0.318,0.347,0.779,23660
bcsstk07,420,Y,2.3469,0.157,0.156,merge3,0.319,0.348,0.541,23660
bcsstk08,1074,Y,0.6083,0.845,0.548,hash,0.361,0.834,0.743,305612
bcsstk09,1083,Y,0.8321,0.171,0.167,merge3,0.313,0.356,0.582,71289
bcsstk10,1086,Y,0.9817,0.203,0.181,merge3,0.454,0.355,0.629,54504
bcsstk11,1473,Y,0.823,0.212,0.197,merge3,0.507,0.513,0.886,94187
bcsstk12,1473,Y,0.823,0.19,0.195,merge3,0.543,0.555,0.72,94187
