matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.643,0.312,0.172,0.18,merge3,0.233,0.341,11142
494_bus,494,Y,0.4426,0.663,0.477,0.291,0.302,merge3,0.218,0.326,4062
662_bus,662,Y,0.3578,0.646,0.401,0.296,0.282,merge3,0.234,0.33,6480
685_bus,685,Y,0.4192,0.623,0.285,0.295,0.307,merge3,0.445,0.338,9337
arc130,130,N,7.5858,0.445,1.888,0.206,0.201,merge3,0.376,0.447,15631
ash292,292,Y,1.466,0.682,0.338,0.17,0.16,merge3,0.219,0.33,6042
ash85,85,Y,4.2076,0.643,0.467,0.299,0.14,merge3,0.211,0.323,1317
bcspwr01,39,Y,5.5884,0.596,0.223,0.126,0.141,merge3,0.203,0.313,275
bcspwr02,49,Y,4.4981,0.404,0.447,0.136,0.132,merge3,0.197,0.313,403
bcspwr03,118,Y,2.133,0.377,0.426,0.147,0.289,merge3,0.213,0.327,1270
bcspwr04,274,Y,1.2561,0.626,0.566,0.299,0.153,merge3,0.235,0.338,4982
bcspwr05,443,Y,0.5264,0.645,0.477,0.276,0.288,merge3,0.222,0.32,4249
bcspwr06,1454,Y,0.1597,0.639,0.5,0.178,0.173,merge3,0.245,0.35,14110
bcspwr07,1612,Y,0.1431,0.514,0.385,0.19,0.335,merge3,0.26,0.363,15684
bcspwr08,1624,Y,0.1455,0.598,0.512,0.21,0.2,merge3,0.226,0.336,16916
bcspwr09,1723,Y,0.1387,0.646,0.31,0.281,0.161,merge3,0.246,0.339,18485
bcspwr10,5300,Y,0.0483,0.762,0.53,0.215,0.354,merge3,0.246,1.058,60498
bcsstk01,48,Y,9.7222,0.622,0.28,0.143,0.274,merge3,0.375,0.327,1292
bcsstk02,66,Y,50.7576,0.698,1.936,0.167,0.314,merge3,0.957,0.714,4356
bcsstk03,112,Y,2.9974,0.613,0.224,0.278,0.25,merge3,0.177,0.33,1072
bcsstk04,132,Y,10.8471,0.746,1.364,0.186,0.323,merge3,0.546,0.396,11968
bcsstk05,153,Y,5.5022,0.642,0.674,0.318,0.177,merge3,0.366,0.357,7245
bcsstk06,420,Y,2.3469,0.748,0.937,0.187,0.344,merge3,0.363,0.379,23660
bcsstk07,420,Y,2.3469,0.764,0.895,0.333,0.194,merge3,0.342,0.382,23660
