matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.635,0.303,0.179,0.178,merge3,0.234,0.343,11142
494_bus,494,Y,0.4426,2.135,0.475,0.277,0.148,merge3,0.231,0.339,4062
662_bus,662,Y,0.3578,0.633,0.395,0.296,0.213,merge3,0.239,0.342,6480
685_bus,685,Y,0.4192,1.029,0.527,0.171,0.29,merge3,0.258,0.319,9337
arc130,130,N,7.5858,0.469,1.92,0.728,0.214,merge3,0.376,0.462,15631
ash292,292,Y,1.466,1.925,0.506,0.318,0.305,merge3,0.222,0.351,6042
ash85,85,Y,4.2076,0.417,0.319,0.466,0.278,merge3,0.204,0.323,1317
bcspwr01,39,Y,5.5884,4.333,0.482,0.139,0.133,merge3,0.199,0.315,275
bcspwr02,49,Y,4.4981,0.636,0.411,0.285,0.133,merge3,0.2,0.327,403
bcspwr03,118,Y,2.133,0.828,0.505,0.269,0.244,merge3,0.209,0.333,1270
bcspwr04,274,Y,1.2561,0.385,0.344,0.147,0.305,merge3,0.232,0.344,4982
bcspwr05,443,Y,0.5264,0.424,0.245,0.296,0.288,merge3,0.231,0.321,4249
bcspwr06,1454,Y,0.1597,0.423,0.506,0.31,0.33,merge3,0.232,0.331,14110
bcspwr07,1612,Y,0.1431,0.527,0.294,0.316,0.291,merge3,0.232,0.336,15684
bcspwr08,1624,Y,0.1455,0.555,0.301,0.319,0.2,merge3,0.237,0.35,16916
bcspwr09,1723,Y,0.1387,0.43,0.305,0.159,0.169,merge3,0.241,0.334,18485
bcspwr10,5300,Y,0.0483,0.553,0.816,0.343,0.302,merge3,0.239,1.046,60498
bcsstk01,48,Y,9.7222,0.649,0.505,0.143,0.142,merge3,0.314,0.324,1292
bcsstk02,66,Y,50.7576,0.721,2.388,0.309,0.294,merge3,0.897,0.727,4356
bcsstk03,112,Y,2.9974,0.46,0.453,0.276,0.131,merge3,0.182,0.324,1072
bcsstk04,132,Y,10.8471,0.799,1.555,0.324,0.331,merge3,0.597,0.428,11968
bcsstk05,153,Y,5.5022,0.462,0.672,0.18,0.323,merge3,0.351,0.386,7245
bcsstk06,420,Y,2.3469,4.872,0.934,0.187,0.187,merge3,0.359,0.378,23660
bcsstk07,420,Y,2.3469,0.75,0.893,0.324,0.197,merge3,0.361,0.391,23660
bcsstk08,1074,Y,0.6083,1.095,22.081,1.409,2.231,hash,0.452,1.0,305612
bcsstk09,1083,Y,0.8321,0.574,1.346,0.224,0.38,merge3,0.361,0.369,71289
bcsstk10,1086,Y,0.9817,0.819,1.53,0.364,0.383,merge3,0.526,0.393,54504
bcsstk11,1473,Y,0.823,0.85,1.613,0.388,0.392,merge3,0.632,0.667,94187
bcsstk12,1473,Y,0.823,0.92,1.604,0.284,0.4,merge3,0.554,0.68,94187
bcsstk13,2003,Y,1.0704,1.422,6.978,1.349,1.347,merge3,0.745,1.124,396773
bcsstk14,1806,Y,1.0004,1.015,2.66,0.783,0.81,merge3,0.625,0.625,195654
bcsstk15,3948,Y,0.3906,1.746,3.265,1.022,1.076,merge3,0.46,0.82,527688
bcsstk16,4884,Y,0.6189,2.446,9.945,2.247,2.365,merge3,0.876,1.587,1038782
bcsstk17,10974,Y,0.1825,3.279,11.447,2.347,2.737,hash,0.87,1.825,1406936
bcsstk18,11948,Y,0.0564,1.559,3.239,1.13,2.213,hash,0.469,1.305,713208
bcsstk19,817,Y,0.5745,0.433,0.281,0.303,0.222,merge3,0.364,0.366,18305
bcsstk20,485,Y,0.7695,0.471,0.261,0.158,0.287,merge3,0.228,0.343,5545
bcsstk21,3600,Y,0.1165,0.728,0.901,0.22,0.361,merge3,0.232,0.454,93072
bcsstk22,138,Y,2.1897,3.912,0.507,0.309,0.149,merge3,0.247,0.324,1552
bcsstk23,3134,Y,0.2459,1.109,2.016,0.614,0.72,merge3,0.386,0.615,220632
bcsstk24,3562,Y,0.6442,1.859,4.222,1.091,0.897,merge3,0.654,1.187,446474
bcsstk25,15439,Y,0.0561,1.84,4.737,1.699,2.388,hash,0.48,1.692,1168919
bcsstk26,1922,Y,0.4366,0.909,1.681,0.242,0.367,merge3,0.398,0.634,92530
bcsstk27,1224,Y,1.914,1.158,2.865,0.671,0.692,merge3,0.532,0.797,138106
bcsstk28,4410,Y,0.5744,2.022,6.377,1.357,1.383,merge3,0.735,1.485,596072
bcsstk29,13992,Y,0.1618,4.12,11.089,2.581,3.322,hash,1.058,1.884,1965686
bcsstk30,28924,Y,0.1239,12.571,94.859,18.9,7.328,hash,2.55,4.946,8946070
bcsstk31,35588,Y,0.048,6.653,21.962,5.203,5.428,hash,1.37,2.855,4713580
bcsstk32,44609,Y,0.0517,20.435,39.282,10.069,6.809,hash,2.454,3.932,6819653
bcsstk33,8738,Y,0.3933,4.026,21.775,4.663,3.31,hash,1.665,2.003,2569536
bcsstm01,48,Y,2.0833,0.572,0.471,0.276,0.284,merge3,0.176,0.318,48
bcsstm02,66,Y,1.5152,0.615,0.413,0.286,0.263,merge3,0.18,0.316,66
bcsstm03,112,Y,0.8929,0.627,0.215,0.132,0.286,merge3,0.191,0.309,112
bcsstm04,132,Y,0.7576,0.423,0.437,0.265,0.127,merge3,0.184,0.312,132
bcsstm05,153,Y,0.6536,0.645,0.452,0.272,0.234,merge3,0.178,0.334,153
bcsstm06,420,Y,0.2381,1.198,0.444,0.278,0.262,merge3,0.188,0.335,420
bcsstm07,420,Y,2.1746,0.766,0.769,0.374,0.463,merge3,0.343,0.353,22972
bcsstm08,1074,Y,0.0931,0.638,0.461,0.292,0.139,merge3,0.176,0.323,1074
bcsstm09,1083,Y,0.0923,0.555,0.451,0.145,0.27,merge3,0.183,0.349,1083
bcsstm10,1086,Y,0.9826,0.812,1.494,0.229,0.358,merge3,0.503,0.4,54504
bcsstm11,1473,Y,0.0679,0.428,0.473,0.169,0.146,merge3,0.185,0.34,1473
bcsstm12,1473,Y,0.487,0.807,1.138,0.354,0.362,merge3,0.384,0.36,53615
bcsstm13,2003,Y,0.2984,0.846,3.42,0.409,0.553,merge3,0.498,0.692,90811
bcsstm19,817,Y,0.1224,0.651,0.218,0.26,0.268,merge3,0.184,0.335,817
bcsstm20,485,Y,0.2062,0.565,0.434,0.32,0.272,merge3,0.207,0.316,485
bcsstm21,3600,Y,0.0278,0.786,0.466,0.439,0.301,merge3,0.181,0.667,3600
bcsstm22,138,Y,0.7246,0.598,0.203,0.353,0.251,merge3,0.182,0.314,138
bcsstm23,3134,Y,0.0319,0.625,0.423,0.304,0.275,merge3,0.202,0.618,3134
bcsstm24,3562,Y,0.0281,0.433,0.384,0.303,0.301,merge3,0.173,0.617,3562
bcsstm25,15439,Y,0.0065,0.652,0.348,0.255,0.994,hash,0.188,0.507,15439
bcsstm26,1922,Y,0.052,0.629,0.462,0.283,0.286,merge3,0.187,0.341,1922
bcsstm27,1224,Y,1.914,1.171,2.924,0.579,0.685,merge3,0.54,0.695,138106
blckhole,2132,Y,0.187,0.52,0.764,0.373,0.368,merge3,0.252,0.621,41546
bp_0,822,N,0.4848,0.638,11.65,0.811,0.992,hash,0.253,0.508,9384
bp_1000,822,N,0.6898,0.815,17.967,0.891,1.188,hash,0.272,0.526,21373
bp_1200,822,N,0.6994,0.658,18.299,0.871,1.151,hash,0.271,0.524,22313
bp_1400,822,N,0.7089,0.68,18.07,0.862,1.364,hash,0.271,0.523,23154
bp_1600,822,N,0.7165,0.646,17.747,0.881,1.508,hash,0.275,0.529,23625
bp_200,822,N,0.5627,0.665,14.338,0.673,1.094,hash,0.264,0.515,13197
bp_400,822,N,0.5961,0.446,15.685,0.884,1.118,hash,0.263,0.515,15238
bp_600,822,N,0.6174,0.662,16.766,0.702,1.142,hash,0.262,0.507,16464
bp_800,822,N,0.671,0.629,17.471,0.882,1.191,hash,0.28,0.536,20224
can_1054,1054,Y,0.5964,0.769,1.242,0.358,0.341,merge3,0.39,0.387,60248
can_1072,1072,Y,0.5881,0.554,1.465,0.231,0.359,merge3,0.377,0.38,62316
can_144,144,Y,3.4722,0.452,0.521,0.242,0.149,merge3,0.323,0.342,3456
can_161,161,Y,2.9667,0.644,0.524,0.212,0.283,merge3,0.327,0.343,3761
can_187,187,Y,2.3993,0.414,0.242,0.264,0.206,merge3,0.339,0.346,3719
can_229,229,Y,1.9126,0.639,0.478,0.172,0.324,merge3,0.349,0.332,5017
can_24,24,Y,15.9722,0.608,0.473,0.131,0.289,merge3,0.204,0.328,336
can_256,256,Y,2.42,3.161,2.225,0.235,0.387,merge3,0.355,0.402,18568
can_268,268,Y,2.3321,0.522,1.044,0.541,0.355,merge3,0.361,0.372,15590
can_292,292,Y,1.6607,0.479,0.651,0.323,0.319,merge3,0.348,0.357,11670
can_445,445,Y,1.0741,0.696,0.497,0.301,0.401,merge3,0.336,0.345,11193
can_61,61,Y,8.3042,0.602,0.623,0.279,0.143,merge3,0.343,0.329,1793
can_62,62,Y,3.642,0.563,0.464,0.147,0.132,merge3,0.202,0.317,482
can_634,634,Y,0.978,0.917,0.771,0.326,0.33,merge3,0.398,0.351,25446
can_715,715,Y,0.7218,0.56,2.118,0.5,0.567,merge3,0.431,0.37,39785
can_73,73,Y,4.2222,0.426,0.602,0.141,0.29,merge3,0.208,0.295,1377
can_838,838,Y,0.7724,0.76,1.116,0.329,0.2,merge3,0.375,0.38,51156
can_96,96,Y,4.6875,0.626,0.483,0.138,0.141,merge3,0.348,0.32,1920
