matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
bcsstk13,2003,Y,1.0704,0.601,0.816,hash,0.659,0.911,0.951,396773
bcsstk14,1806,Y,1.0004,0.318,0.351,merge3,0.601,0.532,0.864,195654
bcsstk15,3948,Y,0.3906,0.435,0.325,hash,0.413,0.712,0.945,527688
bcsstk16,4884,Y,0.6189,1.16,0.488,hash,0.781,1.478,1.15,1038782
bcsstk17,10974,Y,0.1825,1.187,0.608,hash,0.815,1.795,1.16,1406936
bcsstk18,11948,Y,0.0564,0.513,0.366,hash,0.46,1.37,0.992,713208
bcsstk19,817,Y,0.5745,0.164,0.141,merge3,0.4,0.314,0.745,18305
bcsstk20,485,Y,0.7695,0.126,0.124,merge3,0.209,0.244,0.712,5545
bcsstk21,3600,Y,0.1165,0.188,0.189,merge3,0.21,0.417,0.766,93072
bcsstk22,138,Y,2.1897,0.113,0.153,merge3,0.2,0.291,0.602,1552
bcsstk23,3134,Y,0.2459,0.249,0.262,merge3,0.288,0.539,0.881,220632
bcsstk24,3562,Y,0.6442,0.455,0.349,hash,0.59,0.974,0.857,446474
bcsstk25,15439,Y,0.0561,0.742,0.424,hash,0.455,1.507,0.992,1168919
bcsstk26,1922,Y,0.4366,0.189,0.179,merge3,0.301,0.518,0.783,92530
bcsstk27,1224,Y,1.914,0.301,0.332,merge3,0.494,0.642,0.594,138106
bcsstk28,4410,Y,0.5744,0.651,0.431,hash,0.756,1.38,1.138,596072
bcsstk29,13992,Y,0.1618,1.422,0.773,hash,0.905,1.77,1.264,1965686
bcsstk30,28924,Y,0.1239,11.236,3.305,hash,2.367,4.726,3.055,8946070
bcsstk31,35588,Y,0.048,3.107,1.308,hash,1.834,2.679,2.362,4713580
bcsstk32,44609,Y,0.0517,5.638,2.085,hash,1.746,3.41,3.228,6819653
bcsstk33,8738,Y,0.3933,2.725,1.076,hash,1.663,1.91,1.791,2569536
bcsstm01,48,Y,2.0833,0.105,0.11,merge3,0.156,0.275,1.233,48
bcsstm02,66,Y,1.5152,0.099,0.119,merge3,0.155,0.271,1.514,66
bcsstm03,112,Y,0.8929,0.1,0.104,merge3,0.158,0.214,0.559,112
bcsstm04,132,Y,0.7576,0.104,0.103,merge3,0.16,0.211,1.007,132
bcsstm05,153,Y,0.6536,0.113,0.105,merge3,0.16,0.279,1.343,153
bcsstm06,420,Y,0.2381,0.101,0.106,merge3,0.161,0.287,1.084,420
bcsstm07,420,Y,2.1746,0.145,0.144,merge3,0.316,0.339,1.555,22972
bcsstm08,1074,Y,0.0931,0.117,0.128,merge3,0.175,0.315,0.531,1074
bcsstm09,1083,Y,0.0923,0.111,0.108,merge3,0.14,0.281,1.514,1083
bcsstm10,1086,Y,0.9826,0.212,0.182,merge3,0.453,0.306,0.771,54504
bcsstm11,1473,Y,0.0679,0.12,0.116,merge3,0.164,0.287,1.509,1473
bcsstm12,1473,Y,0.487,0.177,0.185,merge3,0.366,0.34,0.728,53615
bcsstm13,2003,Y,0.2984,0.333,0.306,merge3,0.448,0.582,0.883,90811
bcsstm19,817,Y,0.1224,0.12,0.121,merge3,0.14,0.274,0.968,817
bcsstm20,485,Y,0.2062,0.121,0.107,merge3,0.173,0.304,0.92,485
bcsstm21,3600,Y,0.0278,0.138,0.142,merge3,0.168,0.478,1.013,3600
bcsstm22,138,Y,0.7246,0.109,0.111,merge3,0.161,0.269,0.564,138
bcsstm23,3134,Y,0.0319,0.143,0.143,merge3,0.191,0.473,0.569,3134
bcsstm24,3562,Y,0.0281,0.146,0.148,merge3,0.182,0.477,0.582,3562
bcsstm25,15439,Y,0.0065,0.273,0.286,merge3,0.191,0.485,1.187,15439
bcsstm26,1922,Y,0.052,0.137,0.125,merge3,0.164,0.291,1.616,1922
bcsstm27,1224,Y,1.914,0.305,0.304,merge3,0.502,0.649,0.707,138106
blckhole,2132,Y,0.187,0.176,0.169,merge3,0.183,0.475,0.622,41546
bp_0,822,N,0.4848,0.413,0.308,hash,0.211,0.373,0.875,9384
bp_1000,822,N,0.6898,0.442,0.365,hash,0.249,0.526,0.656,21373
bp_1200,822,N,0.6994,0.441,0.393,hash,0.247,0.474,1.318,22313
bp_1400,822,N,0.7089,0.445,0.397,hash,0.262,0.411,0.756,23154
bp_1600,822,N,0.7165,0.474,0.381,hash,0.255,0.466,1.406,23625
bp_200,822,N,0.5627,0.405,0.323,hash,0.242,0.455,1.031,13197
bp_400,822,N,0.5961,0.437,0.339,hash,0.243,0.46,1.381,15238
bp_600,822,N,0.6174,0.432,0.358,hash,0.244,0.463,1.02,16464
bp_800,822,N,0.671,0.446,0.37,hash,0.248,0.475,0.658,20224
can_1054,1054,Y,0.5964,0.167,0.167,merge3,0.342,0.339,1.472,60248
can_1072,1072,Y,0.5881,0.201,0.185,merge3,0.6,0.336,0.616,62316
can_144,144,Y,3.4722,0.129,0.122,merge3,0.299,0.315,0.744,3456
can_161,161,Y,2.9667,0.156,0.142,merge3,0.33,0.304,1.34,3761
can_187,187,Y,2.3993,0.113,0.117,merge3,0.297,0.292,0.624,3719
can_229,229,Y,1.9126,0.145,0.133,merge3,0.302,0.302,1.794,5017
can_24,24,Y,15.9722,0.106,0.105,merge3,0.19,0.271,0.955,336
can_256,256,Y,2.42,0.167,0.157,merge3,0.281,0.343,1.249,18568
can_268,268,Y,2.3321,0.146,0.133,merge3,0.314,0.263,1.492,15590
can_292,292,Y,1.6607,0.135,0.132,merge3,0.338,0.325,0.919,11670
can_445,445,Y,1.0741,0.156,0.136,merge3,0.339,0.316,1.61,11193
can_61,61,Y,8.3042,0.122,0.12,merge3,0.301,0.294,1.324,1793
can_62,62,Y,3.642,0.126,0.133,merge3,0.187,0.274,1.408,482
can_634,634,Y,0.978,0.175,0.139,merge3,0.334,0.331,1.7,25446
can_715,715,Y,0.7218,0.282,0.294,merge3,0.353,0.375,1.348,39785
can_73,73,Y,4.2222,0.122,0.13,merge3,0.197,0.294,1.322,1377
can_838,838,Y,0.7724,0.149,0.15,merge3,0.332,0.264,0.656,51156
can_96,96,Y,4.6875,0.133,0.12,merge3,0.301,0.281,1.056,1920
