matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.144,0.119,merge3,0.211,0.291,0.583,11142
494_bus,494,Y,0.4426,0.113,0.131,merge3,0.207,0.562,0.678,4062
662_bus,662,Y,0.3578,0.116,0.129,merge3,0.181,0.286,0.769,6480
685_bus,685,Y,0.4192,0.124,0.127,merge3,0.211,0.303,0.881,9337
arc130,130,N,7.5858,0.152,0.148,merge3,0.344,0.396,0.624,15631
ash292,292,Y,1.466,0.134,0.16,merge3,0.207,0.309,0.763,6042
ash85,85,Y,4.2076,0.117,0.11,merge3,0.194,0.288,0.761,1317
bcspwr01,39,Y,5.5884,0.109,0.111,merge3,0.164,0.27,0.536,275
bcspwr02,49,Y,4.4981,0.112,0.112,merge3,0.189,0.28,0.541,403
bcspwr03,118,Y,2.133,0.122,0.157,merge3,0.2,0.293,0.58,1270
bcspwr04,274,Y,1.2561,0.146,0.147,merge3,0.224,0.314,0.714,4982
bcspwr05,443,Y,0.5264,0.136,0.133,merge3,0.205,0.294,0.772,4249
bcspwr06,1454,Y,0.1597,0.151,0.15,merge3,0.23,0.295,0.579,14110
bcspwr07,1612,Y,0.1431,0.16,0.177,merge3,0.223,0.313,0.708,15684
bcspwr08,1624,Y,0.1455,0.152,0.153,merge3,0.207,0.338,0.59,16916
bcspwr09,1723,Y,0.1387,0.168,0.145,merge3,0.221,0.311,0.623,18485
bcspwr10,5300,Y,0.0483,0.181,0.187,merge3,0.223,0.925,0.603,60498
bcsstk01,48,Y,9.7222,0.116,0.115,merge3,0.318,0.294,0.741,1292
bcsstk02,66,Y,50.7576,0.142,0.142,merge3,0.782,0.659,0.6,4356
bcsstk03,112,Y,2.9974,0.117,0.132,merge3,0.177,0.291,0.853,1072
bcsstk04,132,Y,10.8471,0.145,0.144,merge3,0.469,0.375,0.857,11968
bcsstk05,153,Y,5.5022,0.133,0.164,merge3,0.348,0.322,0.613,7245
bcsstk06,420,Y,2.3469,0.152,0.153,merge3,0.346,0.348,0.703,23660
bcsstk07,420,Y,2.3469,0.174,0.183,merge3,0.311,0.347,0.745,23660
bcsstk08,1074,Y,0.6083,0.853,0.58,hash,0.388,0.808,0.751,305612
bcsstk09,1083,Y,0.8321,0.175,0.176,merge3,0.339,0.354,0.968,71289
bcsstk10,1086,Y,0.9817,0.195,0.195,merge3,0.5,0.368,0.603,54504
bcsstk11,1473,Y,0.823,0.201,0.199,merge3,0.55,0.537,0.601,94187
bcsstk12,1473,Y,0.823,0.208,0.199,merge3,0.501,0.538,0.605,94187
