matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
bcsstm09,1083,Y,0.0923,0.115,0.116,merge3,0.174,0.289,1.044,1083
bcsstm10,1086,Y,0.9826,0.314,0.192,merge3,0.387,0.369,1.209,54504
bcsstm11,1473,Y,0.0679,0.116,0.121,merge3,0.173,0.29,0.929,1473
bcsstm12,1473,Y,0.487,0.174,0.176,merge3,0.399,0.334,0.754,53615
bcsstm13,2003,Y,0.2984,0.307,0.326,merge3,0.452,0.559,0.787,90811
bcsstm19,817,Y,0.1224,0.117,0.122,merge3,0.175,0.295,0.879,817
bcsstm20,485,Y,0.2062,0.12,0.114,merge3,0.172,0.297,0.564,485
bcsstm21,3600,Y,0.0278,0.151,0.157,merge3,0.173,0.475,0.985,3600
bcsstm22,138,Y,0.7246,0.11,0.14,merge3,0.195,0.271,0.472,138
bcsstm23,3134,Y,0.0319,0.146,0.136,merge3,0.169,0.496,0.831,3134
bcsstm24,3562,Y,0.0281,0.152,0.151,merge3,0.176,0.475,1.085,3562
bcsstm25,15439,Y,0.0065,0.262,0.266,merge3,0.19,0.49,1.74,15439
bcsstm26,1922,Y,0.052,0.127,0.124,merge3,0.174,0.314,0.871,1922
bcsstm27,1224,Y,1.914,0.318,0.321,merge3,0.546,0.668,1.018,138106
blckhole,2132,Y,0.187,0.175,0.177,merge3,0.224,0.469,1.084,41546
bp_0,822,N,0.4848,0.401,0.401,hash,0.245,0.432,1.4,9384
bp_1000,822,N,0.6898,0.443,0.381,hash,0.259,0.492,1.441,21373
bp_1200,822,N,0.6994,0.447,0.389,hash,0.259,0.485,0.985,22313
bp_1400,822,N,0.7089,0.439,0.405,hash,0.263,0.472,0.867,23154
bp_1600,822,N,0.7165,0.448,0.396,hash,0.266,0.483,0.808,23625
bp_200,822,N,0.5627,0.412,0.339,hash,0.252,0.46,1.006,13197
bp_400,822,N,0.5961,0.446,0.349,hash,0.219,0.468,1.556,15238
bp_600,822,N,0.6174,0.429,0.365,hash,0.257,0.477,1.323,16464
bp_800,822,N,0.671,0.445,0.381,hash,0.258,0.47,1.027,20224
can_1054,1054,Y,0.5964,0.178,0.169,merge3,0.359,0.339,1.0,60248
can_1072,1072,Y,0.5881,0.193,0.176,merge3,0.36,0.335,0.563,62316
can_144,144,Y,3.4722,0.146,0.128,merge3,0.331,0.311,1.48,3456
can_161,161,Y,2.9667,0.131,0.135,merge3,0.333,0.307,0.772,3761
can_187,187,Y,2.3993,0.132,0.124,merge3,0.322,0.296,1.272,3719
can_229,229,Y,1.9126,0.128,0.145,merge3,0.328,0.303,1.222,5017
can_24,24,Y,15.9722,0.117,0.119,merge3,0.2,0.346,1.047,336
can_256,256,Y,2.42,0.178,0.183,merge3,0.347,0.368,0.803,18568
can_268,268,Y,2.3321,0.154,0.155,merge3,0.34,0.319,0.964,15590
can_292,292,Y,1.6607,0.131,0.136,merge3,0.337,0.321,0.72,11670
can_445,445,Y,1.0741,0.138,0.136,merge3,0.333,0.305,1.209,11193
can_61,61,Y,8.3042,0.13,0.125,merge3,0.326,0.299,0.956,1793
can_62,62,Y,3.642,0.119,0.121,merge3,0.198,0.289,0.712,482
can_634,634,Y,0.978,0.171,0.161,merge3,0.363,0.325,0.695,25446
can_715,715,Y,0.7218,0.278,0.285,merge3,0.416,0.365,1.268,39785
can_73,73,Y,4.2222,0.126,0.142,merge3,0.204,0.3,0.619,1377
can_838,838,Y,0.7724,0.154,0.164,merge3,0.354,0.341,1.336,51156
can_96,96,Y,4.6875,0.115,0.114,merge3,0.319,0.288,1.049,1920
