matrix,n,sym,density_pct,merge3,Auto,Auto_choice,Ocean,HSMU,opSparse,cnnz
1138_bus,1138,Y,0.2005,0.14,0.136,merge3,0.215,0.309,0.893,11142
494_bus,494,Y,0.4426,0.114,0.114,merge3,0.175,0.31,0.59,4062
662_bus,662,Y,0.3578,0.125,0.135,merge3,0.223,0.333,0.867,6480
685_bus,685,Y,0.4192,0.151,0.14,merge3,0.207,0.304,0.675,9337
arc130,130,N,7.5858,0.146,0.166,merge3,0.388,0.412,0.635,15631
ash292,292,Y,1.466,0.152,0.127,merge3,0.212,0.306,0.77,6042
ash85,85,Y,4.2076,0.135,0.115,merge3,0.193,0.285,1.653,1317
bcspwr01,39,Y,5.5884,0.109,0.114,merge3,0.257,0.274,0.722,275
bcspwr02,49,Y,4.4981,0.145,0.117,merge3,0.201,0.282,0.773,403
bcspwr03,118,Y,2.133,0.115,0.133,merge3,0.202,0.297,0.588,1270
bcspwr04,274,Y,1.2561,0.13,0.122,merge3,0.21,0.244,0.622,4982
bcspwr05,443,Y,0.5264,0.131,0.136,merge3,0.215,0.31,0.682,4249
bcspwr06,1454,Y,0.1597,0.162,0.15,merge3,0.223,0.348,0.878,14110
bcspwr07,1612,Y,0.1431,0.169,0.154,merge3,0.223,0.318,0.611,15684
bcspwr08,1624,Y,0.1455,0.172,0.16,merge3,0.227,0.322,0.77,16916
bcspwr09,1723,Y,0.1387,0.14,0.141,merge3,0.228,0.302,1.161,18485
bcspwr10,5300,Y,0.0483,0.188,0.171,merge3,0.225,0.739,0.581,60498
bcsstk01,48,Y,9.7222,0.112,0.118,merge3,0.291,0.301,1.214,1292
bcsstk02,66,Y,50.7576,0.147,0.124,merge3,0.852,0.677,0.745,4356
bcsstk03,112,Y,2.9974,0.122,0.128,merge3,0.181,0.287,0.56,1072
bcsstk04,132,Y,10.8471,0.152,0.148,merge3,0.468,0.309,0.733,11968
bcsstk05,153,Y,5.5022,0.136,0.155,merge3,0.318,0.624,0.462,7245
bcsstk06,420,Y,2.3469,0.145,0.148,merge3,0.315,0.351,0.87,23660
bcsstk07,420,Y,2.3469,0.144,0.146,merge3,0.31,0.347,0.602,23660
bcsstk08,1074,Y,0.6083,0.853,0.537,hash,0.395,0.679,0.762,305612
bcsstk09,1083,Y,0.8321,0.173,0.179,merge3,0.344,0.327,0.601,71289
bcsstk10,1086,Y,0.9817,0.18,0.189,merge3,0.451,0.36,0.88,54504
bcsstk11,1473,Y,0.823,0.204,0.251,merge3,0.496,0.533,0.599,94187
bcsstk12,1473,Y,0.823,0.224,0.205,merge3,0.543,0.536,0.606,94187
bcsstk13,2003,Y,1.0704,0.654,0.844,hash,0.706,0.925,1.613,396773
bcsstk14,1806,Y,1.0004,0.328,0.323,merge3,0.608,0.54,0.817,195654
bcsstk15,3948,Y,0.3906,0.431,0.314,hash,0.361,0.658,1.019,527688
bcsstk16,4884,Y,0.6189,1.169,0.493,hash,0.789,1.431,1.32,1038782
bcsstk17,10974,Y,0.1825,1.202,0.624,hash,1.305,1.733,1.485,1406936
bcsstk18,11948,Y,0.0564,0.51,0.375,hash,0.507,1.279,1.309,713208
bcsstk19,817,Y,0.5745,0.132,0.151,merge3,0.342,0.322,0.608,18305
bcsstk20,485,Y,0.7695,0.137,0.13,merge3,0.22,0.314,0.655,5545
bcsstk21,3600,Y,0.1165,0.191,0.195,merge3,0.229,0.447,0.615,93072
bcsstk22,138,Y,2.1897,0.103,0.119,merge3,0.176,0.223,0.592,1552
bcsstk23,3134,Y,0.2459,0.259,0.257,merge3,0.372,0.527,0.739,220632
bcsstk24,3562,Y,0.6442,0.458,0.366,hash,0.654,0.77,1.013,446474
bcsstk25,15439,Y,0.0561,0.746,0.421,hash,0.482,1.494,1.015,1168919
bcsstk26,1922,Y,0.4366,0.195,0.22,merge3,0.387,0.614,0.758,92530
bcsstk27,1224,Y,1.914,0.31,0.324,merge3,0.546,0.659,0.875,138106
bcsstk28,4410,Y,0.5744,0.633,0.445,hash,0.702,1.327,1.536,596072
bcsstk29,13992,Y,0.1618,1.46,0.766,hash,0.966,1.77,1.449,1965686
bcsstk30,28924,Y,0.1239,11.234,3.3,hash,2.37,4.433,3.034,8946070
bcsstk31,35588,Y,0.048,3.087,1.305,hash,1.294,3.154,1.954,4713580
bcsstk32,44609,Y,0.0517,5.632,2.065,hash,1.793,3.702,2.948,6819653
bcsstk33,8738,Y,0.3933,2.729,1.085,hash,1.538,2.008,1.977,2569536
bcsstm01,48,Y,2.0833,0.111,0.106,merge3,0.161,0.283,1.021,48
bcsstm02,66,Y,1.5152,0.107,0.11,merge3,0.171,0.24,0.82,66
bcsstm03,112,Y,0.8929,0.097,0.109,merge3,0.194,0.315,0.856,112
bcsstm04,132,Y,0.7576,0.106,0.107,merge3,0.174,0.297,0.873,132
bcsstm05,153,Y,0.6536,0.107,0.109,merge3,0.17,0.275,1.301,153
bcsstm06,420,Y,0.2381,0.107,0.208,merge3,0.172,0.367,0.918,420
bcsstm07,420,Y,2.1746,0.147,0.147,merge3,0.341,0.36,1.056,22972
bcsstm08,1074,Y,0.0931,0.135,0.119,merge3,0.173,0.294,1.054,1074
