cuBLAS baseline(ctypes 直调系统 libcublas)
[1/100] 1138_bus → 0.113 ms
[2/100] 494_bus → 0.066 ms
[3/100] 662_bus → 0.078 ms
[4/100] 685_bus → 0.087 ms
[5/100] arc130 → 0.042 ms
[6/100] ash292 → 0.052 ms
[7/100] ash85 → 0.031 ms
[8/100] bcspwr01 → 0.049 ms
[9/100] bcspwr02 → 0.041 ms
[10/100] bcspwr03 → 0.039 ms
[11/100] bcspwr04 → 0.034 ms
[12/100] bcspwr05 → 0.062 ms
[13/100] bcspwr06 → 0.241 ms
[14/100] bcspwr07 → 0.273 ms
[15/100] bcspwr08 → 0.289 ms
[16/100] bcspwr09 → 0.337 ms
[17/100] bcspwr10 → 7.620 ms
[18/100] bcsstk01 → 0.048 ms
[19/100] bcsstk02 → 0.049 ms
[20/100] bcsstk03 → 0.039 ms
[21/100] bcsstk04 → 0.032 ms
[22/100] bcsstk05 → 0.050 ms
[23/100] bcsstk06 → 0.060 ms
[24/100] bcsstk07 → 0.060 ms
[25/100] bcsstk08 → 0.137 ms
[26/100] bcsstk09 → 0.131 ms
[27/100] bcsstk10 → 0.147 ms
[28/100] bcsstk11 → 0.250 ms
[29/100] bcsstk12 → 0.232 ms
[30/100] bcsstk13 → 0.533 ms
[31/100] bcsstk14 → 0.384 ms
[32/100] bcsstk15 → 3.447 ms
[33/100] bcsstk16 → 6.906 ms
[34/100] bcsstk17 → 63.729 ms
[35/100] bcsstk18 → 86.156 ms
[36/100] bcsstk19 → 0.058 ms
[37/100] bcsstk20 → 0.064 ms
[38/100] bcsstk21 → 2.685 ms
[39/100] bcsstk22 → 0.020 ms
[40/100] bcsstk23 → 1.812 ms
[41/100] bcsstk24 → 2.604 ms
[42/100] bcsstk25 → 177.747 ms
[43/100] bcsstk26 → 0.508 ms
[44/100] bcsstk27 → 0.138 ms
[45/100] bcsstk28 → 5.050 ms
[46/100] bcsstk29 → 137.127 ms
[47/100] bcsstk30 → 1181.074 ms
[48/100] bcsstk31 → 2316.701 ms
[49/100] bcsstk32 → 4421.557 ms
[50/100] bcsstk33 → 32.817 ms
[51/100] bcsstm01 → 0.017 ms
[52/100] bcsstm02 → 0.047 ms
[53/100] bcsstm03 → 0.037 ms
[54/100] bcsstm04 → 0.048 ms
[55/100] bcsstm05 → 0.031 ms
[56/100] bcsstm06 → 0.038 ms
[57/100] bcsstm07 → 0.060 ms
[58/100] bcsstm08 → 0.130 ms
[59/100] bcsstm09 → 0.127 ms
[60/100] bcsstm10 → 0.117 ms
[61/100] bcsstm11 → 0.222 ms
[62/100] bcsstm12 → 0.233 ms
[63/100] bcsstm13 → 0.554 ms
[64/100] bcsstm19 → 0.076 ms
[65/100] bcsstm20 → 0.065 ms
[66/100] bcsstm21 → 2.703 ms
[67/100] bcsstm22 → 0.050 ms
[68/100] bcsstm23 → 1.799 ms
[69/100] bcsstm24 → 2.603 ms
[70/100] bcsstm25 → 177.747 ms
[71/100] bcsstm26 → 0.506 ms
[72/100] bcsstm27 → 0.159 ms
[73/100] blckhole → 0.596 ms
[74/100] bp_0 → 0.075 ms
[75/100] bp_1000 → 0.083 ms
[76/100] bp_1200 → 0.071 ms
[77/100] bp_1400 → 0.087 ms
[78/100] bp_1600 → 0.077 ms
[79/100] bp_200 → 0.092 ms
[80/100] bp_400 → 0.072 ms
[81/100] bp_600 → 0.092 ms
[82/100] bp_800 → 0.092 ms
[83/100] can_1054 → 0.110 ms
[84/100] can_1072 → 0.136 ms
[85/100] can_144 → 0.042 ms
[86/100] can_161 → 0.043 ms
[87/100] can_187 → 0.051 ms
[88/100] can_229 → 0.034 ms
[89/100] can_24 → 0.049 ms
[90/100] can_256 → 0.036 ms
[91/100] can_268 → 0.043 ms
[92/100] can_292 → 0.060 ms
[93/100] can_445 → 0.061 ms
[94/100] can_61 → 0.049 ms
[95/100] can_62 → 0.037 ms
[96/100] can_634 → 0.073 ms
[97/100] can_715 → 0.081 ms
[98/100] can_73 → 0.036 ms
[99/100] can_838 → 0.095 ms
[100/100] can_96 → 0.049 ms

写出 /home/xueyizhou/spgemm-challenge/suitesparse_crawl/baseline_cublas.csv  (ok 100/100)
