name,ocean_ms,status
1138_bus,0.20943360114470125,ok
494_bus,0.250838399422355,ok
662_bus,0.21764480019919571,ok
685_bus,0.22059519935864955,ok
arc130,0.36917440011166036,ok
ash292,0.21694400075357406,ok
ash85,0.19318080006632954,ok
bcspwr01,0.19412799945566805,ok
bcspwr02,0.19530880015809093,ok
bcspwr03,0.210246400302276,ok
bcspwr04,0.2181216002907604,ok
bcspwr05,0.2155487996293232,ok
bcspwr06,0.1836703999899328,ok
bcspwr07,0.2187584004830569,ok
bcspwr08,0.22044800030998885,ok
bcspwr09,0.2243840002687648,ok
bcspwr10,0.23339840024709704,ok
bcsstk01,0.3173503999831155,ok
bcsstk02,0.8525631960714236,ok
bcsstk03,0.1747840009164065,ok
bcsstk04,0.5095199995441362,ok
bcsstk05,0.3450847998959944,ok
bcsstk06,0.3377984003862366,ok
bcsstk07,0.30806400007568296,ok
bcsstk08,0.4188992006937042,ok
bcsstk09,0.3395871997345239,ok
bcsstk10,0.5107167984358967,ok
bcsstk11,0.5427263994468376,ok
bcsstk12,0.5376287991181016,ok
bcsstk13,0.6954976003617048,ok
bcsstk14,0.590931200957857,ok
bcsstk15,0.43230079982895403,ok
bcsstk16,0.8187968028942123,ok
bcsstk17,0.8125664030201732,ok
bcsstk18,0.4484351976308972,ok
bcsstk19,0.34342399991583084,ok
bcsstk20,0.21670080034527928,ok
bcsstk21,0.22595200093928725,ok
bcsstk22,0.2134143986273557,ok
bcsstk23,0.3619103992590681,ok
bcsstk24,0.6357856021495536,ok
bcsstk25,0.46782400072552266,ok
bcsstk26,0.3727168002398685,ok
bcsstk27,0.5367264029104263,ok
bcsstk28,0.7452799970749766,ok
bcsstk29,0.9589311984134837,ok
bcsstk30,2.410364808817394,ok
bcsstk31,1.2861344101373107,ok
bcsstk32,1.7994463977403938,ok
bcsstk33,1.5695776004809885,ok
bcsstm01,0.16610560077242553,ok
bcsstm02,0.16883200013544414,ok
bcsstm03,0.17175680014770478,ok
bcsstm04,0.17316479943692684,ok
bcsstm05,0.1730144005501643,ok
bcsstm06,0.15694400027859956,ok
bcsstm07,0.3354911989532411,ok
bcsstm08,0.17310399985872207,ok
bcsstm09,0.17115520085208116,ok
bcsstm10,0.5014495997689664,ok
bcsstm11,0.1717984006740153,ok
bcsstm12,0.3576511999359354,ok
bcsstm13,0.44960320016834887,ok
bcsstm19,0.17123839973937718,ok
bcsstm20,0.17298559986520556,ok
bcsstm21,0.1777727992972359,ok
bcsstm22,0.17068479957524685,ok
bcsstm23,0.1752064004074782,ok
bcsstm24,0.1751199997263029,ok
bcsstm25,0.18727039981167762,ok
bcsstm26,0.17131840041838586,ok
bcsstm27,0.5389216020470485,ok
blckhole,0.22515200022608037,ok
bp_0,0.2432511997641996,ok
bp_1000,0.2622016009641811,ok
bp_1200,0.2591104017104954,ok
bp_1400,0.26093760165385904,ok
bp_1600,0.34596800021827223,ok
bp_200,0.25200320000294596,ok
bp_400,0.2554560003103688,ok
bp_600,0.25460480037145317,ok
bp_800,0.2558816007105634,ok
can_1054,0.3616288001881912,ok
can_1072,0.3639359998051077,ok
can_144,0.3280607999768108,ok
can_161,0.3227552009280771,ok
can_187,0.32815039944835,ok
can_229,0.32272319979965686,ok
can_24,0.19933760068379344,ok
can_256,0.34742080194409936,ok
can_268,0.34295999992173165,ok
can_292,0.33850240118335934,ok
can_445,0.32868480116594584,ok
can_61,0.32323200029786675,ok
can_62,0.19809920077677817,ok
can_634,0.35570559920743106,ok
can_715,0.377903999411501,ok
can_73,0.20303360004909338,ok
can_838,0.35851840060204265,ok
can_96,0.3179648005403578,ok
