matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.641,0.321,0.175,0.286,merge3,0.222,0.342,11142
494_bus,494,Y,0.4426,0.612,0.282,0.163,0.289,merge3,0.229,0.322,4062
662_bus,662,Y,0.3578,0.516,0.262,0.162,0.285,merge3,0.222,0.321,6480
685_bus,685,Y,0.4192,0.664,0.511,0.313,0.154,merge3,0.226,0.33,9337
arc130,130,N,7.5858,0.647,1.633,0.347,0.339,merge3,0.395,0.468,15631
ash292,292,Y,1.466,0.459,0.295,0.214,0.308,merge3,0.219,0.356,6042
ash85,85,Y,4.2076,0.608,0.267,0.139,0.291,merge3,0.216,0.352,1317
bcspwr01,39,Y,5.5884,0.603,0.435,0.279,0.286,merge3,0.193,0.319,275
bcspwr02,49,Y,4.4981,0.633,0.231,0.136,0.264,merge3,0.208,0.314,403
bcspwr03,118,Y,2.133,0.61,0.256,0.302,0.275,merge3,0.226,0.326,1270
bcspwr04,274,Y,1.2561,0.625,0.559,0.254,0.15,merge3,0.224,0.336,4982
bcspwr05,443,Y,0.5264,0.449,0.256,0.256,0.146,merge3,0.229,0.311,4249
bcspwr06,1454,Y,0.1597,0.657,0.517,0.331,0.327,merge3,0.239,0.335,14110
bcspwr07,1612,Y,0.1431,0.602,0.552,0.257,0.188,merge3,0.234,0.352,15684
bcspwr08,1624,Y,0.1455,0.438,0.517,0.198,0.195,merge3,0.221,0.335,16916
bcspwr09,1723,Y,0.1387,0.65,0.308,0.193,0.317,merge3,0.255,0.348,18485
bcspwr10,5300,Y,0.0483,0.756,0.805,0.353,0.352,merge3,0.25,1.052,60498
bcsstk01,48,Y,9.7222,0.641,0.276,0.186,0.141,merge3,0.337,0.337,1292
bcsstk02,66,Y,50.7576,0.719,2.337,0.313,0.328,merge3,0.848,0.715,4356
bcsstk03,112,Y,2.9974,0.595,0.44,0.142,0.137,merge3,0.188,0.34,1072
bcsstk04,132,Y,10.8471,0.742,1.565,0.317,0.186,merge3,0.509,0.411,11968
bcsstk05,153,Y,5.5022,0.614,0.647,0.311,0.321,merge3,0.364,0.364,7245
bcsstk06,420,Y,2.3469,0.764,0.734,0.33,0.197,merge3,0.35,0.376,23660
bcsstk07,420,Y,2.3469,0.74,0.926,0.339,0.201,merge3,0.338,0.392,23660
bcsstk08,1074,Y,0.6083,1.012,22.008,1.36,2.537,hash,0.453,0.955,305612
bcsstk09,1083,Y,0.8321,0.766,1.323,0.223,0.356,merge3,0.37,0.363,71289
bcsstk10,1086,Y,0.9817,0.599,1.32,0.359,0.385,merge3,0.54,0.387,54504
bcsstk11,1473,Y,0.823,0.976,1.548,0.373,0.254,merge3,0.566,0.629,94187
bcsstk12,1473,Y,0.823,0.926,1.593,0.371,0.37,merge3,0.574,0.668,94187
bcsstk13,2003,Y,1.0704,1.497,7.315,1.203,1.31,merge3,0.733,1.129,396773
bcsstk14,1806,Y,1.0004,1.257,2.638,0.805,0.663,merge3,0.592,0.586,195654
bcsstk15,3948,Y,0.3906,1.713,3.237,0.896,1.063,merge3,0.453,0.819,527688
bcsstk16,4884,Y,0.6189,2.537,10.021,2.313,2.303,merge3,0.873,1.526,1038782
bcsstk17,10974,Y,0.1825,3.329,11.169,2.332,3.112,hash,0.853,1.795,1406936
bcsstk18,11948,Y,0.0564,1.511,3.29,1.166,2.457,hash,0.476,1.323,713208
bcsstk19,817,Y,0.5745,0.655,0.486,0.154,0.298,merge3,0.365,0.327,18305
bcsstk20,485,Y,0.7695,0.624,0.507,0.153,0.288,merge3,0.221,0.35,5545
bcsstk21,3600,Y,0.1165,0.736,0.855,0.215,0.219,merge3,0.238,0.488,93072
bcsstk22,138,Y,2.1897,0.631,0.23,0.284,0.288,merge3,0.221,0.326,1552
bcsstk23,3134,Y,0.2459,1.066,2.067,0.689,0.688,merge3,0.372,0.63,220632
bcsstk24,3562,Y,0.6442,1.791,4.16,1.04,1.059,merge3,0.645,1.152,446474
bcsstk25,15439,Y,0.0561,1.851,4.687,1.679,2.714,hash,0.475,1.63,1168919
bcsstk26,1922,Y,0.4366,0.922,1.64,0.238,0.377,merge3,0.384,0.657,92530
bcsstk27,1224,Y,1.914,1.144,2.87,0.633,0.528,merge3,0.568,0.768,138106
bcsstk28,4410,Y,0.5744,2.13,6.32,1.365,1.37,merge3,0.737,1.47,596072
bcsstk29,13992,Y,0.1618,4.219,10.876,2.605,3.552,hash,0.993,1.862,1965686
bcsstk30,28924,Y,0.1239,11.084,91.082,17.126,12.631,hash,2.534,5.054,8946070
bcsstk31,35588,Y,0.048,6.558,21.953,5.251,5.894,hash,1.383,2.858,4713580
bcsstk32,44609,Y,0.0517,10.365,39.296,8.403,8.286,hash,1.914,3.91,6819653
bcsstk33,8738,Y,0.3933,4.042,22.341,4.572,3.922,hash,1.631,2.057,2569536
bcsstm01,48,Y,2.0833,0.636,0.465,0.276,0.264,merge3,0.204,0.316,48
bcsstm02,66,Y,1.5152,0.377,0.428,0.284,0.126,merge3,0.171,0.312,66
bcsstm03,112,Y,0.8929,0.633,0.437,0.238,0.261,merge3,0.185,0.326,112
bcsstm04,132,Y,0.7576,0.617,0.457,0.272,0.268,merge3,0.186,0.318,132
bcsstm05,153,Y,0.6536,0.4,0.438,0.273,0.263,merge3,0.181,0.319,153
bcsstm06,420,Y,0.2381,0.414,0.477,0.126,0.279,merge3,0.187,0.331,420
bcsstm07,420,Y,2.1746,0.738,1.015,0.196,0.341,merge3,0.359,0.4,22972
bcsstm08,1074,Y,0.0931,0.623,0.433,0.286,0.244,merge3,0.188,0.337,1074
bcsstm09,1083,Y,0.0923,0.613,0.423,0.28,0.28,merge3,0.187,0.342,1083
bcsstm10,1086,Y,0.9826,0.792,1.483,0.378,0.385,merge3,0.538,0.388,54504
bcsstm11,1473,Y,0.0679,0.437,0.212,0.253,0.283,merge3,0.185,0.322,1473
bcsstm12,1473,Y,0.487,0.795,1.193,0.357,0.34,merge3,0.391,0.385,53615
bcsstm13,2003,Y,0.2984,0.881,3.481,0.396,0.399,merge3,0.479,0.728,90811
bcsstm19,817,Y,0.1224,0.637,0.433,0.275,0.271,merge3,0.189,0.337,817
bcsstm20,485,Y,0.2062,0.636,0.218,0.129,0.133,merge3,0.196,0.312,485
bcsstm21,3600,Y,0.0278,0.52,0.227,0.157,0.159,merge3,0.187,0.612,3600
bcsstm22,138,Y,0.7246,0.397,0.212,0.166,0.268,merge3,0.172,0.313,138
bcsstm23,3134,Y,0.0319,0.686,0.218,0.299,0.285,merge3,0.189,0.658,3134
bcsstm24,3562,Y,0.0281,0.637,0.43,0.286,0.294,merge3,0.181,0.537,3562
bcsstm25,15439,Y,0.0065,0.642,0.49,0.247,1.556,hash,0.194,0.484,15439
bcsstm26,1922,Y,0.052,0.633,0.44,0.297,0.146,merge3,0.195,0.347,1922
