matrix,n,sym,density_pct,cu,serial,merge3,Auto,Auto_choice,Ocean,HSMU,cnnz
1138_bus,1138,Y,0.2005,0.302,0.247,0.13,0.135,merge3,0.189,0.232,11142
494_bus,494,Y,0.4426,0.311,0.186,0.114,0.113,merge3,0.178,0.233,4062
662_bus,662,Y,0.3578,0.348,0.192,0.121,0.114,merge3,0.182,0.228,6480
685_bus,685,Y,0.4192,0.305,0.212,0.131,0.125,merge3,0.175,0.235,9337
arc130,130,N,7.5858,0.31,1.5,0.16,0.157,merge3,0.307,0.332,15631
ash292,292,Y,1.466,0.306,0.251,0.119,0.119,merge3,0.172,0.246,6042
ash85,85,Y,4.2076,0.301,0.191,0.109,0.118,merge3,0.174,0.223,1317
bcspwr01,39,Y,5.5884,0.295,0.172,0.111,0.1,merge3,0.19,0.287,275
bcspwr02,49,Y,4.4981,0.344,0.194,0.098,0.101,merge3,0.164,0.217,403
bcspwr03,118,Y,2.133,0.345,0.193,0.108,0.107,merge3,0.179,0.227,1270
bcspwr04,274,Y,1.2561,0.303,0.254,0.112,0.108,merge3,0.184,0.245,4982
bcspwr05,443,Y,0.5264,0.304,0.188,0.108,0.106,merge3,0.18,0.226,4249
bcspwr06,1454,Y,0.1597,0.347,0.228,0.139,0.147,merge3,0.188,0.241,14110
bcspwr07,1612,Y,0.1431,0.313,0.224,0.145,0.146,merge3,0.187,0.247,15684
bcspwr08,1624,Y,0.1455,0.303,0.231,0.151,0.149,merge3,0.221,0.315,16916
bcspwr09,1723,Y,0.1387,0.308,0.238,0.146,0.123,merge3,0.191,0.243,18485
bcspwr10,5300,Y,0.0483,0.375,0.347,0.165,0.18,merge3,0.213,0.74,60498
bcsstk01,48,Y,9.7222,0.351,0.254,0.104,0.117,merge3,0.256,0.233,1292
bcsstk02,66,Y,50.7576,0.387,1.582,0.123,0.126,merge3,0.704,0.605,4356
bcsstk03,112,Y,2.9974,0.285,0.218,0.125,0.108,merge3,0.146,0.229,1072
