name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
bcsstk02,Dense,cu,66,4356,0.08700000000010277,,,,,0.07099999999991269,0.2380000000000564,0.04899999999997817,,,,,0.01999999999998181,0.11300000000005639
bcsstk02,Dense,gust,66,4356,0.08000000000004093,,0.02400000000000091,0.04200000000003001,0.0989999999999327,,,,0.26900000000000546,0.15300000000002,0.20199999999999818,,0.020999999999958163,0.01700000000005275
bcsstk02,Dense,outer,66,4356,0.08000000000004093,0.09699999999997999,0.01999999999998181,0.03700000000003456,0.08699999999998909,,,,0.2619999999999436,0.14999999999997726,0.22400000000004638,,0.025999999999953616,0.030000000000086402
bcsstk02,Dense,colw,66,4356,0.08399999999994634,0.09500000000002728,0.023000000000024556,0.03599999999994452,0.09699999999997999,,,,0.26300000000003365,0.4660000000000082,0.20299999999997453,,0.022000000000048203,0.018000000000029104
bcsstk02,Dense,inner,66,4356,0.07800000000008822,0.0949999999999136,0.031000000000062755,0.03999999999996362,0.09699999999997999,,,,0.26300000000003365,0.14599999999995816,0.19600000000002638,0.09900000000004638,0.021999999999934516,0.016000000000076398
can_24,Dense,cu,24,160,0.08200000000010732,,,,,0.06799999999998363,0.15899999999999181,0.053999999999973625,,,,,0.01999999999998181,0.02800000000002001
can_24,Dense,gust,24,160,0.08199999999999363,,0.01999999999998181,0.03899999999998727,0.022000000000048203,,,,0.045999999999935426,0.03899999999998727,0.05400000000008731,,0.016999999999939064,0.012000000000057298
can_24,Dense,outer,24,160,0.07599999999990814,0.06400000000007822,0.01999999999998181,0.03499999999996817,0.019000000000005457,,,,0.043000000000006366,0.03700000000003456,0.05700000000001637,,0.017999999999915417,0.012000000000057298
can_24,Dense,colw,24,160,0.08299999999996999,0.06600000000003092,0.018000000000029104,0.03499999999996817,0.019000000000005457,,,,0.04200000000003001,0.03499999999996817,0.04899999999997817,,0.01700000000005275,0.011999999999943611
can_24,Dense,inner,24,160,0.07600000000002183,0.06200000000001182,0.018000000000029104,0.033999999999991815,0.018000000000029104,,,,0.043000000000006366,0.03199999999992542,0.04800000000000182,0.024999999999977263,0.01700000000005275,0.011999999999943611
bcsstk04,Dense,cu,132,3648,0.08500000000003638,,,,,0.07100000000002638,0.26900000000000546,0.06399999999996453,,,,,0.019000000000005457,0.12400000000002365
bcsstk04,Dense,gust,132,3648,0.07999999999992724,,0.023000000000024556,0.03899999999998727,0.035000000000081855,,,,0.26099999999996726,0.1190000000000282,0.13400000000001455,,0.01999999999998181,0.01999999999998181
bcsstk04,Dense,outer,132,3648,0.08399999999994634,0.09000000000003183,0.01999999999998181,0.03599999999994452,0.023000000000024556,,,,0.2599999999999909,0.10700000000008458,0.13599999999996726,,0.020999999999958163,0.03700000000003456
bcsstk04,Dense,colw,132,3648,0.07899999999995089,0.08600000000001273,0.022000000000048203,0.033999999999991815,0.033999999999991815,,,,0.25699999999994816,0.10000000000002274,0.13800000000003365,,0.024999999999977263,0.020999999999958163
bcsstk04,Dense,inner,132,3648,0.07699999999999818,0.08399999999994634,0.020999999999958163,0.03600000000005821,0.033999999999991815,,,,0.25699999999994816,0.09800000000007003,0.1309999999999718,0.05200000000002092,0.024999999999977263,0.020999999999958163
bcsstk01,Dense,cu,48,400,0.08699999999998909,,,,,0.06899999999995998,0.15999999999996817,0.055000000000063665,,,,,0.019000000000005457,0.028999999999996362
bcsstk01,Dense,gust,48,400,0.08400000000006003,,0.019000000000005457,0.043000000000006366,0.023000000000024556,,,,0.11000000000001364,0.04099999999993997,0.05700000000001637,,0.019000000000005457,0.014000000000010004
bcsstk01,Dense,outer,48,400,0.07799999999997453,0.06700000000000728,0.01999999999998181,0.03600000000005821,0.01999999999998181,,,,0.1069999999999709,0.04899999999997817,0.07200000000000273,,0.019000000000005457,0.014000000000010004
bcsstk01,Dense,colw,48,400,0.08100000000001728,0.06700000000000728,0.019000000000005457,0.03599999999994452,0.01999999999998181,,,,0.11000000000001364,0.03700000000003456,0.049999999999954525,,0.019000000000005457,0.013000000000033651
bcsstk01,Dense,inner,48,400,0.07600000000002183,0.06600000000003092,0.017999999999915417,0.047000000000025466,0.02100000000007185,,,,0.10599999999999454,0.03599999999994452,0.051000000000044565,0.025999999999953616,0.018000000000029104,0.013000000000033651
can_61,Dense,cu,61,557,0.08599999999989905,,,,,0.08700000000010277,0.17599999999993088,0.057999999999992724,,,,,0.019000000000005457,0.029999999999972715
can_61,Dense,gust,61,557,0.08600000000001273,,0.022000000000048203,0.041999999999916326,0.02500000000009095,,,,0.11099999999999,0.041999999999916326,0.057999999999992724,,0.018000000000029104,0.014000000000010004
can_61,Dense,outer,61,557,0.42000000000007276,0.08399999999994634,0.01999999999998181,0.03700000000003456,0.01999999999998181,,,,0.11000000000001364,0.04899999999997817,0.05299999999999727,,0.019000000000005457,0.014999999999986358
can_61,Dense,colw,61,557,0.10200000000008913,0.07799999999997453,0.01999999999998181,0.03700000000003456,0.023000000000024556,,,,0.1089999999999236,0.03700000000003456,0.05299999999999727,,0.016999999999939064,0.014000000000010004
can_61,Dense,inner,61,557,0.08199999999999363,0.07400000000006912,0.019000000000005457,0.03599999999994452,0.023000000000024556,,,,0.10500000000001819,0.03599999999994452,0.06000000000005912,0.02800000000002001,0.019000000000005457,0.014000000000010004
bcsstk05,Dense,cu,153,2423,0.10099999999999909,,,,,0.07100000000002638,0.18299999999999272,0.05599999999992633,,,,,0.019000000000005457,0.03300000000001546
bcsstk05,Dense,gust,153,2423,0.08600000000001273,,0.020999999999958163,0.03999999999996362,0.026000000000067303,,,,0.13999999999998636,0.03899999999998727,0.05700000000001637,,0.018000000000029104,0.01599999999996271
bcsstk05,Dense,outer,153,2423,0.08400000000006003,0.07600000000002183,0.019000000000005457,0.03599999999994452,0.01999999999998181,,,,0.12000000000000455,0.04399999999998272,0.05299999999999727,,0.01700000000005275,0.029999999999972715
bcsstk05,Dense,colw,153,2423,0.08799999999996544,0.07699999999999818,0.02100000000007185,0.03499999999996817,0.024999999999977263,,,,0.12000000000000455,0.03600000000005821,0.05199999999990723,,0.01700000000005275,0.01700000000005275
bcsstk05,Dense,inner,153,2423,0.08899999999994179,0.07400000000006912,0.020999999999958163,0.03499999999996817,0.023000000000024556,,,,0.11800000000005184,0.04399999999998272,0.057999999999992724,0.03099999999994907,0.018000000000029104,0.01599999999996271
bcspwr01,Mildly sparse,cu,39,131,0.08400000000006003,,,,,0.07000000000005002,0.15899999999999181,0.056999999999902684,,,,,0.030000000000086402,0.03099999999994907
bcspwr01,Mildly sparse,gust,39,131,0.08399999999994634,,0.01999999999998181,0.04100000000005366,0.01999999999998181,,,,0.04600000000004911,0.03999999999996362,0.05700000000001637,,0.018000000000029104,0.012999999999919964
bcspwr01,Mildly sparse,outer,39,131,0.07600000000002183,0.06400000000007822,0.01999999999998181,0.03599999999994452,0.018000000000029104,,,,0.043000000000006366,0.04499999999995907,0.05200000000002092,,0.018000000000029104,0.025999999999953616
bcspwr01,Mildly sparse,colw,39,131,0.08199999999999363,0.06700000000000728,0.019000000000005457,0.03600000000005821,0.017999999999915417,,,,0.043000000000006366,0.03499999999996817,0.05200000000002092,,0.018000000000029104,0.013000000000033651
bcspwr01,Mildly sparse,inner,39,131,0.07599999999990814,0.06200000000001182,0.018000000000029104,0.03499999999996817,0.01700000000005275,,,,0.043000000000006366,0.03599999999994452,0.051000000000044565,0.03300000000001546,0.017999999999915417,0.013000000000033651
can_96,Mildly sparse,cu,96,768,0.11199999999996635,,,,,0.07300000000009277,0.15699999999992542,0.05299999999999727,,,,,0.019000000000005457,0.02800000000002001
can_96,Mildly sparse,gust,96,768,0.11099999999999,,0.023000000000024556,0.043000000000006366,0.01999999999998181,,,,0.11099999999999,0.038000000000010914,0.05200000000002092,,0.019000000000005457,0.013000000000033651
can_96,Mildly sparse,outer,96,768,0.0989999999999327,0.06700000000000728,0.020000000000095497,0.032999999999901775,0.016000000000076398,,,,0.10599999999999454,0.043000000000006366,0.04699999999991178,,0.018000000000029104,0.016000000000076398
can_96,Mildly sparse,colw,96,768,0.10099999999999909,0.06999999999993634,0.01999999999998181,0.03200000000003911,0.018000000000029104,,,,0.10399999999992815,0.0340000000001055,0.04699999999991178,,0.01700000000005275,0.013000000000033651
can_96,Mildly sparse,inner,96,768,0.10000000000002274,0.06299999999998818,0.01999999999998181,0.03099999999994907,0.018000000000029104,,,,0.10599999999999454,0.03499999999996817,0.04500000000007276,0.02400000000000091,0.016999999999939064,0.013000000000033651
arc130,Mildly sparse,cu,130,1282,0.08999999999991815,,,,,0.07100000000002638,0.18000000000006366,0.053999999999973625,,,,,0.016999999999939064,0.038000000000010914
arc130,Mildly sparse,gust,130,1282,0.08199999999999363,,0.02299999999991087,0.03899999999998727,0.039000000000100954,,,,0.12199999999995725,0.038000000000010914,0.057999999999992724,,0.018000000000029104,0.021999999999934516
arc130,Mildly sparse,outer,130,1282,0.08000000000004093,0.10500000000001819,0.019000000000005457,0.03499999999996817,0.031000000000062755,,,,0.1169999999999618,0.04200000000003001,0.053999999999973625,,0.016999999999939064,0.035000000000081855
arc130,Mildly sparse,colw,130,1282,0.08000000000004093,0.10400000000004184,0.021999999999934516,0.033999999999991815,0.04900000000009186,,,,0.11799999999993815,0.033999999999991815,0.053999999999973625,,0.018000000000029104,0.02100000000007185
arc130,Mildly sparse,inner,130,1282,0.08000000000004093,0.10199999999997544,0.023000000000024556,0.03300000000001546,0.038000000000010914,,,,0.1169999999999618,0.033999999999991815,0.05700000000001637,0.04899999999997817,0.01700000000005275,0.020999999999958163
ash85,Mildly sparse,cu,85,523,0.08499999999992269,,,,,0.06600000000003092,0.16600000000005366,0.05599999999992633,,,,,0.018000000000029104,0.027000000000043656
ash85,Mildly sparse,gust,85,523,0.07999999999992724,,0.018000000000029104,0.03700000000003456,0.020999999999958163,,,,0.10800000000006094,0.038000000000010914,0.05299999999999727,,0.016999999999939064,0.012000000000057298
ash85,Mildly sparse,outer,85,523,0.07699999999999818,0.05999999999994543,0.019000000000005457,0.04200000000003001,0.01999999999998181,,,,0.10500000000001819,0.043000000000006366,0.04800000000000182,,0.016999999999939064,0.013000000000033651
ash85,Mildly sparse,colw,85,523,0.08100000000001728,0.06299999999998818,0.019000000000005457,0.033999999999991815,0.018000000000029104,,,,0.10400000000004184,0.033999999999991815,0.04899999999997817,,0.01599999999996271,0.013000000000033651
ash85,Mildly sparse,inner,85,523,0.08600000000001273,0.06299999999998818,0.018000000000029104,0.03499999999996817,0.01700000000005275,,,,0.10400000000004184,0.033999999999991815,0.05299999999999727,0.02400000000000091,0.016999999999939064,0.012000000000057298
can_73,Mildly sparse,cu,73,377,0.09800000000007003,,,,,0.07499999999993179,0.1750000000000682,0.05599999999992633,,,,,0.020000000000095497,0.029999999999972715
can_73,Mildly sparse,gust,73,377,0.0809999999999036,,0.02100000000007185,0.04099999999993997,0.022000000000048203,,,,0.045999999999935426,0.043000000000006366,0.05600000000004002,,0.01700000000005275,0.013999999999896318
can_73,Mildly sparse,outer,73,377,0.10000000000002274,0.06700000000000728,0.019000000000005457,0.03599999999994452,0.01999999999998181,,,,0.04600000000004911,0.038000000000010914,0.06099999999992178,,0.01700000000005275,0.014000000000010004
can_73,Mildly sparse,colw,73,377,0.07899999999995089,0.06500000000005457,0.01999999999998181,0.03599999999994452,0.020000000000095497,,,,0.045999999999935426,0.03600000000005821,0.05199999999990723,,0.018000000000029104,0.013000000000033651
can_73,Mildly sparse,inner,73,377,0.07899999999995089,0.06500000000005457,0.019000000000005457,0.03700000000003456,0.019000000000005457,,,,0.04499999999995907,0.03499999999996817,0.051000000000044565,0.024999999999977263,0.018000000000029104,0.012999999999919964
bcspwr02,Mildly sparse,cu,49,167,0.08800000000007913,,,,,0.08299999999996999,0.17499999999995453,0.05700000000001637,,,,,0.01999999999998181,0.02800000000002001
bcspwr02,Mildly sparse,gust,49,167,0.08300000000008367,,0.019000000000005457,0.043000000000006366,0.021999999999934516,,,,0.04899999999997817,0.04100000000005366,0.05599999999992633,,0.018000000000029104,0.013000000000033651
bcspwr02,Mildly sparse,outer,49,167,0.07699999999999818,0.07699999999999818,0.019000000000005457,0.038000000000010914,0.019000000000005457,,,,0.04499999999995907,0.04399999999998272,0.06100000000003547,,0.016999999999939064,0.012000000000057298
bcspwr02,Mildly sparse,colw,49,167,0.07899999999995089,0.06400000000007822,0.019000000000005457,0.036999999999920874,0.01999999999998181,,,,0.044000000000096406,0.03599999999994452,0.051000000000044565,,0.017999999999915417,0.012000000000057298
bcspwr02,Mildly sparse,inner,49,167,0.07399999999995543,0.07699999999999818,0.019000000000005457,0.03600000000005821,0.019000000000005457,,,,0.04200000000003001,0.03599999999994452,0.05299999999999727,0.02400000000000091,0.01999999999998181,0.011000000000080945
can_144,Mildly sparse,cu,144,1296,0.08899999999994179,,,,,0.07699999999999818,0.16800000000000637,0.05600000000004002,,,,,0.018000000000029104,0.029999999999972715
can_144,Mildly sparse,gust,144,1296,0.08600000000001273,,0.020999999999958163,0.04100000000005366,0.02400000000000091,,,,0.11799999999993815,0.04399999999998272,0.055000000000063665,,0.017999999999915417,0.014000000000010004
can_144,Mildly sparse,outer,144,1296,0.08500000000003638,0.07000000000005002,0.01999999999998181,0.038000000000010914,0.02800000000002001,,,,0.11599999999998545,0.03899999999998727,0.06700000000000728,,0.018000000000029104,0.027999999999906322
can_144,Mildly sparse,colw,144,1296,0.09500000000002728,0.07099999999991269,0.019000000000005457,0.03600000000005821,0.01999999999998181,,,,0.1129999999999427,0.038000000000010914,0.051000000000044565,,0.019000000000005457,0.014000000000010004
can_144,Mildly sparse,inner,144,1296,0.08000000000004093,0.06599999999991724,0.018000000000029104,0.03700000000003456,0.01999999999998181,,,,0.11000000000001364,0.038000000000010914,0.049999999999954525,0.026000000000067303,0.017999999999915417,0.014999999999986358
