name,ocean_ms,status
1138_bus,0.22702719864901155,ok
494_bus,0.22222079974599185,ok
662_bus,0.22499199938029052,ok
685_bus,0.22089280020445584,ok
arc130,0.37299839931074535,ok
ash292,0.22816320033743978,ok
ash85,0.21573119941167535,ok
bcspwr01,0.19756159991957245,ok
bcspwr02,0.20145920091308656,ok
bcspwr03,0.2115872010588646,ok
bcspwr04,0.22232959964312612,ok
bcspwr05,0.2198784003499895,ok
bcspwr06,0.22282560034655036,ok
bcspwr07,0.22134079951792957,ok
bcspwr08,0.22342079877853394,ok
bcspwr09,0.2235167998354882,ok
bcspwr10,0.2390080004464835,ok
bcsstk01,0.3136576025048271,ok
bcsstk02,0.845782400574535,ok
bcsstk03,0.27211199747398496,ok
bcsstk04,0.5104191984981299,ok
bcsstk05,0.3417184006422758,ok
bcsstk06,0.3427199996076524,ok
bcsstk07,0.33849599962122734,ok
bcsstk08,0.43194559863768517,ok
bcsstk09,0.3432544002775103,ok
bcsstk10,0.4922848008107394,ok
bcsstk11,0.5406176005955786,ok
bcsstk12,0.5284831989789381,ok
bcsstk13,0.7113568007014693,ok
bcsstk14,0.5878432005643844,ok
bcsstk15,0.4612352012190968,ok
bcsstk16,0.8409919983241707,ok
bcsstk17,0.9528000008314846,ok
bcsstk18,0.4612224013544619,ok
bcsstk19,0.3596512004267424,ok
bcsstk20,0.2201663997024298,ok
bcsstk21,0.2288511993829161,ok
bcsstk22,0.3108031984884292,ok
bcsstk23,0.3564288005232811,ok
bcsstk24,0.6396864007692784,ok
bcsstk25,0.4779520002193749,ok
bcsstk26,0.39764480176381767,ok
bcsstk27,0.5388896007090807,ok
bcsstk28,0.7393823987571522,ok
bcsstk29,0.9940415997290983,ok
bcsstk30,2.5005183928646146,ok
bcsstk31,1.3228703982662406,ok
bcsstk32,1.875795199535787,ok
bcsstk33,1.6158815989270805,ok
bcsstm01,0.16984640059527012,ok
bcsstm02,0.17093440000899138,ok
bcsstm03,0.19342719900887456,ok
bcsstm04,0.1857952000806108,ok
bcsstm05,0.1844768000766635,ok
bcsstm06,0.18397439867258072,ok
bcsstm07,0.35847359979525206,ok
bcsstm08,0.18525119957048447,ok
bcsstm09,0.18495679975021628,ok
bcsstm10,0.5356448005884886,ok
bcsstm11,0.18282560012303295,ok
bcsstm12,0.38952319887466724,ok
bcsstm13,0.4796287989243865,ok
bcsstm19,0.18034879986662417,ok
bcsstm20,0.1826559991342947,ok
bcsstm21,0.18756479865405706,ok
bcsstm22,0.18469759973231703,ok
bcsstm23,0.18521599972154945,ok
bcsstm24,0.18273279960267244,ok
bcsstm25,0.1945119997719303,ok
bcsstm26,0.18575679941568524,ok
bcsstm27,0.5723199993371964,ok
blckhole,0.22592000151053074,ok
bp_0,0.2659808011259884,ok
bp_1000,0.2721216015983373,ok
bp_1200,0.2739040001761168,ok
bp_1400,0.27889919877052305,ok
bp_1600,0.3017791980877519,ok
bp_200,0.2694016009569168,ok
bp_400,0.27593919974751774,ok
bp_600,0.2713504002429545,ok
bp_800,0.27227839967235923,ok
can_1054,0.38035520031116904,ok
can_1072,0.38236159973312167,ok
can_144,0.3465343982446939,ok
can_161,0.3489375980105251,ok
can_187,0.3448128009447828,ok
can_229,0.34033280080184336,ok
can_24,0.21187519957311454,ok
can_256,0.3756095994263887,ok
can_268,0.36390080156270416,ok
can_292,0.3587391999550164,ok
can_445,0.3497248003259301,ok
can_61,0.33654399993829426,ok
can_62,0.20438079996965824,ok
can_634,0.371091200504452,ok
can_715,0.4109855982940644,ok
can_73,0.21191040058620275,ok
can_838,0.38009600108489394,ok
can_96,0.3440511993598193,ok
