name,class,tag,n,A_nnz,h2d,csc,count,scan,expand,workest,compute,copy,sort,reduce,final,numeric,pack,d2h
cage3,Dense,cu,5,19,0.09999999999990905,,,,,0.10000000000002274,0.10000000000002274,0.10000000000002274,,,,,0.0,0.8999999999999773
cage3,Dense,gust,5,19,0.10000000000002274,,0.0,0.10000000000002274,0.0,,,,0.10000000000002274,0.0,0.09999999999990905,,0.0,0.8000000000000682
cage3,Dense,outer,5,19,0.10000000000002274,0.10000000000002274,0.0,0.09999999999990905,0.0,,,,0.10000000000002274,0.0,0.10000000000002274,,0.0,0.7999999999999545
cage3,Dense,colw,5,19,0.1999999999999318,0.0,0.10000000000002274,0.0,0.0,,,,0.10000000000002274,0.0,0.10000000000002274,,0.0,0.7999999999999545
cage3,Dense,inner,5,19,0.20000000000004547,0.0,0.10000000000002274,0.0,0.0,,,,0.09999999999990905,0.0,0.10000000000002274,0.0,0.0,0.8000000000000682
rgg010,Dense,cu,10,76,0.10000000000002274,,,,,0.10000000000002274,0.1999999999999318,0.0,,,,,0.10000000000002274,0.7999999999999545
rgg010,Dense,gust,10,76,0.09999999999990905,,0.0,0.0,0.10000000000002274,,,,0.0,0.10000000000002274,0.0,,0.0,0.8999999999999773
rgg010,Dense,outer,10,76,0.10000000000002274,0.0,0.0,0.10000000000002274,0.0,,,,0.10000000000002274,0.0,0.10000000000002274,,0.0,0.7999999999999545
rgg010,Dense,colw,10,76,0.10000000000002274,0.10000000000002274,0.0,0.0,0.10000000000002274,,,,0.0,0.0,0.09999999999990905,,0.0,0.8000000000000682
rgg010,Dense,inner,10,76,0.10000000000002274,0.09999999999990905,0.0,0.10000000000002274,0.0,,,,0.0,0.10000000000002274,0.0,0.0,0.10000000000002274,0.7999999999999545
mbeaflw,Dense,cu,496,49920,0.1999999999999318,,,,,0.10000000000002274,0.6000000000000227,0.20000000000004547,,,,,0.0,1.5
mbeaflw,Dense,gust,496,49920,0.1999999999999318,,0.10000000000002274,0.0,0.5,,,,1.1000000000000227,0.20000000000004547,0.5,,0.09999999999990905,1.2000000000000455
mbeaflw,Dense,outer,496,49920,0.20000000000004547,0.39999999999997726,0.10000000000002274,0.0,0.2999999999999545,,,,1.0,0.3000000000000682,0.2999999999999545,,0.10000000000002274,1.1999999999999318
mbeaflw,Dense,colw,496,49920,0.20000000000004547,0.39999999999997726,0.10000000000002274,0.0,0.2999999999999545,,,,1.0,0.2999999999999545,0.3000000000000682,,0.10000000000002274,1.1999999999999318
mbeaflw,Dense,inner,496,49920,0.09999999999990905,0.40000000000009095,0.09999999999990905,0.0,0.6000000000000227,,,,1.0,0.20000000000004547,0.39999999999997726,0.39999999999997726,0.10000000000002274,1.2000000000000455
mesh1e1,Dense,cu,48,306,0.10000000000002274,,,,,0.0,0.1999999999999318,0.10000000000002274,,,,,0.0,0.7999999999999545
mesh1e1,Dense,gust,48,306,0.09999999999990905,,0.0,0.0,0.10000000000002274,,,,0.0,0.0,0.10000000000002274,,0.0,0.7999999999999545
mesh1e1,Dense,outer,48,306,0.10000000000002274,0.0,0.10000000000002274,0.0,0.0,,,,0.10000000000002274,0.0,0.0,,0.10000000000002274,0.7999999999999545
mesh1e1,Dense,colw,48,306,0.10000000000002274,0.0,0.10000000000002274,0.0,0.0,,,,0.10000000000002274,0.0,0.09999999999990905,,0.0,0.8000000000000682
