matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cnnz
1138_bus,1138,Y,0.2005,0.287,0.129,merge3,0.19,0.701,0.24,0.781,11142
494_bus,494,Y,0.4426,0.245,0.093,merge3,0.173,0.694,0.231,0.32,4062
662_bus,662,Y,0.3578,0.249,0.103,merge3,0.256,0.826,0.23,0.484,6480
685_bus,685,Y,0.4192,0.299,0.129,merge3,0.207,0.776,0.235,0.489,9337
arc130,130,N,7.5858,0.257,0.157,merge3,0.348,1.064,0.343,0.214,15631
ash292,292,Y,1.466,0.257,0.162,merge3,0.204,0.571,0.311,0.278,6042
ash85,85,Y,4.2076,0.302,0.148,merge3,0.204,0.588,0.298,0.219,1317
bcspwr01,39,Y,5.5884,0.278,0.113,merge3,0.197,0.816,0.218,0.166,275
bcspwr02,49,Y,4.4981,0.254,0.095,merge3,0.162,0.753,0.28,0.17,403
bcspwr03,118,Y,2.133,0.246,0.093,merge3,0.198,0.717,0.548,0.183,1270
bcspwr04,274,Y,1.2561,0.278,0.135,merge3,0.2,0.952,0.341,0.235,4982
bcspwr05,443,Y,0.5264,0.325,0.122,merge3,0.256,0.877,0.298,0.37,4249
bcspwr06,1454,Y,0.1597,0.289,0.142,merge3,0.208,0.685,0.307,1.277,14110
bcspwr07,1612,Y,0.1431,0.287,0.147,merge3,0.211,0.597,0.304,1.536,15684
bcspwr08,1624,Y,0.1455,0.286,0.167,merge3,0.226,0.564,0.314,1.636,16916
bcspwr09,1723,Y,0.1387,0.283,0.146,merge3,0.225,0.898,0.301,2.024,18485
bcspwr10,5300,Y,0.0483,0.365,0.189,merge3,0.236,0.767,0.948,36.204,60498
bcsstk01,48,Y,9.7222,0.272,0.121,merge3,0.298,0.568,0.296,0.256,1292
bcsstk02,66,Y,50.7576,0.338,0.142,merge3,0.865,0.622,0.704,0.201,4356
bcsstk03,112,Y,2.9974,0.289,0.132,merge3,0.2,0.739,0.289,0.177,1072
bcsstk04,132,Y,10.8471,0.373,0.145,merge3,0.46,0.619,0.374,0.222,11968
bcsstk05,153,Y,5.5022,0.344,0.138,merge3,0.336,0.598,0.324,0.243,7245
bcsstk06,420,Y,2.3469,0.379,0.157,merge3,0.342,0.587,0.346,0.353,23660
bcsstk07,420,Y,2.3469,0.388,0.153,merge3,0.34,0.885,0.34,0.347,23660
bcsstk08,1074,Y,0.6083,0.603,0.569,hash,0.425,0.759,0.798,1.028,305612
bcsstk09,1083,Y,0.8321,0.449,0.175,merge3,0.316,0.756,0.337,0.819,71289
bcsstk10,1086,Y,0.9817,0.423,0.192,merge3,0.457,0.612,0.358,0.762,54504
bcsstk11,1473,Y,0.823,0.557,0.198,merge3,0.501,0.615,0.521,1.555,94187
bcsstk12,1473,Y,0.823,0.609,0.2,merge3,0.5,0.756,0.508,1.571,94187
bcsstk13,2003,Y,1.0704,0.909,0.842,hash,0.699,1.023,0.931,3.357,396773
bcsstk14,1806,Y,1.0004,0.79,0.313,merge3,0.55,0.929,0.538,2.417,195654
bcsstk15,3948,Y,0.3906,0.928,0.287,hash,0.431,1.11,0.673,16.069,527688
bcsstk16,4884,Y,0.6189,1.669,0.499,hash,0.776,1.041,1.45,29.392,1038782
