matrix,n,sym,density_pct,cu,Auto,Auto_choice,Ocean,opSparse,HSMU,dense,cublas,cnnz
bp_1000,822,N,0.6898,0.265,0.2453,hash,0.224,0.838,0.413,0.511,0.437,21373
bp_1200,822,N,0.6994,0.259,0.2519,hash,0.226,0.874,0.412,0.523,0.432,22313
bp_1400,822,N,0.7089,0.257,0.2532,hash,0.227,0.767,0.499,0.519,0.436,23154
bp_1600,822,N,0.7165,0.259,0.2552,hash,0.231,0.794,0.404,0.51,0.424,23625
bp_200,822,N,0.5627,0.259,0.2198,hash,0.218,0.825,0.391,0.515,0.433,13197
bp_400,822,N,0.5961,0.263,0.2306,hash,0.22,0.826,0.392,0.509,0.435,15238
bp_600,822,N,0.6174,0.258,0.2366,hash,0.222,1.236,0.401,0.513,0.43,16464
bp_800,822,N,0.671,0.257,0.2493,hash,0.221,0.533,0.406,0.519,0.442,20224
can_1054,1054,Y,0.5964,0.324,0.1180,merge3,0.296,0.921,0.28,0.739,0.55,60248
can_1072,1072,Y,0.5881,0.322,0.1202,merge3,0.294,1.075,0.271,0.85,0.664,62316
can_144,144,Y,3.4722,0.252,0.0840,merge3,0.261,0.919,0.239,0.191,0.285,3456
can_161,161,Y,2.9667,0.256,0.0886,merge3,0.264,1.104,0.252,0.204,0.304,3761
can_187,187,Y,2.3993,0.248,0.0794,merge3,0.261,1.521,0.234,0.204,0.307,3719
can_229,229,Y,1.9126,0.252,0.0924,merge3,0.263,0.738,0.24,0.235,0.316,5017
can_24,24,Y,15.9722,0.24,0.0732,merge3,0.168,0.923,0.222,0.151,0.294,336
can_256,256,Y,2.42,0.257,0.1210,merge3,0.288,0.599,0.283,0.288,0.356,18568
can_268,268,Y,2.3321,0.258,0.1038,merge3,0.267,0.752,0.26,0.243,0.318,15590
can_292,292,Y,1.6607,0.256,0.0871,merge3,0.275,0.846,0.256,0.514,0.321,11670
can_445,445,Y,1.0741,0.26,0.0947,merge3,0.266,1.093,0.243,0.329,0.386,11193
can_61,61,Y,8.3042,0.239,0.0809,merge3,0.259,1.184,0.244,0.167,0.305,1793
can_62,62,Y,3.642,0.234,0.0763,merge3,0.166,0.833,0.217,0.161,0.291,482
can_634,634,Y,0.978,0.317,0.0985,merge3,0.29,0.738,0.26,0.377,0.398,25446
can_715,715,Y,0.7218,0.326,0.1931,merge3,0.313,0.936,0.299,0.526,0.468,39785
can_73,73,Y,4.2222,0.248,0.0794,merge3,0.173,0.816,0.23,0.16,0.288,1377
can_838,838,Y,0.7724,0.32,0.1030,merge3,0.288,0.951,0.262,0.531,0.449,51156
can_96,96,Y,4.6875,0.248,0.0747,merge3,0.257,1.166,0.226,0.165,0.283,1920
